Date,AUSTRALIA
1998-12,100.0
1999-01,109.70473395161576
1999-02,110.69362253930232
1999-03,117.36604907702663
1999-04,132.12084540880747
1999-05,123.10664553667138
1999-06,130.77671726577051
1999-07,126.0018126835335
1999-08,120.57188371927597
1999-09,120.1557735873787
1999-10,119.00728826812504
1999-11,130.90848723685886
1999-12,139.02120950368342
2000-01,137.401284601692
2000-02,136.43697374951856
2000-03,136.1748614346095
2000-04,139.24533060698303
2000-05,132.05976782634994
2000-06,146.42233899297884
2000-07,142.36023290250384
2000-08,150.05303340187746
2000-09,144.63344367076004
2000-10,140.99189270838536
2000-11,140.44441122340606
2000-12,134.93885857703424
2001-01,141.73279781206693
2001-02,136.92892675632777
2001-03,127.5431726216561
2001-04,142.16203039572
2001-05,149.5732833618375
2001-06,154.74461771867811
2001-07,141.9967276109498
2001-08,137.6633463380564
2001-09,120.2552959822671
2001-10,132.37640788392838
2001-11,143.60203860184177
2001-12,146.06636565786602
2002-01,151.4812380079243
2002-02,151.75510063306655
2002-03,155.83798883326097
2002-04,149.0259487106036
2002-05,152.76057355293696
2002-06,137.6065199518894
2002-07,128.22934597659298
2002-08,131.4071021819422
2002-09,123.33499187314341
2002-10,129.7746637661756
2002-11,132.82597793567
2002-12,123.59014537758796
2003-01,122.98942840495396
2003-02,120.91221450030318
2003-03,123.9161593455211
2003-04,130.78025173729608
2003-05,128.34791101615906
2003-06,136.8179000017753
2003-07,139.1529214053279
2003-08,146.24102408127268
2003-09,143.45557299304255
2003-10,155.88827552718007
2003-11,150.91168120660885
2003-12,155.6287690835575
2004-01,157.79562860604236
2004-02,165.26909935564956
2004-03,169.71882601963858
2004-04,163.73384869150252
2004-05,161.79507954631825
2004-06,162.36695691895912
2004-07,164.61036966673032
2004-08,166.40372891499288
2004-09,173.6875632481809
2004-10,179.78130263028737
2004-11,186.87928073987393
2004-12,190.56706112282967
2005-01,200.15982347710087
2005-02,207.59200955945406
2005-03,203.67770941019148
2005-04,201.75942099730406
2005-05,210.79209607687463
2005-06,227.41364402018613
2005-07,232.0098403263744
2005-08,231.46269427896067
2005-09,253.61532854320382
2005-10,239.4233206613098
2005-11,252.33698539476595
2005-12,258.1160564665112
2006-01,268.580525402665
2006-02,269.9088152441425
2006-03,267.2641343839913
2006-04,280.33745065629194
2006-05,259.69576395947877
2006-06,263.0132310310528
2006-07,266.743248334927
2006-08,274.1184398611678
2006-09,273.397554624929
2006-10,293.74102274839606
2006-11,294.4823939754333
2006-12,305.94357776056023
2007-01,311.16290329918036
2007-02,317.0878146689558
2007-03,332.0935752406151
2007-04,343.3218630546344
2007-05,353.6833193148245
2007-06,361.9132546966614
2007-07,352.1956125192623
2007-08,347.7661928250286
2007-09,383.2899663415241
2007-10,405.2089833648915
2007-11,369.7488976751361
2007-12,358.13393321281626
2008-01,321.0662769603539
2008-02,323.1916922218
2008-03,292.83472279256426
2008-04,323.2458121612446
2008-05,331.7885236784399
2008-06,307.127646663688
2008-07,288.3868890454954
2008-08,293.185707581871
2008-09,254.16021348755837
2008-10,209.7193186813457
2008-11,194.17333449094974
2008-12,188.49500666973296
2009-01,177.50293512855424
2009-02,172.47108791132567
2009-03,194.34001947411846
2009-04,216.63690584982203
2009-05,222.94724039494366
2009-06,236.23550683123995
2009-07,257.648852642541
2009-08,275.4399079469988
2009-09,301.90556138314304
2009-10,299.29086737667797
2009-11,303.2716029565929
2009-12,322.82480458435873
2010-01,309.91186123624334
2010-02,326.4379076637544
2010-03,356.7247400049165
2010-04,360.98046905282774
2010-05,325.8526536317311
2010-06,319.36290653986777
2010-07,336.86204208900705
2010-08,334.754664163676
2010-09,354.38816280157056
2010-10,358.0752241492575
2010-11,369.09386720839075
2010-12,396.1135084170024
2011-01,378.7616946655978
2011-02,393.3025023695116
2011-03,391.2706377751179
2011-04,395.86037601053187
2011-05,388.0356754449625
2011-06,380.81013007412247
2011-07,375.77108075521056
2011-08,358.5757489683899
2011-09,328.6161677032885
2011-10,369.88589064172766
2011-11,357.6174543131263
2011-12,365.1750492953416
2012-01,394.0801598506751
2012-02,397.4336488067573
2012-03,388.0386757710054
2012-04,398.00502645382215
2012-05,370.9764176905544
2012-06,386.7495799139047
2012-07,428.2048424970048
2012-08,419.2655810136497
2012-09,421.6218145454065
2012-10,429.674342442904
2012-11,432.96855612175665
2012-12,439.7635748590551
2013-01,450.6559313993345
2013-02,486.3048419450492
2013-03,492.5726237824847
2013-04,502.16438734137756
2013-05,449.04728960554553
2013-06,419.0325090213117
2013-07,421.78952313796634
2013-08,431.40875087044276
2013-09,450.6162881098539
2013-10,473.65212580830206
2013-11,452.1323448049037
2013-12,439.01907322336734
2014-01,424.26467304213935
2014-02,446.3992772130979
2014-03,465.09669422908024
2014-04,470.9568094130322
2014-05,483.8170437095206
2014-06,481.52233994582394
2014-07,506.83248817794885
2014-08,520.224909070221
2014-09,480.5665004866694
2014-10,510.1227494042199
2014-11,480.44889298758073
2014-12,483.7438346151232
2015-01,509.51128220398107
2015-02,551.9499579086608
2015-03,562.0912857854735
2015-04,545.0051110319699
2015-05,541.6904055743883
2015-06,508.5852791463604
2015-07,511.80234773978634
2015-08,447.18233611528717
2015-09,430.0293566246009
2015-10,459.91356082243135
2015-11,485.0314400663696
2015-12,486.1820327835425
2016-01,446.4694765437311
2016-02,440.61076633165095
2016-03,473.37838812231587
2016-04,484.44724489066846
2016-05,486.4863908894552
2016-06,488.1288995817642
2016-07,524.529751996319
2016-08,512.9868447529414
2016-09,520.8926879201375
2016-10,522.6615106722606
2016-11,542.0500676595019
2016-12,559.1603600071331
2017-01,569.0166689732407
2017-02,600.5371909760614
2017-03,612.1390060648805
2017-04,597.0252871806093
2017-05,555.4362205374375
2017-06,563.6203634665046
2017-07,569.4848366771907
2017-08,563.6723274590302
2017-09,561.0086936459917
2017-10,577.4047715173656
2017-11,567.0705207615633
2017-12,590.1403249476807
2018-01,585.6535771867693
2018-02,577.5523346254373
2018-03,540.9024508039753
2018-04,564.0610749115806
2018-05,592.2211556703793
2018-06,599.755459260622
2018-07,611.7713021212644
2018-08,604.3868520850939
2018-09,597.4034543540783
2018-10,565.9991359543789
2018-11,569.9469661930269
2018-12,546.5835177419559
2019-01,583.7777272412823
2019-02,608.0829762648592
2019-03,620.0810220787165
2019-04,628.7466921897442
2019-05,636.926570659365
2019-06,656.4133076817315
2019-07,675.5914646493245
2019-08,653.6304947794488
2019-09,676.3339155217403
2019-10,672.4485125870476
2019-11,687.2801098191173
2019-12,685.4896424936578
2020-01,694.9611941626522
2020-02,624.1667040704064
2020-03,468.2556453702597
2020-04,540.8116430502217
2020-05,556.8377132658334
2020-06,589.9233113946416
2020-07,585.4308794492704
2020-08,611.3189704466099
2020-09,581.0755155697453
2020-10,585.0887510067062
2020-11,660.3224125636259
2020-12,684.6670567288232
2021-01,689.8317011499212
2021-02,708.8550321259246
2021-03,737.3275173171908
2021-04,755.3853033312247
2021-05,767.9001543235466
2021-06,781.2236424533164
2021-07,770.9918982679425
2021-08,785.924673470919
2021-09,775.4055563516459
2021-10,806.9965458434177
2021-11,775.6218125695559
2021-12,807.1423134220165
2022-01,747.0853890240912
2022-02,789.3381958651302
2022-03,884.9592260107667
2022-04,878.5693823065301
2022-05,855.8066735511285
2022-06,771.5552319600391
2022-07,842.9249548285358
2022-08,846.0376957985561
2022-09,768.0563442764459
2022-10,801.2606285562902
2022-11,862.7585319156293
2022-12,815.8819203565761
2023-01,887.5375635007546
2023-02,849.2908568142957
2023-03,823.9299983397984
2023-04,812.4781627880351
2023-05,801.2236261280116
2023-06,823.0754355780792
2023-07,847.0042005769592
