Date,RUSSIA GROWTH
1998-12,100.0
1999-01,98.40163403710918
1999-02,142.286671549291
1999-03,195.24031971215067
1999-04,247.60134336441038
1999-05,249.2877089875583
1999-06,268.87050069134904
1999-07,251.51515750996774
1999-08,218.906760626011
1999-09,192.20980216312523
1999-10,234.86407514692937
1999-11,268.1368267924055
1999-12,446.368545636564
2000-01,378.17038958735293
2000-02,342.6981079970673
2000-03,483.39218963324936
2000-04,474.5343612364501
2000-05,399.67882757025455
2000-06,370.7585921470739
2000-07,411.7486284292121
2000-08,496.54627632438
2000-09,445.73994265123656
2000-10,432.9298469432929
2000-11,289.3971620802215
2000-12,273.92427784915964
2001-01,303.8710707143795
2001-02,289.48445150104675
2001-03,293.11554945241596
2001-04,321.27893689119327
2001-05,424.1606977666344
2001-06,388.89550614922285
2001-07,339.09314755599445
2001-08,355.74028859266923
2001-09,302.9338044684105
2001-10,347.7604251148018
2001-11,363.7753773700262
2001-12,408.7114555794892
2002-01,474.38896456451675
2002-02,415.08936794599055
2002-03,500.0271545197623
2002-04,551.5326063500812
2002-05,563.9159864769553
2002-06,486.2968490717989
2002-07,447.17408106158626
2002-08,469.53695022257233
2002-09,467.0613464317429
2002-10,489.54820403214984
2002-11,487.11993363904503
2002-12,464.1077049868951
2003-01,440.85376475283647
2003-02,499.4230078672638
2003-03,445.74907362140266
2003-04,548.6553893485066
2003-05,557.7606308798604
2003-06,631.3997283920794
2003-07,596.7694947734576
2003-08,703.0075518773136
2003-09,697.1889889821534
2003-10,624.9181410590907
2003-11,652.491996173259
2003-12,658.3000165111193
2004-01,708.988273426586
2004-02,761.0995669506376
2004-03,854.872896585838
2004-04,713.8539053877834
2004-05,634.5775213168874
2004-06,633.0252216934297
2004-07,621.7600794573842
2004-08,673.5451120116483
2004-09,715.8496196277778
2004-10,729.4786685488538
2004-11,673.7733383586638
2004-12,641.2520734380643
2005-01,683.9569090055008
2005-02,737.661478697751
2005-03,678.5806133898939
2005-04,687.4545122496907
2005-05,731.8544881007239
2005-06,756.2460346678747
2005-07,831.6434802451361
2005-08,932.9159364301102
2005-09,1113.6791342685087
2005-10,1046.3203797444148
2005-11,1151.379147283182
2005-12,1192.4810121262833
2006-01,1383.5227069606206
2006-02,1526.4877046769118
2006-03,1516.4232201804618
2006-04,1623.8165778964285
2006-05,1372.805596635409
2006-06,1387.5860468248873
2006-07,1410.6862582098188
2006-08,1543.8025926772555
2006-09,1456.6557659371672
2006-10,1449.8155851946944
2006-11,1557.3077246340845
2006-12,1606.4466980384532
2007-01,1553.8078133203162
2007-02,1479.0071787249615
2007-03,1497.8985770584031
2007-04,1450.8975976279257
2007-05,1358.1478626913176
2007-06,1499.853254567299
2007-07,1532.2736929793348
2007-08,1470.413922048297
2007-09,1506.805650370239
2007-10,1621.7308188913883
2007-11,1648.5582425811165
2007-12,1753.8407803400917
2008-01,1451.2727053787573
2008-02,1480.4714577856398
2008-03,1385.7178519714982
2008-04,1453.863399690064
2008-05,1695.6841560430685
2008-06,1561.3371460004487
2008-07,1333.359082582619
2008-08,1200.4970027317158
2008-09,970.6425715558729
2008-10,701.9652256585767
2008-11,535.9438053617547
2008-12,441.0842204920052
