Date,MOROCCO
1998-12,100.0
1999-01,107.37564807119547
1999-02,106.36976523474874
1999-03,100.94936266331743
1999-04,99.89422577218923
1999-05,95.64727215750668
1999-06,100.98356100379311
1999-07,102.38396963799346
1999-08,106.34610661611404
1999-09,104.08792279491648
1999-10,104.16120604576679
1999-11,104.78981011411304
1999-12,103.18266775254278
2000-01,101.78402294939774
2000-02,95.61140114350869
2000-03,98.53609463390849
2000-04,94.06018629468699
2000-05,97.86067817582384
2000-06,96.6983446131242
2000-07,91.72772782774106
2000-08,99.07880060152216
2000-09,98.31728446554555
2000-10,97.40936755868142
2000-11,90.83754431086425
2000-12,86.41930365861474
2001-01,83.22237246693456
2001-02,93.37510690537016
2001-03,92.63722470753001
2001-04,85.51535389750583
2001-05,86.79297049427514
2001-06,84.02527601756418
2001-07,79.39051406925542
2001-08,82.80968101956135
2001-09,79.72834289215442
2001-10,75.58566694190095
2001-11,79.11530485520204
2001-12,78.64022640487012
2002-01,75.8474353208453
2002-02,74.63458338220013
2002-03,74.17119388017167
2002-04,70.4467554079403
2002-05,68.05628319536548
2002-06,64.56519691037329
2002-07,63.16593774533975
2002-08,65.13885397236109
2002-09,61.303093983474156
2002-10,59.89972871552878
2002-11,62.15298490250539
2002-12,61.107543768754866
2003-01,62.66141887462676
2003-02,65.58349412319032
2003-03,62.19347940150931
2003-04,65.86723004653577
2003-05,66.40967171432071
2003-06,72.23367198122693
2003-07,73.39600495487382
2003-08,76.84595006467751
2003-09,74.7714810067007
2003-10,73.62569380455406
2003-11,75.28992383695139
2003-12,75.76376982407253
2004-01,77.08417316505981
2004-02,82.46732735573613
2004-03,83.80602856231715
2004-04,87.00375086240808
2004-05,86.31771168282108
2004-06,86.11300367843249
2004-07,89.07705584635251
2004-08,89.93998589920605
2004-09,88.15633424920044
2004-10,72.9891325017264
2004-11,76.82037585807335
2004-12,86.16470047467787
2005-01,87.00026559664056
2005-02,84.0843447461332
2005-03,83.23432251206604
2005-04,85.2424912008991
2005-05,91.74580020018819
2005-06,92.27537050555566
2005-07,98.09024210366464
2005-08,101.35161899483839
2005-09,104.64981009622534
2005-10,107.89838158737246
2005-11,113.47926856457802
2005-12,113.1658208717677
2006-01,136.23388288907398
2006-02,147.62827968021435
2006-03,153.59502793697288
2006-04,167.77000116655486
2006-05,146.91536015894994
2006-06,150.6619734860156
2006-07,147.57802448450315
2006-08,166.22694365226602
2006-09,167.21866574719164
2006-10,167.685689912367
2006-11,164.45742890276324
2006-12,170.65208745535122
2007-01,192.3528340665129
2007-02,195.56360162020823
2007-03,210.80664045036804
2007-04,221.0530679425605
2007-05,219.3110553226065
2007-06,211.93567009953887
2007-07,217.0766398234934
2007-08,228.20449561323275
2007-09,229.83453038672187
2007-10,228.98058224166206
2007-11,226.6471119317195
2007-12,228.02170989931432
2008-01,255.35861201550748
2008-02,272.3775662339118
2008-03,281.5683016517345
2008-04,278.1107498149727
2008-05,281.8971834189528
2008-06,276.43586518683094
2008-07,270.4351098638367
2008-08,269.9509512586336
2008-09,242.6573618699053
2008-10,240.33041866807034
2008-11,225.0318016618722
2008-12,213.76931091675903
2009-01,195.82203300127756
2009-02,222.24062136728767
2009-03,204.2694095650856
2009-04,219.56687470962999
2009-05,217.28938277639827
2009-06,231.92266307638522
2009-07,215.10469433992097
2009-08,214.0430283587312
2009-09,207.83273258963533
2009-10,207.29902797823232
2009-11,190.41189151864114
2009-12,196.8006272764316
2010-01,211.88694802306802
2010-02,214.2954385803282
2010-03,222.64599262046545
2010-04,237.33921519489553
2010-05,239.40580241492282
2010-06,235.97459245061125
2010-07,234.759331830878
2010-08,228.00544576044595
2010-09,229.34429015696102
2010-10,233.36688430595729
2010-11,234.08746313432496
2010-12,242.73817457016608
2011-01,246.03482786865055
2011-02,255.02794258796908
2011-03,242.04128220062378
2011-04,229.85792806717456
2011-05,244.85079376874776
2011-06,234.1473169211543
2011-07,226.90697987344407
2011-08,233.75366823151523
2011-09,229.80197853831942
2011-10,224.0426338253148
2011-11,218.74990325501057
2011-12,213.83957828470798
2012-01,220.776199225305
2012-02,221.97964544766606
2012-03,216.86489954899133
2012-04,200.26319505042787
2012-05,205.91151054921215
2012-06,197.790981750666
2012-07,201.16111004835847
2012-08,204.89416464403453
2012-09,188.6259657229559
2012-10,189.6478904215527
2012-11,195.9701597205818
2012-12,186.38959215817874
2013-01,183.1880879866376
2013-02,184.13162073504438
2013-03,185.7214811020477
2013-04,187.84767819330884
2013-05,183.9883525714245
2013-06,178.30217854946397
2013-07,169.808783029096
2013-08,163.90363186354756
2013-09,173.15312555860362
2013-10,190.66565903420502
2013-11,177.05864996331033
2013-12,173.58879023380834
2014-01,175.7061213876538
2014-02,182.36281157726813
2014-03,183.3338593710666
2014-04,182.7742592449821
2014-05,187.73521222276005
2014-06,181.9858577366534
2014-07,188.35736319981638
2014-08,191.13596449849243
2014-09,207.77633388314982
2014-10,210.3615972702701
2014-11,202.6382955521448
2014-12,197.55302222577203
2015-01,206.85423147778428
2015-02,213.44462700166446
2015-03,213.51539227757843
2015-04,201.56741574282123
2015-05,201.8014603151326
2015-06,197.91625957466525
2015-07,205.93644369072368
2015-08,195.9362644694884
2015-09,192.52879823505017
2015-10,192.7730857884238
2015-11,198.09771811535927
2015-12,191.0504869377224
2016-01,192.21243326052192
2016-02,193.6364103825349
2016-03,198.2943704098216
2016-04,215.8823705640716
2016-05,214.55959082879897
2016-06,210.08189982417971
2016-07,221.8809709169263
