Date,ROMANIA
2005-11,687.8795189663318
2005-12,664.3899571216427
2006-01,848.4179377785465
2006-02,910.0163883773904
2006-03,836.6272303318133
2006-04,841.7495714107475
2006-05,795.5551554040517
2006-06,800.7265487276713
2006-07,880.0631476997113
2006-08,880.7168492289405
2006-09,894.4472750337292
2006-10,978.2528812016402
2006-11,940.8092515187506
2006-12,927.8678983481628
2007-01,1003.7526286858805
2007-02,1013.2079986075081
2007-03,987.2560501895575
2007-04,1017.4851701957975
2007-05,1063.5455253064094
2007-06,1216.1887365153987
2007-07,1256.312423514044
2007-08,1200.841891537727
2007-09,1107.7238272125749
2007-10,1144.0929308075938
2007-11,1000.0
2007-12,1067.7686628042736
2008-01,780.9963766613974
2008-02,803.0467803732768
2008-03,805.2078557948648
2008-04,879.799789704116
2008-05,999.1475005046301
2008-06,818.7706780766521
2008-07,781.2617233975195
2008-08,707.150357126689
2008-09,527.2227781840569
2008-10,397.6797870379631
2008-11,405.1953399729043
2008-12,377.557512690947
2009-01,207.63592082539077
2009-02,157.9281650440718
2009-03,208.42535842894222
2009-04,264.50917590464553
2009-05,310.2370258201324
2009-06,311.1906269215406
2009-07,359.157175131959
2009-08,388.04523656637247
2009-09,397.61695440056536
2009-10,394.1745842189892
2009-11,439.7824140275477
2009-12,427.94364111683234
2010-01,478.7803044923377
2010-02,482.5693800321444
2010-03,550.9792090666294
2010-04,520.412031153773
2010-05,454.01521415705895
2010-06,413.9277117605915
2010-07,447.7131991276104
2010-08,446.52138350765887
2010-09,465.84450364726445
2010-10,457.6588768618322
2010-11,434.219882258332
2010-12,453.29487818289135
2011-01,494.99652429175273
2011-02,523.3871081392566
2011-03,566.3956790144555
2011-04,585.6674489300381
2011-05,545.0630969190538
2011-06,539.291250350438
2011-07,521.3411072839631
2011-08,471.54099535386143
2011-09,399.10290605705063
2011-10,427.2661221543935
2011-11,387.92343472499687
2011-12,398.3774236556777
2012-01,445.51820171298016
2012-02,474.71794036090415
2012-03,487.630702589073
2012-04,492.1536452870888
2012-05,426.9122897848924
2012-06,435.7130818833787
