Date,SINGAPORE
1998-12,100.0
1999-01,103.84430025193065
1999-02,106.12080824656708
1999-03,119.9007512575372
1999-04,151.4379783885274
1999-05,155.94143910983672
1999-06,182.6248069279067
1999-07,178.39388237680467
1999-08,180.18962871832102
1999-09,175.76445747508635
1999-10,187.36975234807196
1999-11,207.59015867593
1999-12,233.5962954120005
2000-01,207.48587082429833
2000-02,191.89374603565113
2000-03,193.3332447498507
2000-04,215.2548968731656
2000-05,172.00535620057164
2000-06,188.90274887600864
2000-07,195.51879017992587
2000-08,210.77412178052523
2000-09,194.36510782083798
2000-10,202.19510836412695
2000-11,193.24112800095065
2000-12,180.2570022685902
2001-01,182.52958517605194
2001-02,180.2727233550748
2001-03,155.91662707098868
2001-04,157.28191271017113
2001-05,157.67969380550105
2001-06,160.51908298326066
2001-07,153.40486651949624
2001-08,149.255929021677
2001-09,118.45003661383359
2001-10,120.81929184273253
2001-11,130.797274361071
2001-12,145.55552484496047
2002-01,168.91077781837922
2002-02,161.65168235022887
2002-03,168.3776455588081
2002-04,158.29882585273197
2002-05,149.80647004638465
2002-06,132.8617543254309
2002-07,131.12256604838123
2002-08,130.79683974575394
2002-09,115.02682083913683
2002-10,125.8222174006904
2002-11,118.64630682277334
2002-12,109.85883062665081
2003-01,102.69424831502269
2003-02,101.27829547637766
2003-03,98.56729806069008
2003-04,97.23818487404841
2003-05,100.63787359790062
2003-06,109.04678301494629
2003-07,119.47237011262801
2003-08,127.18502146126637
2003-09,123.75404057304011
2003-10,131.30045899502014
2003-11,126.35726500028642
2003-12,125.76348325231366
2004-01,134.1224954185401
2004-02,135.6395215774408
2004-03,136.5015975995131
2004-04,137.64610081800046
2004-05,132.53323845291928
2004-06,134.84662518983492
2004-07,139.9931978608486
2004-08,141.88253245071607
2004-09,145.87621529843793
2004-10,143.4623708879047
2004-11,141.42969476458234
2004-12,142.69297346307425
2005-01,151.42470738001495
2005-02,149.84491667391544
2005-03,152.13798285815665
2005-04,153.6662800991701
2005-05,161.94548289837277
2005-06,168.38084932006487
2005-07,180.79136563089355
2005-08,171.31915310920567
2005-09,176.46779324610407
2005-10,170.65344781787368
2005-11,180.84798654636504
2005-12,188.08136763803515
2006-01,192.97875066271146
2006-02,201.9583420711008
2006-03,203.63256936430793
2006-04,208.29534051636367
2006-05,187.72730418450126
2006-06,193.20517183933913
2006-07,194.0032141521189
2006-08,200.10863673571782
2006-09,208.40971602006078
2006-10,224.0312462262851
2006-11,231.11298000127016
2006-12,246.86204442295826
2007-01,260.3366445030193
2007-02,257.6083289877576
2007-03,269.7986928009317
2007-04,274.49741101623164
2007-05,292.10341949400896
2007-06,293.90915991179907
2007-07,292.89637432518344
2007-08,283.9142491191298
2007-09,304.10738946276047
2007-10,312.52313019893194
2007-11,284.42942731370016
2007-12,285.82833164182387
2008-01,246.83874889762
2008-02,250.41139836411358
2008-03,244.14171797472795
2008-04,264.54821144197166
2008-05,266.87935536489965
2008-06,243.41325771222265
2008-07,244.2551023873792
2008-08,238.2892700961072
2008-09,212.46182652550922
2008-10,167.11525073298554
2008-11,162.45596638518924
2008-12,158.3184880324576
2009-01,162.1595679405801
2009-02,145.4094628527708
2009-03,150.78845716181343
2009-04,177.53214200137512
2009-05,207.51174977144245
2009-06,208.39001914070798
2009-07,238.30776368711824
2009-08,229.80343583902692
2009-09,238.68057012130996
2009-10,234.63396559224918
2009-11,241.8248418987277
2009-12,266.8956911875829
2010-01,258.97845759849565
2010-02,265.8736790258157
2010-03,279.4380032449833
2010-04,300.8047286950026
2010-05,297.0297467551844
2010-06,308.7439759039908
2010-07,313.3258878366691
2010-08,318.8695905997783
2010-09,320.8965526064411
2010-10,325.7048975524393
2010-11,342.0432182312214
2010-12,348.700284578569
2011-01,340.51470565519446
2011-02,321.06428608557746
2011-03,327.58108713560733
2011-04,331.0681930636597
2011-05,335.1804106189129
2011-06,327.1616632591375
2011-07,345.83166258916896
2011-08,312.63501871747553
2011-09,289.17250884403757
2011-10,307.5795989332884
2011-11,292.8981642911444
2011-12,295.8248333774861
2012-01,335.90611822383386
2012-02,344.49363482418823
2012-03,343.98803704128204
2012-04,349.2352968288171
2012-05,335.6867279436839
2012-06,347.33613902323214
2012-07,386.00032789612965
2012-08,375.55813096633796
2012-09,378.9506559589406
2012-10,370.5689115175577
2012-11,375.501643833665
2012-12,381.54101384254255
2013-01,375.9468600634864
2013-02,390.90347312907886
2013-03,403.56322455211784
2013-04,406.5569024164262
2013-05,393.02322110583606
2013-06,373.43776166475135
2013-07,379.1480899062686
2013-08,360.96026269846124
2013-09,375.3013208498885
2013-10,387.06052196678905
2013-11,380.70481448234995
2013-12,371.3423994016337
2014-01,354.60602910822706
2014-02,357.97267077630687
2014-03,367.9379849961984
2014-04,380.24430029681963
2014-05,393.6894166400874
2014-06,391.5408953824236
2014-07,417.47311573732156
2014-08,419.27096277002556
2014-09,419.3275575659498
2014-10,417.98748682354807
2014-11,425.3807834018292
2014-12,435.7909780156407
2015-01,457.5470072547756
2015-02,460.2813794969751
2015-03,481.68219043370675
2015-04,494.1682112053447
2015-05,477.9851346905518
2015-06,464.0770252071261
2015-07,445.8384508069935
2015-08,388.74750712227967
2015-09,373.021396825876
2015-10,412.66783067819347
2015-11,408.31077372152515
2015-12,399.62758615484194
2016-01,365.06431880131635
2016-02,375.9185613671173
2016-03,400.21954031665985
2016-04,400.3519441196933
2016-05,393.930756291955
2016-06,411.9805192793724
2016-07,410.2455682490511
