Date,PAKISTAN SMALL CAP
2010-11,1000.0
2010-12,1039.1708989469848
2011-01,1089.5765882396643
2011-02,982.3757172222898
2011-03,1048.6641761425099
2011-04,1076.1306320915835
2011-05,1053.9051334074843
2011-06,1011.7994890609523
2011-07,996.5476155113506
2011-08,956.7992037544967
2011-09,1033.550895107536
2011-10,1056.703467600243
2011-11,987.8702576736982
2011-12,939.1157312381399
2012-01,988.6765818106016
2012-02,1074.6438452048678
2012-03,1197.0191541201411
2012-04,1239.0377795982483
2012-05,1183.9304382680384
2012-06,1117.9695316371472
2012-07,1196.0580339045555
2012-08,1233.1117814113086
2012-09,1204.8618717136692
2012-10,1259.1005142618317
2012-11,1303.4675428595
2012-12,1321.3452495474214
2013-01,1356.2296664266032
2013-02,1389.235319515184
2013-03,1402.5174139385774
2013-04,1411.271192851345
2013-05,1554.1106498381316
2013-06,1590.334182169325
2013-07,1708.405556278183
2013-08,1533.8461781866513
2013-09,1501.424724140106
2013-10,1559.7001193672945
2013-11,1692.3160385741876
2013-12,1864.209408800553
2014-01,1915.4361905071096
2014-02,1932.1284561588266
2014-03,2150.008198467497
2014-04,2255.915013945948
2014-05,2318.083165206906
2014-06,2304.530541381536
2014-07,2375.5900615401047
2014-08,2156.7746253382966
2014-09,2304.6987372486597
2014-10,2412.670441846585
2014-11,2565.8232787709458
2014-12,2720.7114384671468
2015-01,2875.7384463106714
2015-02,2799.8352439864516
2015-03,2540.404337914639
2015-04,2838.0287625054752
2015-05,2759.4892258389696
2015-06,2909.7555416832256
2015-07,3022.8216141032212
2015-08,2955.0632971268624
2015-09,2737.4381397102857
2015-10,2854.005706104703
2015-11,2750.4864989703788
2015-12,2841.3120326109756
2016-01,2800.0529363542387
2016-02,2751.9451135577306
2016-03,2879.7471838892857
2016-04,2982.21483476461
2016-05,2994.93758136365
2016-06,3119.491658771049
2016-07,3318.4833130040406
2016-08,3355.1687690422605
2016-09,3411.3645848481574
2016-10,3292.0472121704356
2016-11,3661.0326271535478
2016-12,4030.1239857095957
2017-01,4242.861951363753
2017-02,4185.133148241781
2017-03,4209.328358569136
2017-04,4424.580535
2017-05,4403.347478
2017-06,3925.001263
2017-07,3878.370839
2017-08,3507.30128
2017-09,3576.073317
2017-10,3383.213524
2017-11,3360.335522
2017-12,3154.386923
2018-01,3470.241617
2018-02,3354.182266
2018-03,3366.551454
2018-04,3403.0393174752544
2018-05,3242.0988309394093
2018-06,3010.95213684151
2018-07,3022.6472271575813
2018-08,3008.568828878351
2018-09,2890.9580265508002
2018-10,2806.9377213869852
2018-11,2629.316903548032
2018-12,2310.6084553628284
2019-01,2579.614465910449
2019-02,2475.26501124208
2019-03,2383.412010480421
2019-04,2268.546497564207
2019-05,2161.699491581123
2019-06,1874.1307430264494
2019-07,1788.0893338736278
2019-08,1704.8531903565256
2019-09,1831.684536457695
2019-10,1949.7274588903044
2019-11,2280.315460473774
2019-12,2337.188668909637
2020-01,2393.111138799813
2020-02,2220.3131286179105
2020-03,1591.6216099937426
2020-04,1949.1274123291325
2020-05,1870.0764991120927
2020-06,1832.1677105462354
2020-07,2092.2065907166407
2020-08,2161.0500533766362
2020-09,2137.3706435949844
2020-10,2163.0220381812856
2020-11,2254.2531924549003
2020-12,2347.350853705163
2021-01,2428.718453315437
2021-02,2521.241543977618
2021-03,2505.9155210387867
2021-04,2485.0027884910983
2021-05,2653.457022663569
2021-06,2543.7438236415755
2021-07,2438.583538078289
2021-08,2402.800114687414
2021-09,2281.677491370298
2021-10,2333.6305791257932
2021-11,2191.4878064815143
2021-12,2190.046579396914
2022-01,2238.7940210533366
2022-02,2207.0576740115434
2022-03,2173.5220877707034
2022-04,2201.2534848737982
2022-05,2006.7260602679203
2022-06,1889.0780850743447
2022-07,1558.0227499237815
2022-08,1773.097624196252
2022-09,1653.5131327839717
2022-10,1749.624719493994
2022-11,1812.6868888337056
2022-12,1684.9658306650003
2023-01,1466.967987387757
2023-02,1527.4810690299287
2023-03,1422.3934443952453
2023-04,1468.4069220557808
2023-05,1445.5824294724844
2023-06,1449.6614937344395
2023-07,1698.4413412728666
