Date,INDIA SMALL CAP
1994-05,321.7202156688088
1994-06,338.95578902259274
1994-07,355.62712313616703
1994-08,408.69833802952604
1994-09,382.4191372930902
1994-10,374.60442910758803
1994-11,359.0856656183315
1994-12,338.41496832268945
1995-01,320.1471764604694
1995-02,300.4047950123173
1995-03,289.904851213417
1995-04,262.7261444892903
1995-05,259.84952664964226
1995-06,239.1728349417957
1995-07,246.34182855766036
1995-08,225.95734149991844
1995-09,216.9254858240581
1995-10,211.72004391284227
1995-11,179.17702394935304
1995-12,184.50788067801668
1996-01,162.6733418920014
1996-02,194.80309150370195
1996-03,191.94936601618468
1996-04,199.27613279144424
1996-05,191.42582225878346
1996-06,193.99894234432807
1996-07,173.3818778991315
1996-08,165.24674069448852
1996-09,142.57285954425095
1996-10,136.76009977702245
1996-11,122.65298554600518
1996-12,131.76726598775863
1997-01,138.18256786537992
1997-02,141.40094677613337
1997-03,126.84988176812321
1997-04,132.14483606374498
1997-05,127.68326844039832
1997-06,138.55052474811072
1997-07,162.46158773092512
1997-08,146.37218383241012
1997-09,138.47968271596184
1997-10,135.98521447152268
1997-11,116.60602564665746
1997-12,116.94326317882181
1998-01,107.97439407243353
1998-02,115.7369366045715
1998-03,130.20333909384695
1998-04,143.4597151236107
1998-05,136.95922334153937
1998-06,107.13150690107854
1998-07,109.29062596081037
1998-08,108.04585786731205
1998-09,114.89787360003427
1998-10,108.019438174652
1998-11,107.89575710467314
1998-12,118.52481531610051
1999-01,126.32527924096455
1999-02,122.5099918290463
1999-03,141.19277793998344
1999-04,119.73121864391003
1999-05,136.19922709186034
1999-06,143.8964830910122
1999-07,159.66118908651262
1999-08,195.52976681363566
1999-09,196.7761376565114
1999-10,182.66153428479663
1999-11,197.15079597594107
1999-12,220.31253225973413
2000-01,237.44615930940083
2000-02,235.0262025452336
2000-03,211.99585006221105
2000-04,182.43379846238457
2000-05,177.05905098673503
2000-06,184.6742780408386
2000-07,172.86343765898005
2000-08,175.483975686894
2000-09,157.01146712214418
2000-10,148.28277416902557
2000-11,164.2755527056694
2000-12,166.33534106121496
2001-01,172.43371699415232
2001-02,168.54548768720977
2001-03,129.90820285514357
2001-04,128.2760319468582
2001-05,136.0766102976922
2001-06,119.00388580571378
2001-07,111.9750132882606
2001-08,110.41792627375396
2001-09,96.96198601344398
2001-10,103.37341655908989
2001-11,119.97442035524713
2001-12,117.4372306063623
2002-01,119.44563237854341
2002-02,129.6831934891423
2002-03,135.40486693148367
2002-04,145.99940611731722
2002-05,142.68947855819835
2002-06,152.07213214214195
2002-07,138.32413028538812
2002-08,137.97175580343446
2002-09,131.95184321007906
2002-10,127.43999620625492
2002-11,135.5722342420922
2002-12,143.20814572090202
2003-01,137.38571857252722
2003-02,142.3083050127752
2003-03,133.8065772130206
2003-04,139.10759639447176
2003-05,156.00796382372636
2003-06,174.70519970068182
2003-07,190.0453999249577
2003-08,210.41424723734073
2003-09,225.84982780104303
2003-10,251.71211535271397
2003-11,266.3531094917522
2003-12,320.4462020522366
2004-01,302.13929680863373
2004-02,299.6490588072954
2004-03,306.32850101822453
2004-04,314.4711708195116
2004-05,264.72561299396176
2004-06,267.0878403014066
2004-07,288.1347164770378
2004-08,303.5374932039917
2004-09,326.335175719391
2004-10,329.8022658187136
2004-11,374.2127252817271
2004-12,436.18709866003894
2005-01,427.1833164316179
2005-02,453.353494011682
2005-03,447.2647040587903
2005-04,442.72392888784753
2005-05,472.18808478602125
2005-06,480.8338449577877
2005-07,538.716454483475
2005-08,575.1662903979394
2005-09,615.4884925431853
2005-10,542.6876267909164
2005-11,589.0781407586893
2005-12,642.2366815878271
2006-01,695.6658907442865
2006-02,706.2860657530741
2006-03,773.4706661646902
2006-04,807.3016194729589
2006-05,682.4148151738167
2006-06,605.5934099415311
2006-07,589.6412121974736
2006-08,657.1015703505537
2006-09,717.9326877536018
2006-10,766.9832891517952
2006-11,829.946626258298
2006-12,845.7141687391402
2007-01,886.0655591728646
2007-02,804.2790120644186
2007-03,811.6181011254413
2007-04,925.0272958856947
2007-05,1000.0
2007-06,1052.257250733271
2007-07,1094.8314662464923
2007-08,1060.7522701906253
2007-09,1223.833521604193
2007-10,1363.636795737086
2007-11,1440.2131029590125
2007-12,1656.7437951775214
2008-01,1304.875223196574
2008-02,1274.4646748321204
2008-03,1068.5370605081123
2008-04,1173.722590870711
2008-05,1054.6467632818
2008-06,824.5597583721985
2008-07,867.1117152309166
2008-08,859.8629452805021
2008-09,678.2498648326182
2008-10,430.22365629407295
2008-11,385.49322392365053
2008-12,455.45071058262903
2009-01,411.35921032992223
2009-02,362.1972781947887
2009-03,393.9696518764566
2009-04,480.33897627981816
2009-05,764.9470921976734
2009-06,758.9069126188211
2009-07,830.1305251116044
2009-08,875.2534745557023
2009-09,951.4388420461104
2009-10,912.6673584778679
2009-11,983.8669772571112
2009-12,1029.0995138478097
2010-01,1011.3712277905886
2010-02,989.9826249173211
2010-03,1084.9838044239998
2010-04,1153.2158929403952
2010-05,1043.822340622851
2010-06,1090.962727090839
2010-07,1133.1546741572952
2010-08,1146.419050435559
2010-09,1284.8073283046801
2010-10,1339.3670161864652
2010-11,1198.0449469371345
2010-12,1236.7409179151548
2011-01,1058.9221990320116
2011-02,995.6001663874735
2011-03,1086.726022282614
