Date,SAUDI ARABIA DOMESTIC SMALL CAP
2002-05,221.45793861466683
2002-06,212.24628900144066
2002-07,218.50261387355332
2002-08,220.3658376890147
2002-09,220.1267201397536
2002-10,215.76653809839752
2002-11,205.35067137801929
2002-12,209.79576917927528
2003-01,213.43513045128864
2003-02,214.5260360703324
2003-03,220.25966127537842
2003-04,234.02559705412241
2003-05,284.3751284808955
2003-06,293.3179499290034
2003-07,327.505978457675
2003-08,351.0592470704543
2003-09,350.64477891810856
2003-10,306.48526142091407
2003-11,337.29092391688766
2003-12,364.7702706786022
2004-01,387.4451671126184
2004-02,415.5115493380532
2004-03,455.2363404705618
2004-04,556.7320424280205
2004-05,546.4099127174048
2004-06,532.4920999541494
2004-07,560.9487409800192
2004-08,607.8102655944979
2004-09,620.3419897142547
2004-10,580.908762544497
2004-11,636.7457697387222
2004-12,600.3577421753718
2005-01,569.896707708673
2005-02,625.9396340504358
2005-03,672.00024927384
2005-04,777.5193731324385
2005-05,1005.2706855374545
2005-06,1217.5885112011906
2005-07,1099.4885623116381
2005-08,1346.244667325546
2005-09,1523.2784759575027
2005-10,1613.2542590584112
2005-11,1747.6977458000977
2005-12,2001.5188373700948
2006-01,2364.3796676883358
2006-02,2741.7476399390716
2006-03,1420.4368263551544
2006-04,1022.0120208380472
2006-05,1137.2890189081265
2006-06,1618.2964540881587
2006-07,1298.7742703441472
2006-08,1590.2524909103101
2006-09,1872.0006056976747
2006-10,1424.6350527630443
2006-11,831.8350181612435
2006-12,760.9780149753955
2007-01,720.3048985045506
2007-02,865.9982350887111
2007-03,875.1703086786905
2007-04,846.6875264000836
2007-05,848.8958236403832
2007-06,722.5253877380242
2007-07,846.625560318302
2007-08,923.943544809734
2007-09,897.7602031067181
2007-10,914.7462271306821
2007-11,1000.0
2007-12,1027.5936437913322
2008-01,894.8227613786032
2008-02,950.7041526773818
2008-03,869.9334481858259
2008-04,950.6136598359565
2008-05,932.9136204030242
2008-06,914.4169995847627
2008-07,860.4928355818902
2008-08,841.6976513284453
2008-09,684.9915922106559
2008-10,465.5702095693116
2008-11,414.3596235313131
2008-12,457.4199133259346
2009-01,471.863693260582
2009-02,457.0558056939315
2009-03,461.80657014329074
2009-04,558.162580031252
2009-05,581.6187507473375
2009-06,588.3733550762577
2009-07,593.1757921765204
2009-08,564.3561612776055
2009-09,602.5803143387894
2009-10,622.8342591177062
2009-11,619.10276542471
2009-12,589.2830662649947
2010-01,578.7763960957203
2010-02,589.640333647147
2010-03,611.7283694355311
2010-04,610.4542997065439
2010-05,539.7945277949913
2010-06,536.4681605740244
2010-07,545.683350577338
2010-08,526.4797542991349
2010-09,554.6040866582812
2010-10,532.9559747670502
2010-11,531.3156337361864
2010-12,565.6956338267061
2011-01,534.0981756046662
2011-02,510.62670226349064
2011-03,561.0481903737168
2011-04,583.4812485175589
2011-05,625.4848877321118
2011-06,599.0388879526475
2011-07,576.4991874868017
2011-08,534.7643349263094
2011-09,568.2732815191351
2011-10,578.7067195837292
2011-11,583.6389549246646
2011-12,632.0444621397455
2012-01,668.4731241086613
2012-02,725.9840701142416
2012-03,778.7008545763418
2012-04,764.4920838117982
2012-05,693.4716459386143
2012-06,637.2944299948122
2012-07,700.9635023986966
2012-08,753.8394979910178
2012-09,755.0388879001293
2012-10,718.453104570836
2012-11,670.1763320687145
2012-12,703.0175720559592
2013-01,705.4122719926605
2013-02,699.3328512943768
2013-03,731.1455180011338
2013-04,773.6723382262575
2013-05,768.5804214287389
2013-06,761.0864706889845
2013-07,805.514927168627
2013-08,766.1401355654388
2013-09,810.8029818251492
2013-10,807.7348453923344
2013-11,824.4310309738142
2013-12,844.2052253112182
2014-01,845.9297578767622
2014-02,888.6053993155688
2014-03,933.7844210086487
2014-04,1023.0977459604262
2014-05,1055.8308278253905
2014-06,1003.9696148379014
2014-07,1044.9004666580215
2014-08,1122.7876054293886
2014-09,1143.5395787911607
2014-10,1057.3397184109267
2014-11,981.2021352459125
2014-12,873.7737440593215
2015-01,963.8309988895505
2015-02,995.1808654973896
2015-03,961.415546753054
2015-04,1044.145727173107
2015-05,1055.9298521951528
2015-06,1006.307047721464
2015-07,1000.913219739492
2015-08,790.9351253519648
2015-09,796.3967813151958
2015-10,775.6716370866997
2015-11,789.0382060291525
2015-12,749.011730344339
2016-01,604.4228747618369
2016-02,630.6960667109718
2016-03,653.6145985790986
2016-04,725.2112785152083
2016-05,688.3963007394043
2016-06,703.706916857228
2016-07,691.8104516335289
2016-08,645.898175437134
2016-09,561.9711578677903
2016-10,568.1497970525403
2016-11,679.5873490562292
2016-12,726.7946785681279
2017-01,695.6464432480027
2017-02,686.0076099535853
2017-03,694.2910200258507
2017-04,692.280711
2017-05,670.411373
2017-06,678.825166
2017-07,678.859095
2017-08,672.103821
2017-09,678.885166
2017-10,642.886766
2017-11,632.795067
2017-12,679.836705
2018-01,698.081155
2018-02,690.349646
2018-03,704.864197
2018-04,751.6871204376341
2018-05,711.8192737906556
2018-06,726.3266769101897
2018-07,677.756052572507
2018-08,656.3061836638974
2018-09,628.2923185835662
2018-10,624.9853353439931
2018-11,629.5587983718651
2018-12,627.8760553561597
2019-01,664.1806091790876
2019-02,664.365660420163
2019-03,692.4242452152673
2019-04,721.0353453551686
2019-05,693.9823631103387
2019-06,717.1935853250952
2019-07,763.3467648931196
2019-08,751.1315336872633
2019-09,785.105019137643
2019-10,752.0791734620866
2019-11,764.6617827651258
2019-12,854.6805607242353
2020-01,908.6947798879721
2020-02,829.5446746696067
2020-03,677.7327172972684
2020-04,751.17025741766
2020-05,712.0287340045221
2020-06,779.2736507167898
2020-07,829.7742442395495
2020-08,873.3163948960649
2020-09,937.8920163878372
2020-10,875.6963097661716
2020-11,962.9974044698167
2020-12,982.1030445176666
2021-01,1013.562986316243
2021-02,1017.9442689498557
2021-03,1074.0170635327772
2021-04,1147.1290235256965
2021-05,1193.1343193043062
2021-06,1247.1368884301771
2021-07,1261.9302212250382
2021-08,1245.4325193327945
2021-09,1230.875756253049
2021-10,1198.4771264264598
2021-11,1084.2882430202217
2021-12,1112.1752111839496
2022-01,1190.3147363109758
2022-02,1168.0799581437127
2022-03,1223.51655579673
2022-04,1234.107363237813
2022-05,1149.2934064041715
2022-06,1040.3027978038153
2022-07,1088.3279767197846
2022-08,1134.5296845169562
2022-09,1082.7759871845656
2022-10,1095.044090383769
2022-11,1038.3126885880765
2022-12,1007.2788309871332
2023-01,1065.9007225723988
2023-02,1078.775185278018
2023-03,1134.2886553315177
2023-04,1206.8771404489191
2023-05,1267.0388339178858
2023-06,1352.6869601500168
2023-07,1368.3549536913297
