Date,TAIWAN SMALL CAP
1996-09,1611.1069843288283
1996-10,1650.7991627858412
1996-11,1695.7804025679914
1996-12,1812.2076714989214
1997-01,1982.5626818239687
1997-02,2226.127790809594
1997-03,2396.200182709762
1997-04,2492.3882491500435
1997-05,2175.2092223556033
1997-06,2348.4765290575438
1997-07,2314.842530927891
1997-08,2359.1426511455543
1997-09,2299.6669847124067
1997-10,1734.2089039873465
1997-11,1804.1954141019949
1997-12,1981.7145920098988
1998-01,1851.6701077951186
1998-02,2234.092375840554
1998-03,2343.2638279907837
1998-04,2150.3586683025396
1998-05,2006.935039771187
1998-06,1921.2801290767839
1998-07,1925.045935876204
1998-08,1636.510155809898
1998-09,1719.6869375398082
1998-10,1832.668315527593
1998-11,1689.2240472037947
1998-12,1465.7924404356222
1999-01,1292.3399647063613
1999-02,1274.6193635784687
1999-03,1408.4658394277576
1999-04,1531.6836113728143
1999-05,1405.8732203242078
1999-06,1376.4575569478714
1999-07,1199.2687096300099
1999-08,1297.8378546767915
1999-09,1225.8991774583635
1999-10,1146.0722328299032
1999-11,1092.8480621098554
1999-12,1143.6895651312097
2000-01,1449.4372208217335
2000-02,1475.1943495204175
2000-03,1545.6820257994584
2000-04,1368.5305872709703
2000-05,1337.0324437192107
2000-06,1189.156340711161
2000-07,1094.6922119444537
2000-08,969.5472937118849
2000-09,821.7988031254855
2000-10,643.0354555174218
2000-11,573.2225839514674
2000-12,522.1694279884094
2001-01,704.0655800958261
2001-02,750.8429564536236
2001-03,798.7564309033781
2001-04,710.4265452402118
2001-05,599.5970558983637
2001-06,571.1275702737383
2001-07,482.1790253927995
2001-08,510.12266680588084
2001-09,427.3342209207685
2001-10,423.84901462855487
2001-11,480.912731769159
2001-12,597.2372104944586
2002-01,651.2727700593856
2002-02,625.7818917373394
2002-03,720.5417531295304
2002-04,743.5923134301785
2002-05,692.396255015318
2002-06,626.4876753758506
2002-07,622.9126575782509
2002-08,605.2909987480064
2002-09,515.352305562564
2002-10,567.2628388627438
2002-11,570.4841763698853
2002-12,552.1580264420583
2003-01,643.4760256054335
2003-02,562.860250554939
2003-03,528.060924864395
2003-04,481.79020695577145
2003-05,540.42952915583
2003-06,590.7614848391632
2003-07,647.034648547133
2003-08,657.4101832248149
2003-09,655.8851006692339
2003-10,691.2522026699573
2003-11,681.2110728035545
2003-12,706.817740942519
2004-01,798.4606123953987
2004-02,866.6177055217295
2004-03,831.8231260554362
2004-04,766.2601411787845
2004-05,730.6202243976327
2004-06,668.1380411953677
2004-07,606.1928092425278
2004-08,630.9402670702759
2004-09,641.5083875551385
2004-10,622.6607253822903
2004-11,642.5225913142267
2004-12,696.7835176372876
2005-01,669.2096109918771
2005-02,721.3815171999004
2005-03,699.6658413354943
2005-04,662.1580433619978
2005-05,676.8196539165363
2005-06,711.3678331842106
2005-07,725.047123053776
2005-08,678.9242459214227
2005-09,656.6549665580635
2005-10,598.4914423997789
2005-11,645.6455695734762
2005-12,731.3857296714572
2006-01,727.9405669405255
2006-02,712.1288257222355
2006-03,730.6134416438974
2006-04,815.9721402698704
2006-05,800.7910122714857
2006-06,746.1140770981405
2006-07,732.4035949271512
2006-08,729.592032660329
2006-09,762.6446877064155
2006-10,785.7579742350138
2006-11,886.3693503867136
2006-12,933.8897581131979
2007-01,911.1108735793332
2007-02,949.1418496787569
2007-03,979.8139906244303
2007-04,956.0390122197116
2007-05,1000.0
2007-06,1097.144628251796
2007-07,1266.4808812189867
2007-08,1167.7705723413399
2007-09,1214.9431210896694
2007-10,1183.3373768082126
2007-11,1019.6527514581865
2007-12,981.7494161959527
2008-01,858.0697084191023
2008-02,1039.3860561738084
2008-03,1117.6298135333045
2008-04,1163.7750020918784
2008-05,1113.674941303095
2008-06,921.7109402872982
2008-07,905.7247576115633
2008-08,887.3906044961687
2008-09,635.5165751114556
2008-10,529.9762698790541
2008-11,482.9866019216886
2008-12,517.5133377089485
2009-01,483.06329297856
2009-02,512.5263209182959
2009-03,613.506918306735
2009-04,725.4990223815245
2009-05,913.0974447965734
2009-06,832.5185136842009
2009-07,961.6503015537891
2009-08,902.1154586093737
2009-09,1024.092228516658
2009-10,1006.8109174411559
2009-11,1076.0813565106043
2009-12,1196.1019169083834
2010-01,1096.0346324381783
2010-02,1058.9424768748304
2010-03,1172.9719231946026
2010-04,1197.8692275057556
2010-05,1071.5355441521301
2010-06,1063.3297838320602
2010-07,1145.679049379865
2010-08,1132.2604834130238
2010-09,1257.5446185159637
2010-10,1263.2340781794292
2010-11,1278.2370350810336
2010-12,1404.6920765685456
2011-01,1426.0636238276168
2011-02,1324.1968455931546
2011-03,1328.8898175352458
2011-04,1376.9884527560378
2011-05,1378.2722471557581
2011-06,1329.107468013791
2011-07,1327.2545696395327
2011-08,1149.6618756539453
2011-09,1007.0714974260427
2011-10,1059.2323675837888
2011-11,921.5453980226231
2011-12,936.2215482094488
2012-01,1060.788621107876
2012-02,1201.827269839579
2012-03,1157.933336545743
2012-04,1091.249300583398
2012-05,1064.7548648441004
2012-06,1058.0692493349682
2012-07,1051.7401806000596
2012-08,1091.819726837211
2012-09,1156.233502382139
2012-10,1039.4379081969903
2012-11,1096.7015010262821
2012-12,1143.1200488014406
2013-01,1153.993672627252
2013-02,1169.4913308157759
2013-03,1187.2196492304913
2013-04,1224.1439864116232
2013-05,1273.0468379949682
2013-06,1218.6326372946899
2013-07,1261.921461634955
2013-08,1272.1356445086128
