Date,AUSTRIA SMALL CAP
2000-12,100.0
2001-01,101.49294285049382
2001-02,107.19891564379031
2001-03,97.71416097021255
2001-04,96.87759700349561
2001-05,90.16847263330168
2001-06,90.39113933731097
2001-07,95.4857785843994
2001-08,94.4142852903201
2001-09,83.5734488250627
2001-10,77.1576297517837
2001-11,78.27966066616702
2001-12,79.69073908029493
2002-01,80.14737384371291
2002-02,85.41810593962356
2002-03,87.51563054591989
2002-04,94.401755082747
2002-05,98.2789321462799
2002-06,99.85331058986799
2002-07,92.12951222039214
2002-08,91.12987213869393
2002-09,89.56355806443725
2002-10,89.13539497964175
2002-11,91.1618373136485
2002-12,97.49925046394247
2003-01,103.81485728318606
2003-02,104.33337258955856
2003-03,106.2336722686566
2003-04,115.31645036197462
2003-05,127.2799061615466
2003-06,125.60080260454988
2003-07,124.92475724622359
2003-08,123.1203524448533
2003-09,130.1581082793238
2003-10,131.94630128125976
2003-11,139.5670832851377
2003-12,152.17286000573247
2004-01,160.12618818516813
2004-02,160.81328765645176
2004-03,167.0454867629168
2004-04,166.47381700699907
2004-05,168.01083822557266
2004-06,174.33289363522837
2004-07,172.35752485934927
2004-08,177.0339564998637
2004-09,183.6017953946629
2004-10,191.54687223550656
2004-11,215.99668325594794
2004-12,229.84586060193604
2005-01,229.92931994909995
2005-02,255.35823207706417
2005-03,243.0121710191854
2005-04,249.76438432587997
2005-05,248.9218003250431
2005-06,256.11558352157357
2005-07,270.63616730330324
2005-08,275.95601322971254
2005-09,284.3898967643784
2005-10,264.4446532929676
2005-11,278.54983183999883
2005-12,299.760650419232
2006-01,329.28056412127535
2006-02,332.44627186766763
2006-03,351.9446457397761
2006-04,394.0850543325193
2006-05,357.8683528727587
2006-06,362.324962591144
2006-07,366.4293655681923
2006-08,367.1792098308226
2006-09,374.2330361101986
2006-10,405.2155113589776
2006-11,429.6750312175542
2006-12,449.242146286345
2007-01,471.97054677958863
2007-02,480.4971933834742
2007-03,535.1333749313
2007-04,560.0824118019956
2007-05,564.3280999156073
2007-06,534.775852693963
2007-07,510.6263659652586
2007-08,496.15451133680585
2007-09,491.35849628253084
2007-10,559.9063226991459
2007-11,499.69941921897015
2007-12,494.21903093586076
2008-01,442.784957025334
2008-02,468.8998232889532
2008-03,478.33936061696073
2008-04,490.6145125030736
2008-05,518.9913890515315
2008-06,480.44038630256597
2008-07,440.7797547841767
2008-08,413.5542640456628
2008-09,324.36102669443466
2008-10,225.6246949196679
2008-11,213.62804945474429
2008-12,241.35675913697204
2009-01,250.13022122712576
2009-02,226.75341165734105
2009-03,250.77318349414455
2009-04,296.2735379851549
2009-05,337.95132855977914
2009-06,340.21344624047157
2009-07,363.88456442101625
2009-08,446.57289389184785
2009-09,500.81510812960914
2009-10,477.4258568253218
2009-11,495.07009686925477
2009-12,494.9202262738845
2010-01,484.8526432072926
2010-02,466.28191628473604
2010-03,501.81804608451876
2010-04,504.2887899002432
2010-05,428.27999232417716
2010-06,412.6176479493861
2010-07,468.5299118814641
2010-08,443.0407226943061
2010-09,510.16535949897104
2010-10,539.7703692450411
2010-11,512.5160619885789
2010-12,584.0211320714491
2011-01,577.560176253545
2011-02,577.672262746904
2011-03,608.4719309273522
2011-04,641.1543053094493
2011-05,612.4196655648597
2011-06,578.9011882666349
2011-07,546.5807813845663
2011-08,506.5182668358147
2011-09,441.48200127785117
2011-10,472.43910682987985
2011-11,436.69625233486596
2011-12,421.0090244571031
2012-01,454.527140052221
2012-02,481.6176691457445
2012-03,485.6023390291159
2012-04,491.908519062102
2012-05,447.4799956593233
2012-06,456.1310377392251
2012-07,444.51351050461784
2012-08,462.85145547698767
2012-09,485.17538691545593
2012-10,495.68030066949274
2012-11,516.9577722528091
2012-12,544.1379615225865
