Date,KUWAIT SMALL CAP
2002-05,325.0584976687345
2002-06,341.9161085072123
2002-07,333.6222635014805
2002-08,333.5779802104467
2002-09,304.2383902299558
2002-10,315.30072048856687
2002-11,346.91733137199776
2002-12,361.8746696173936
2003-01,381.2713604313243
2003-02,384.8371961800556
2003-03,418.37201313912294
2003-04,485.42854188865846
2003-05,516.4257003077271
2003-06,506.2475086640479
2003-07,528.5709566249274
2003-08,569.511587482458
2003-09,639.0041328258785
2003-10,630.2827576972393
2003-11,642.418625228561
2003-12,679.7429911263897
2004-01,731.7394268507251
2004-02,753.8517869217179
2004-03,692.5981735962498
2004-04,661.4283142966102
2004-05,664.1617271094685
2004-06,686.506847787621
2004-07,700.0572812991161
2004-08,738.1300787155446
2004-09,755.5096276471891
2004-10,756.8079823886181
2004-11,794.7281455312075
2004-12,799.0852937365911
2005-01,804.2656993120345
2005-02,803.4907433291136
2005-03,829.8033437278327
2005-04,872.2662971465476
2005-05,834.8397385086022
2005-06,886.8677139756817
2005-07,880.4032179095848
2005-08,934.0537978310289
2005-09,1041.4206258953573
2005-10,1183.4104535742563
2005-11,1189.9297604367696
2005-12,1150.9967038273526
2006-01,1175.7674487342783
2006-02,1107.3243704777346
2006-03,937.2464850812794
2006-04,958.2926782097775
2006-05,922.9195703229456
2006-06,934.2124984775334
2006-07,862.6867112006702
2006-08,895.2468639531659
2006-09,949.3114009728262
2006-10,966.3763102958003
2006-11,870.2784581134601
2006-12,879.7495853740496
2007-01,841.3917362635727
2007-02,847.0478117589672
2007-03,875.989422513975
2007-04,907.0956930345361
2007-05,963.9903263217024
2007-06,1016.5298905276834
2007-07,1106.7002232641119
2007-08,1109.9262174442397
2007-09,1104.8546322109391
2007-10,1082.2775088505734
2007-11,1000.0000000000001
2007-12,1024.737085516118
2008-01,1123.054164979205
2008-02,1153.7997054859406
2008-03,1163.3626974480953
2008-04,1184.0264040790453
2008-05,1226.382176375424
2008-06,1250.7201328594983
2008-07,1187.513575370877
2008-08,1108.767485363653
2008-09,925.9016079785142
2008-10,660.0962595614959
2008-11,582.7778012898738
2008-12,489.3033456523989
2009-01,397.14574199910015
2009-02,386.8438284709073
2009-03,404.5767489078885
2009-04,487.6921947855175
2009-05,518.6071173886269
2009-06,524.0919159446076
2009-07,490.26464055668725
2009-08,501.2346241881883
2009-09,498.6525958612636
2009-10,453.20511938936414
2009-11,426.1625180197638
2009-12,423.86398262529025
2010-01,434.19977577658466
2010-02,458.33337584364943
2010-03,457.2964016510761
2010-04,448.1308356149814
2010-05,373.72846273782284
2010-06,358.3707190301063
2010-07,399.19004358890993
2010-08,387.4166982202893
2010-09,410.6813592399383
2010-10,421.2487983589603
2010-11,408.3166637280513
2010-12,412.72606026718995
2011-01,418.6348054173054
2011-02,383.8282814352113
2011-03,362.7834344704937
2011-04,389.3295828282243
2011-05,378.2089458520512
2011-06,369.5385250719157
2011-07,357.37809764224204
2011-08,327.630741761144
2011-09,334.7463678294459
2011-10,360.2002479462942
2011-11,345.3211697136873
2011-12,335.3330748782406
2012-01,336.4807728811757
2012-02,340.0742585602092
2012-03,352.46658198105496
2012-04,352.1515285296613
2012-05,336.4173793552316
2012-06,313.8883051665107
2012-07,310.0854832702132
2012-08,314.18347172541513
2012-09,333.853100422268
2012-10,319.1085987699918
2012-11,314.5440219642091
2012-12,316.09264113330744
2013-01,330.53295058203986
2013-02,315.06156383490696
2013-03,326.38840810752794
2013-04,349.8997699814311
2013-05,364.2570513411635
2013-06,347.9080016892849
2013-07,358.36643127698386
2013-08,338.17994488890747
2013-09,349.24183310383546
2013-10,352.1797643207565
2013-11,352.09846390540605
2013-12,346.14518335684744
2014-01,346.00301841388006
2014-02,351.13049740913294
2014-03,353.387333667845
2014-04,363.85143132443346
2014-05,358.81006494145896
2014-06,338.92563598095666
2014-07,345.990887792615
2014-08,357.941549584524
2014-09,359.55448122642224
2014-10,343.3684131681433
2014-11,324.6063367133264
2014-12,307.64852891223586
2015-01,305.1755004076006
2015-02,299.7997440130211
2015-03,287.02899466948907
2015-04,286.5920978473685
2015-05,278.67447427679804
2015-06,272.79054924270866
2015-07,277.5846764446104
2015-08,252.67936152794695
2015-09,252.45370152177992
2015-10,256.73557454679127
2015-11,264.56846585826463
2015-12,256.15178909195237
2016-01,233.95965533012708
2016-02,241.6638456080218
2016-03,254.7902410448436
2016-04,263.4287927929412
2016-05,249.20246133614475
2016-06,249.13084008636366
2016-07,250.82776606527676
2016-08,242.0860589402832
2016-09,238.7642570859562
2016-10,247.29080575654763
2016-11,242.6981518752425
2016-12,250.18909344755366
2017-01,276.28752915736544
2017-02,268.4882043523781
2017-03,261.46384479103693
2017-04,250.440798
2017-05,246.045558
2017-06,246.069967
2017-07,261.290959
2017-08,258.616723
2017-09,259.252093
2017-10,251.248166
2017-11,240.981088
2017-12,244.563675
2018-01,246.371885
2018-02,243.468664
2018-03,245.549877
2018-04,243.99025267608033
2018-05,237.65119217931206
2018-06,243.04128483856115
2018-07,252.693541375531
2018-08,249.10006136372914
2018-09,239.34446599665515
2018-10,227.25348852495813
2018-11,238.69673785894065
2018-12,235.13592095810887
2019-01,233.8946858858396
2019-02,227.8508613822706
2019-03,245.2472045388319
2019-04,256.32123748418144
2019-05,260.064733436458
2019-06,263.142793461815
2019-07,274.5834881617857
2019-08,261.2616200711854
2019-09,254.66487263579452
2019-10,257.3506359599647
2019-11,265.27517648653776
2019-12,265.65400811357495
2020-01,267.1763310793194
2020-02,257.70012973588376
2020-03,181.42806853451935
2020-04,202.4478472878198
