Date,JAMAICA SMALL CAP
2010-11,1000.0
2010-12,998.8870644554156
2011-01,1013.1648547989827
2011-02,1065.428782016582
2011-03,1015.9154570199383
2011-04,1072.7773404562267
2011-05,1064.9463377964148
2011-12,976.9592720320344
2012-01,900.9492519500934
2012-02,903.7208277257721
2012-03,930.2960018074817
2012-04,990.1114620763631
2012-05,943.3744151615798
2012-06,923.0924387200544
2012-07,865.0736422719672
2012-08,900.6856681782576
2012-09,816.5638080303638
2012-10,874.8754237472855
2012-11,799.9726554798633
2012-12,814.3867142593941
2013-01,822.0455827959074
2013-02,692.7997625193626
2013-03,585.4731050879234
2013-04,748.9136114604004
2013-05,844.8275114270283
2016-05,1000.0
2016-06,994.9658846796121
2016-07,974.9084632508379
2016-08,966.6730746518791
2016-09,1014.7916532943714
2016-10,960.8588404112767
2016-11,1104.9867901288608
2016-12,1248.0974185262128
2017-01,1311.7056891673556
2017-02,1570.899111806974
2017-03,1472.4532110691928
2017-04,1423.01434
2017-05,1497.5958855188082
2017-11,1000.0
2017-12,978.855072
2018-01,981.033223
2018-02,996.63777
2018-03,1001.067776
2018-04,1048.6989323989146
2018-05,1032.357666027474
2018-06,1014.7654973207161
2018-07,958.230357098312
2018-08,932.0856180540458
2018-09,1021.1859981217743
2018-10,1064.9028644364337
2018-11,1134.0899053764138
2018-12,1124.4077618636986
2019-01,1085.5265913901535
2019-02,1140.1035898936182
2019-03,1253.8091775694322
2019-04,1167.5246776264385
2019-05,1315.27864209474
2019-06,1283.341067998994
2019-07,1372.7661033092343
2019-08,1342.255550430812
2019-09,1255.8471040802142
2019-10,1201.24825729111
2019-11,1285.2316295778026
2019-12,1326.9665491533449
2020-01,1176.0487170531512
2020-02,1172.5815963817868
2020-03,933.5660340146277
2020-04,855.4780950138701
2020-05,900.1079184715514
2020-06,896.1202004657572
2020-07,853.6601071870898
2020-08,812.9933620492629
2020-09,863.7750374018717
2020-10,863.7489568713326
2020-11,966.6533850778663
2020-12,1025.508113831409
2021-01,928.4109045284523
2021-02,940.623960890835
2021-03,1015.6562322599003
2021-04,1076.2769102440209
2021-05,1125.1974255404957
2021-06,1162.7751980700523
2021-07,1118.0625694449818
2021-08,1144.0979582419413
2021-09,1151.157611743752
2021-10,1087.4634766595607
2021-11,1040.1904802353797
2021-12,1042.0792734084182
2022-01,1022.7838564123252
2022-02,1088.2053296469426
2022-03,1132.6194498903108
2022-04,1237.1551884104585
2022-05,1269.003404503076
2022-06,1243.3626800945628
2022-07,1189.485626479935
2022-08,1162.0706209001605
2022-09,1115.7088862269084
2022-10,1052.7970667926095
2022-11,1005.4126661657834
2022-12,1057.8528801133289
2023-01,1003.0226724453375
2023-02,978.2365987584376
2023-03,1013.3378417974764
2023-04,1009.357662183932
2023-05,982.144931905286
2023-06,1009.2477716489647
2023-07,964.2486028646181
