Date,SWITZERLAND SMALL CAP
2000-12,100.0
2001-01,102.2465666197861
2001-02,101.3550437388747
2001-03,91.73283211965337
2001-04,94.7810676981488
2001-05,92.7751737464455
2001-06,90.57631718611418
2001-07,87.47640443924686
2001-08,87.34099775926367
2001-09,73.67662852883032
2001-10,73.84237459204734
2001-11,79.50219738081049
2001-12,81.43631061131016
2002-01,78.09953995160416
2002-02,78.00001931982484
2002-03,85.45264856472892
2002-04,86.12165449879484
2002-05,89.0695187711978
2002-06,87.27453632442122
2002-07,75.82454340988046
2002-08,71.87956682148355
2002-09,64.03194555900444
2002-10,65.66747950644272
2002-11,68.20869188567008
2002-12,68.40125836867134
2003-01,62.06145025631492
2003-02,61.848261470773885
2003-03,65.16292500992894
2003-04,72.89638574938199
2003-05,79.9442387952894
2003-06,78.72901002846383
2003-07,83.71734511501342
2003-08,87.97898089756286
2003-09,96.02363184874243
2003-10,106.60975479439637
2003-11,112.60465139529056
2003-12,118.38249983924484
2004-01,125.82912530510615
2004-02,128.63323509999006
2004-03,122.9425531856825
2004-04,122.23322521493436
2004-05,124.21778612885106
2004-06,127.79573406181937
2004-07,120.00744138973637
2004-08,119.36101661013357
2004-09,123.7689138928722
2004-10,126.71589394420062
2004-11,138.57631680562548
2004-12,141.67271949513773
2005-01,144.6407451369904
2005-02,154.09874329463858
2005-03,151.84719610841486
2005-04,148.18906849751542
2005-05,145.04015273014264
2005-06,146.58453400866782
2005-07,157.79218189088286
2005-08,165.58238336274565
2005-09,167.97935111436638
2005-10,158.66333631104652
2005-11,157.68409585233937
2005-12,164.22762080065604
2006-01,181.6933891831573
2006-02,187.25494266894125
2006-03,195.8238033330397
2006-04,209.8254212884416
2006-05,199.0420340118489
2006-06,196.71786845491388
2006-07,197.67014314161838
2006-08,206.44944792143033
2006-09,210.67873309300262
2006-10,220.9815154211409
2006-11,232.35836482715578
2006-12,242.4034237894174
2007-01,258.99904004191166
2007-02,257.8085462149592
2007-03,270.5851871869551
