Date,AUSTRALIA SMALL CAP
2000-12,100.0
2001-01,101.0011200892187
2001-02,94.42762158949421
2001-03,83.79562247075754
2001-04,89.51979300865189
2001-05,90.33427086491785
2001-06,94.86135083221735
2001-07,92.81939576788966
2001-08,96.45683361129636
2001-09,86.83852723554625
2001-10,93.30434538682378
2001-11,97.71698313569935
2001-12,97.78443849845604
2002-01,100.77164103707364
2002-02,102.43865268887885
2002-03,107.71549744969005
2002-04,105.3608953515743
2002-05,117.14952912538153
2002-06,112.10531890649143
2002-07,105.4072019523224
2002-08,110.85854922027288
2002-09,105.87011018293904
2002-10,106.44008475304551
2002-11,108.37958656734479
2002-12,111.43766987737578
2003-01,115.92432613797048
2003-02,113.14531184192266
2003-03,115.42119389440711
2003-04,125.31634023807716
2003-05,131.8092961718666
2003-06,138.4884047277031
2003-07,139.05487649186074
2003-08,142.763707950439
2003-09,153.63304064647286
2003-10,169.10264102851286
2003-11,168.3582357290272
2003-12,179.79270329259998
2004-01,181.22068404732983
2004-02,189.07377756913027
2004-03,189.64595746265982
2004-04,178.1439305165578
2004-05,177.31641021126543
2004-06,176.41093895270942
2004-07,183.84294135702012
2004-08,191.5946100106784
2004-09,205.35677445887518
2004-10,225.601373
2004-11,238.48517389185957
2004-12,250.53885244778377
2005-01,254.94367434922773
2005-02,257.2889536240756
2005-03,251.19386808824464
2005-04,241.68250338699372
2005-05,244.68515322075206
2005-06,260.45554558177923
2005-07,273.6492795175132
2005-08,278.41512519889295
2005-09,297.16077289337994
2005-10,279.9579191909058
2005-11,291.1631171573699
2005-12,297.8859306151128
2006-01,314.3796727305663
2006-02,311.3612884577465
2006-03,323.93233175141324
2006-04,350.26416767521465
2006-05,336.04621911272545
2006-06,333.8627299567409
2006-07,338.71227194291106
2006-08,350.88825920439564
2006-09,351.0550919738814
2006-10,381.92365837323354
2006-11,403.3856411855267
2006-12,414.52845903295423
2007-01,413.6163820020348
2007-02,424.54105016691165
2007-03,448.58157245206553
2007-04,484.7911210219349
2007-05,500.3530282825162
2007-06,511.234265249921
2007-07,506.1090374534908
2007-08,473.2691025236524
2007-09,523.837143048924
2007-10,569.6719198071318
2007-11,519.3062149473615
2007-12,505.2652167276733
2008-01,446.15890780501417
2008-02,481.875077106561
2008-03,454.67128281627873
2008-04,488.45619419858167
2008-05,495.675373836027
2008-06,435.0193968337607
2008-07,417.69164020986295
2008-08,388.93528840871977
2008-09,310.0944112759772
2008-10,196.46678632817384
2008-11,169.7257317907631
2008-12,185.19891440906727
2009-01,155.5111031870905
2009-02,144.89696214574533
2009-03,177.40514773241554
2009-04,210.38748583260215
2009-05,243.9567525055669
2009-06,257.51405015778204
2009-07,292.0008950886453
2009-08,319.56414377199417
2009-09,350.7241340128992
2009-10,357.1017085309798
2009-11,369.4985649675916
2009-12,381.01562112107825
2010-01,349.0324165856042
2010-02,352.64603521980456
2010-03,383.9400608076325
2010-04,390.1378679940842
2010-05,319.12193101029305
2010-06,310.08317933857086
2010-07,347.5169413127855
2010-08,348.1883670352867
2010-09,409.17084257511374
2010-10,428.22344849100523
2010-11,418.20432808227224
2010-12,475.1783138841378
2011-01,453.7906107697687
2011-02,472.9103718906529
2011-03,487.9665731202566
2011-04,504.55569315218355
2011-05,488.1593825954223
2011-06,468.4658772504876
2011-07,477.19058477414154
2011-08,449.6914920951088
2011-09,368.4802495790279
2011-10,439.186968419098
2011-11,409.5695672926376
2011-12,392.9800889676468
2012-01,437.4927890009194
2012-02,469.1918958907256
2012-03,450.2591264776566
2012-04,451.66761362775486
2012-05,380.7255634895397
2012-06,384.6750310884988
2012-07,395.8712104009486
2012-08,398.1916093954239
2012-09,415.3391341015439
2012-10,425.7921628931991
2012-11,423.3705354115482
2012-12,435.55387487439293
2013-01,458.14332287008335
2013-02,462.98689408112773
2013-03,460.44335234382737
2013-04,446.61221734846697
2013-05,391.4719926024987
2013-06,349.288140229938
2013-07,370.86856033892883
2013-08,379.95343309770715
2013-09,408.29219041601914
2013-10,423.2076462887559
2013-11,391.22653436080554
2013-12,392.66633521875093
2014-01,371.03579220559357
2014-02,400.1809547744787
2014-03,412.7288745271392
2014-04,413.09631647312324
2014-05,414.36979412259956
2014-06,414.96924724695106
2014-07,429.48251244651084
2014-08,436.22953306882494
2014-09,382.1444971339831
2014-10,386.7279915521991
2014-11,361.86515059665214
2014-12,354.0471597226088
2015-01,339.8477413731392
2015-02,368.0807716034478
2015-03,356.92093164985005
2015-04,368.54230147262984
2015-05,366.67848304596043
2015-06,336.019887397491
2015-07,328.7026678271377
2015-08,305.0625016304172
2015-09,294.80885112344157
2015-10,320.9389753108192
2015-11,322.17288164371615
2015-12,330.7965869696797
2016-01,307.69716492862375
2016-02,314.7821810439736
2016-03,358.4123996777849
2016-04,365.9675550927507
2016-05,360.02473183292835
2016-06,365.2758481892329
2016-07,404.96494658599676
2016-08,395.8808942520152
2016-09,405.6880545390556
2016-10,384.5358258438036
2016-11,375.61077405071325
2016-12,382.50183534101535
2017-01,391.1253884577169
2017-02,402.6831271700725
2017-03,412.363559357084
2017-04,405.93179
2017-05,401.07836
2017-06,418.887196
2017-07,432.542832
2017-08,441.862953
2017-09,437.084805
2017-10,450.926438
2017-11,461.333115
2017-12,487.709998
2018-01,502.477935
2018-02,484.418004
2018-03,467.4179
2018-04,475.5840975752323
2018-05,485.19876610641194
2018-06,480.1239187879767
2018-07,479.87795686717527
2018-08,477.7522586964805
2018-09,476.5212131408855
2018-10,428.9348810846938
2018-11,435.7429618809302
2018-12,405.9658784586336
2019-01,445.7974383524436
2019-02,462.3004196153569
2019-03,461.66097298262076
2019-04,472.66835811491643
2019-05,459.42372606866746
2019-06,476.53636624152597
2019-07,491.7318504589422
2019-08,467.2082628782441
2019-09,473.47183065244775
2019-10,477.30347600596167
2019-11,476.9934088071051
2019-12,492.5173783750643
2020-01,489.5733099500583
2020-02,428.294015070369
2020-03,312.54502153559866
2020-04,389.77911328109053
2020-05,440.7559233505607
2020-06,459.6671730123104
2020-07,486.1803354196405
2020-08,537.2909606434117
2020-09,505.6567707836022
2020-10,502.3730800746926
2020-11,573.9657365278521
2020-12,618.0553545388294
2021-01,610.4855905472486
2021-02,623.2381418278316
2021-03,625.5535298259837
2021-04,664.2999338921892
2021-05,666.5530209731886
2021-06,669.4037614028823
2021-07,666.5589346245816
2021-08,687.7005381979392
2021-09,670.1996084066268
2021-10,704.1352365480341
2021-11,666.4826572525282
2021-12,710.932459691578
2022-01,630.0235301821929
2022-02,652.3023704222251
2022-03,715.1817227683243
2022-04,668.5099174811575
2022-05,638.5027176190033
2022-06,533.1613252249412
2022-07,592.9011110518753
2022-08,601.0112061160321
2022-09,515.827469465668
2022-10,547.1878433357124
2022-11,600.9109874306332
2022-12,582.4853387503528
2023-01,641.172971541311
2023-02,590.057187734261
2023-03,574.3363842503437
2023-04,584.3565311631796
2023-05,562.8546350301834
2023-06,580.2173001469508
2023-07,609.1824087672684
