Date,GHANA SMALL CAP
2010-11,1000.0
2010-12,1198.0084461793172
2011-01,1140.2791555010256
2011-02,1095.2992960368551
2011-03,1114.0777843712442
2011-04,1211.2364758113038
2011-05,1379.7117204579213
2011-06,1380.7691223789082
2011-07,1371.4660624601652
2011-08,1292.2422779737228
2011-09,1066.4640196129756
2011-10,921.5261936126215
2011-11,847.4597516453791
2011-12,842.2242479116347
2012-01,804.4449176053674
2012-02,791.9879256813427
2012-03,761.3353978081824
2012-04,739.3683467282652
2012-05,722.5126971619023
2013-11,985.5477855477855
2013-12,938.3688897430966
2014-01,961.2936083524318
2014-02,851.3037350246649
2014-03,873.7378699207585
2014-04,729.1571560124207
2014-05,702.6633832501382
2014-06,673.5231561402053
2014-07,616.000039223485
2014-08,511.115561771708
2014-09,660.4976664948881
2014-10,699.0112216442516
2014-11,736.1284556313674
2014-12,738.2982478909646
2015-01,715.8432513369671
2015-02,675.9605559053366
2015-03,646.9988055216417
2015-04,647.7798416192658
2015-05,639.112752137851
2015-06,614.8792206683904
2015-07,690.620985419416
2015-08,669.9598709052101
2015-09,777.4499505618106
2015-10,745.2944008527434
2015-11,756.3283171703084
