Date,KAZAKHSTAN SMALL CAP
2015-11,1000.0
2015-12,961.9047619047617
2016-01,738.095238095238
2016-02,916.6666666666665
2016-03,859.5238095238093
2016-04,690.4761904761903
2016-05,958.5437782982042
2016-06,880.8240124902417
2016-07,880.8240124902418
2016-08,874.3473653395782
2016-09,870.4613770491799
2016-10,919.6838953942225
2016-11,816.0575409836059
2016-12,829.010835284933
2017-01,937.8185074160803
2017-02,920.9792248243548
2017-03,932.6371896955493
2017-04,893.777307
2017-05,896.292811
2017-06,1004.934363
2017-07,1099.995722
2017-08,1113.575916
2017-09,1520.981739
2017-10,1463.944924
2017-11,1317.278828
2017-12,1480.241157
2018-01,1412.340186
2018-02,1298.266556
2018-03,1300.982595
2018-04,1319.9948665764014
2018-05,1262.7189086128403
2019-05,969.9999999999999
2019-06,988.0000000000001
2019-07,920.0000000000003
2019-08,920.9872585185191
2019-09,1107.6190377777784
2019-10,1079.2185496296302
2019-11,1136.0195259259262
2019-12,1213.1065651851854
2020-01,1196.8777148148151
2020-02,1213.1065651851854
2020-03,1213.1065651851854
2020-04,1186.7346833333336
2020-05,1081.0240041618179
