Date,PERU SMALL GROWTH
1995-05,263.99743733451896
1995-06,264.71197662599565
1995-07,264.5155229587748
1995-08,235.00071889436035
1995-09,215.9104955103068
1995-10,195.18431048857312
1995-11,198.47113581009086
1995-12,196.40001978088702
1996-01,204.9605094377973
1996-02,209.7446907912224
1996-03,215.9343625558502
1996-04,222.42116128588245
1996-05,223.19186181706687
1996-06,226.09547008215014
1996-07,221.05892809811533
1996-08,222.9464102909901
1996-09,248.96864354990964
1996-10,243.81918914317964
1996-11,234.53585949599443
1996-12,228.61813138952238
1997-01,229.52716274997044
1997-02,251.1401620779778
1997-03,277.35000959006766
1997-04,284.9528474729949
1997-05,372.25905670519586
1997-06,360.0207784502014
1997-07,364.67467894163303
1997-08,328.4340227010851
1997-09,321.934184716748
1997-10,318.9081948458285
1997-11,314.0842660423201
1997-12,313.92048995625294
1998-01,284.33896552117784
1998-02,268.2992587660414
1998-03,283.00238354477625
1998-04,282.0809447429799
1998-05,270.1942223309176
1998-06,258.7661477269838
1998-07,244.78891559343538
1998-08,190.30445736898017
1998-09,161.57414090202113
1998-10,132.1700509726356
1998-11,151.31229337656907
1998-12,134.77640443573148
1999-01,123.90193800378131
1999-02,128.5587525393433
1999-03,138.5377304522231
1999-04,146.51210829143693
1999-05,151.99916574040216
1999-06,154.50502306910752
1999-07,140.18701242800432
1999-08,131.86799682958525
1999-09,134.68975680270785
1999-10,132.22534672078297
1999-11,132.6885312052019
1999-12,131.44430924558583
2000-01,129.04168723499922
2000-02,131.2726832603859
2000-03,124.71390150748937
2000-04,126.55980953358299
2000-05,120.05289542002116
2000-06,119.27341053066026
2000-07,117.37854911679197
2000-08,118.96914640979254
2000-09,108.21386080751445
2000-10,106.238825656609
2000-11,101.57027660781482
2000-12,97.86951104459747
2001-01,97.67014012703952
2001-02,97.38601967508764
2001-03,101.57927448399953
2001-04,91.68210236531303
2001-05,92.16369785145926
2001-06,98.00847337188242
2001-07,99.89304050865644
2001-08,103.36590671965392
2001-09,101.68689089624867
2001-10,104.08285022058361
2001-11,106.44486617925105
2001-12,105.41116104176147
2002-01,105.6075084727977
2002-02,110.57641894708264
2002-03,103.09196348303023
2002-04,98.94886597973152
2002-05,100.1936834457842
2002-06,95.67619504863093
2002-07,84.36019152635257
2002-08,80.71764110276247
2002-09,82.9965453672345
2002-10,89.43464551995484
2002-11,98.58436763854709
2002-12,99.84955833832599
2003-01,106.89024950392472
2003-02,111.05909753070131
2003-03,109.86103291605497
2003-04,119.52954438160037
2003-05,122.69649575583982
2003-06,125.78883653232572
2003-07,127.73756135211696
2003-08,129.84766802069262
2003-09,136.18125471310978
2003-10,137.64193313149832
2003-11,132.8492886954749
2003-12,159.52903297989752
2004-01,171.41730203384557
2004-02,167.89970621909472
2004-03,269.11793585054255
2004-04,242.14633733719188
2004-05,248.1059724018826
2004-06,223.69362105299336
2004-07,238.66253385124085
2004-08,242.38101601040302
2004-09,252.8053735863182
2004-10,266.2964478822061
2004-11,283.2843469811474
2004-12,277.961093637925
2005-01,286.5077534942973
2005-02,299.3871831533542
2005-03,305.44579337375586
2005-04,299.87346188259687
2005-05,288.2692678492854
2005-06,283.46538442291245
2005-07,290.56919002731473
2005-08,290.21643504149876
2005-09,294.1024400293325
2005-10,256.0359520411533
2005-11,255.4214345309265
2005-12,244.0667201446035
2006-01,273.19136300855024
2006-02,286.38067397695335
2006-03,269.53491090712214
2006-04,304.0534955153156
2006-05,294.1205899651052
2006-06,345.832977181772
2006-07,344.7979375484944
2006-08,382.97737785319913
2006-09,388.20289840060207
2006-10,419.7269049342412
2006-11,465.42128285904886
2006-12,562.2459956479133
2007-01,568.7053284871527
2007-02,663.4809921873396
2007-03,816.7369821101864
2007-04,964.5008803407858
2007-05,1000.0
2007-06,1032.854685620109
2007-07,1093.299874028896
2007-08,932.959087669112
2007-09,1025.3068302710838
2007-10,1078.6090522162333
2007-11,985.7469330921624
2007-12,941.9027216505064
2008-01,791.2444699181441
2008-02,1086.296499898759
2008-03,1112.5155524544746
2008-04,1044.7207200359053
2008-05,1052.9331835462817
2008-06,965.5481570799963
2008-07,927.1968983445254
2008-08,885.9032971614143
2008-09,719.1577752010426
2008-10,434.7477361890009
2008-11,355.5766466793672
2008-12,284.9002814088028
2009-01,232.56713513910705
2009-02,191.21303904035204
2009-03,277.95966387217464
2009-04,300.26200744114124
2009-05,488.7219341877645
2009-06,427.85089359017627
2009-07,425.8702922750436
2009-08,450.99281709817944
2009-09,500.7560999807683
2009-10,468.03107465308346
2009-11,436.5566627933907
2009-12,450.1022350135478
2010-01,475.58905608732005
2010-02,480.5621348717356
2010-03,515.5754922627806
2010-04,541.4350554765529
2010-05,461.7792324619934
2010-06,459.2846717499476
2010-07,463.7276535400319
2010-08,499.2090614192062
2010-09,589.4363273426038
2010-10,596.7164479629565
2010-11,648.7114328842979
2010-12,773.8186301224868
2011-01,779.154548966053
2011-02,758.1676821264318
2011-03,708.7462927387269
2011-04,534.1088084238155
2011-05,691.4801441533212
2011-06,605.304044198833
2011-07,711.0861911729008
2011-08,659.6610972553808
2011-09,573.6186038407444
2011-10,614.1686477171926
2011-11,591.6798133635227
2011-12,544.7789294090206
2012-01,653.9433419939207
2012-02,737.3076348141533
2012-03,715.0525739055031
2012-04,683.7305953227936
2012-05,631.8108552932429
2012-06,603.3329478988633
2012-07,655.7738630250919
2012-08,744.0772719331804
2012-09,786.1401561283219
2012-10,821.1839807774932
2012-11,738.833258397634
2012-12,753.3881701735263
2013-01,788.1935888598742
2013-02,737.8679174961468
2013-03,714.1216620891147
2013-04,577.5906010336232
2013-05,496.80746942617924
2013-06,337.5941538816023
2013-07,372.98517364823516
2013-08,445.1025616047299
2013-09,352.82235210623884
2013-10,302.22113264911525
2013-11,280.7162979569565
2013-12,293.67672011931654
2014-01,301.12403045992653
2014-02,314.4923310923564
2014-03,286.77273626303196
2014-04,306.3612518547414
2014-05,292.32076070611123
2014-06,349.9630448642023
2014-07,345.90803912320786
2014-08,398.30578772566685
2014-09,350.37548908374896
2014-10,311.3925005493771
2014-11,328.683229783579
2014-12,342.7898061691404
2015-01,404.8587422656103
2015-02,437.3038679524015
2015-03,351.2537520004774
2015-05,1000.0
2015-06,986.8819498728893
2015-07,947.9857444764255
2015-08,880.7621502010142
2015-09,863.8849508144782
2015-10,941.314736412929
2015-11,837.6770658590225
2017-05,1000.0
2017-06,1024.928396
2017-07,1021.877476
2017-08,1146.645942
2017-09,1482.604722
2017-10,1638.712429
2017-11,1258.891021
2017-12,1186.852733
2018-01,1229.806669
2018-02,1062.406267
2018-03,1168.079724
2018-04,1206.1609068010046
2018-05,953.727924256299
2018-06,780.4181682789209
2018-07,780.4658375925621
2018-08,795.6106942326692
2018-09,748.5360327443665
2018-10,590.5698809837829
2018-11,710.8096351120138
2018-12,673.895643741331
2019-01,722.5550249065645
2019-02,659.5751531651626
2019-03,598.8414169674419
2019-04,532.7547380439312
2020-11,1000.0
2020-12,1078.3333333333328
2021-01,1067.6666666666665
2021-02,1163.3333333333328
2021-03,996.666666666666
2021-04,877.6589830508467
2021-05,962.4833898305076
2021-06,859.1891525423722
2021-07,696.0389830508466
2021-08,773.3386440677957
2021-09,763.7616949152534
2021-10,982.3213559322027
2021-11,991.8983050847451
2021-12,924.4541332156402
2022-01,1104.9294473195275
2022-02,1131.9131350593323
2022-03,1210.7615732600593
2022-04,1010.9725651441111
2022-05,1009.492912652133
2022-06,865.5967078072518
2022-07,890.0109739248919
2022-08,797.5326931762535
2022-09,742.0457247270704
2022-10,909.9862825665969
2022-11,909.9862825665969
