Date,PHILIPPINES SMALL CAP
1994-05,1635.9211167283866
1994-06,1545.2238651142277
1994-07,1561.8207165191193
1994-08,1802.072237964115
1994-09,1848.061252282639
1994-10,2062.2925678789975
1994-11,1926.8026053591857
1994-12,1883.1969737408353
1995-01,1675.7262594439032
1995-02,1624.6715918012746
1995-03,1534.7482472585123
1995-04,1526.7831467339893
1995-05,1660.0932236465226
1995-06,1755.522853868735
1995-07,1762.8116449155507
1995-08,1723.9976916051
1995-09,1703.3728850453706
1995-10,1641.6347350173196
1995-11,1503.4209121915658
1995-12,1507.9265300053817
1996-01,1545.3072831513425
1996-02,1557.4134580879129
1996-03,1571.3228783746197
1996-04,1779.4679838565617
1996-05,1888.262771155031
1996-06,1915.2455459765115
1996-07,1788.314007661515
1996-08,1849.4386992182456
1996-09,1901.0328957316297
1996-10,1859.3638485947115
1996-11,1942.6838623935328
1996-12,1958.4432666034938
1997-01,2202.1591136355896
1997-02,2347.8896520644134
1997-03,2239.6940044322287
1997-04,1897.5381560066724
1997-05,1841.4710125789413
1997-06,1814.9284209850048
1997-07,1488.7344927838544
1997-08,1233.3827587985515
1997-09,982.1037147092525
1997-10,870.1669214023846
1997-11,746.1541123262551
1997-12,634.2502460806047
1998-01,527.8855187616331
1998-02,703.0440719285115
1998-03,767.6998799572129
1998-04,655.2277204197097
1998-05,657.0331134929678
1998-06,535.2979047935667
1998-07,467.8220502963652
1998-08,351.399079515205
1998-09,338.0048429060359
1998-10,534.6825740271544
1998-11,613.9772217678063
1998-12,568.8138214616341
1999-01,575.16360428566
1999-02,575.7010471956528
1999-03,580.3023019796252
1999-04,741.8669774128282
1999-05,781.6600509357372
1999-06,904.2065730059603
1999-07,882.6068016358894
1999-08,836.2604909901196
1999-09,786.1454705609698
1999-10,811.3380982704723
1999-11,763.8239879888633
1999-12,789.3319483979143
2000-01,731.253050094962
2000-02,664.9044995936176
2000-03,649.0669116394577
2000-04,604.803381186172
2000-05,537.6008701257564
2000-06,529.1389839093557
2000-07,477.7857825570335
2000-08,476.51512679745946
2000-09,413.8403797599319
2000-10,329.9903377322054
2000-11,367.2324035410825
2000-12,371.5224354499938
2001-01,427.0144160823764
2001-02,420.135850605462
2001-03,372.7206206954046
2001-04,344.76499912399345
2001-05,374.94416672566814
2001-06,365.33187776843613
2001-07,360.4208079082329
2001-08,360.03128411550557
2001-09,316.78449081881956
2001-10,289.0672936174698
2001-11,315.13557863413
2001-12,333.2632012949512
2002-01,368.2960715558895
2002-02,371.8318386409064
2002-03,378.1740445195764
2002-04,372.2415575894199
2002-05,372.6507102489828
2002-06,323.348485006699
2002-07,296.4144112265094
2002-08,306.0444414056995
2002-09,311.05348035920167
2002-10,248.34148020510312
2002-11,212.15918934856225
2002-12,219.1661862406255
2003-01,220.17592993546856
2003-02,200.03040184534603
2003-03,206.1243784521641
2003-04,211.94969852418143
2003-05,202.99137213963212
2003-06,247.57600435610328
2003-07,259.4785822418893
2003-08,259.37270421279754
2003-09,274.60406096735375
2003-10,290.4701395939886
2003-11,277.73128191062034
2003-12,289.4138281091624
2004-01,322.0574276267574
2004-02,305.39939338815896
2004-03,272.85743328254813
2004-04,308.3676295936039
2004-05,303.82508939966795
2004-06,318.82703874977034
2004-07,302.06572291074343
2004-08,297.13899278786977
2004-09,324.5327453465718
2004-10,343.56184600029894
2004-11,348.04819958252153
2004-12,337.66794631312507
2005-01,387.25710822490623
2005-02,418.80998348403773
2005-03,376.17532741350254
2005-04,355.2637338639706
2005-05,361.77370943745944
2005-06,338.8738661663056
2005-07,350.65710984548247
2005-08,355.8072180409777
2005-09,356.3484023965175
2005-10,367.58467351348986
2005-11,408.1757314854155
2005-12,419.6264990762493
2006-01,456.5022183238438
2006-02,442.65477903978
2006-03,470.9261200130685
2006-04,472.6571315415894
2006-05,490.68250681373036
2006-06,456.68430628725434
2006-07,507.76162176757794
2006-08,516.0829848812848
2006-09,560.1259172095765
2006-10,635.2994357498645
2006-11,640.1560362180111
2006-12,710.8308914563181
2007-01,767.8211738361512
2007-02,824.9774348575803
2007-03,858.3229885472497
2007-04,870.8507086179283
2007-05,1000.0
2007-06,1079.5861899449337
2007-07,1048.0938867811658
2007-08,951.0606269795326
2007-09,988.6292449979616
2007-10,1109.4866049385942
2007-11,970.2195805350408
2007-12,1040.6581083215233
2008-01,882.3850638892934
2008-02,908.3403837993122
2008-03,828.6166876879228
2008-04,789.8668901561698
2008-05,758.5774955957057
2008-06,631.2589343218182
2008-07,637.5211000895506
2008-08,612.8200289197489
2008-09,518.0087354517675
2008-10,367.1245620146304
2008-11,353.9935111151255
2008-12,346.58765796198196
2009-01,348.3506968274426
2009-02,339.99673058676626
2009-03,379.04960565704397
2009-04,431.71147039309176
2009-05,549.4334420787321
2009-06,523.3573229382355
2009-07,671.2514679262882
2009-08,748.6140926177418
2009-09,745.9329092044504
2009-10,761.7082528670597
2009-11,792.3970764487606
2009-12,805.5505157937544
2010-01,765.8131397514326
2010-02,801.2684970270317
2010-03,917.4100223596931
2010-04,988.5446483661407
2010-05,931.1629710968876
2010-06,983.6988257208269
2010-07,1024.8890665566214
2010-08,1139.2750086129347
2010-09,1417.8639299032245
2010-10,1579.2508660610556
2010-11,1421.7873764528063
2010-12,1511.2281352042203
2011-01,1366.9701955279386
2011-02,1255.0543906389228
2011-03,1390.2335552034458
2011-04,1565.6150040702505
2011-05,1510.3796422730181
2011-06,1461.7695044721281
2011-07,1609.5311721949015
2011-08,1490.8204505683525
2011-09,1312.2337653389984
2011-10,1424.5631325712761
2011-11,1362.6525184936402
2011-12,1385.49369551951
2012-01,1496.0334490285895
2012-02,1573.1833203381063
2012-03,1660.1802159519618
2012-04,1756.3435946653658
2012-05,1669.3691455158116
2012-06,1799.138425090341
2012-07,1848.4489746837967
2012-08,1765.4922727511794
2012-09,1830.3403968424084
2012-10,1916.527887897757
2012-11,2008.1377493785967
2012-12,2041.450233650537
2013-01,2290.485979198686
2013-02,2476.5528101177897
2013-03,2478.9977739420356
2013-04,2537.832233132316
2013-05,2266.8719868830885
2013-06,1837.3742281123475
2013-07,1874.5634961336482
2013-08,1662.694919167051
2013-09,1668.2000912034052
2013-10,1693.2248380515512
2013-11,1522.2810281939803
2013-12,1486.0628927526636
2014-01,1503.2344697860608
2014-02,1606.8493827429636
2014-03,1609.689407078627
2014-04,1733.5330999413397
2014-05,1760.9427833683785
2014-06,1796.0183436242066
2014-07,1823.3030875578218
2014-08,1841.9812675144115
2014-09,1902.8173528156562
2014-10,1878.968726796821
2014-11,1898.0627120730044
2014-12,1905.659255871168
2015-01,1987.4432222390556
2015-02,2032.08798584117
2015-03,1980.8751157964184
2015-04,1917.1150889345374
2015-05,1795.7062828298144
2015-06,1735.1671630803248
2015-07,1735.5327701874753
2015-08,1535.1589324839942
2015-09,1428.9687281023325
2015-10,1528.1608428584086
2015-11,1443.1264378716432
2015-12,1431.2759091557016
2016-01,1254.692151747244
2016-02,1340.5876997861335
2016-03,1570.843664963292
2016-04,1529.9195975677505
2016-05,1650.1310657484287
2016-06,1787.3713207824517
2016-07,1788.7712794071522
2016-08,1862.7740450361273
2016-09,1749.1282450907343
2016-10,1732.2813264420474
2016-11,1636.1393650332432
2016-12,1588.494043122983
2017-01,1720.922718573565
2017-02,1680.0195101420677
2017-03,1689.2622319569593
2017-04,1749.533123
2017-05,1747.653912
2017-06,1679.105809
2017-07,1660.295703
2017-08,1645.808595
2017-09,1644.577896
2017-10,1559.422962
2017-11,1564.288609
2017-12,1589.658916
2018-01,1589.365756
2018-02,1531.997228
2018-03,1540.772722
2018-04,1476.0724792169067
2018-05,1394.223469914569
2018-06,1272.6589740052368
2018-07,1297.764330574635
2018-08,1285.7968462714834
2018-09,1190.077656116927
2018-10,1193.5245202284746
2018-11,1228.5874398266146
2018-12,1270.1980664817772
2019-01,1362.1467390568369
2019-02,1419.368955029408
2019-03,1401.0236207600417
2019-04,1422.9909189016914
2019-05,1392.1196632095723
2019-06,1446.6424518674603
2019-07,1447.837367830865
2019-08,1352.7087471165491
