Date,PAKISTAN SMALL VALUE
2017-05,1000.0
2017-06,887.7043392202092
2017-07,908.13809
2017-08,864.863802
2017-09,912.25601
2017-10,884.362285
2017-11,874.104316
2017-12,821.248637
2018-01,892.950463
2018-02,867.219048
2018-03,878.17702
2018-04,885.0679545949309
2018-05,851.6837376268386
2018-06,792.9429810769647
2018-07,795.5656643066932
2018-08,792.6786220534161
2018-09,770.9830615015817
2018-10,751.0718683306976
2018-11,714.3457121417488
2018-12,624.7663098086975
2019-01,708.0893124159069
2019-02,672.1156353850743
2019-03,643.6509950094737
2019-04,624.9492586906512
2019-05,597.1869067725413
2019-06,508.6582603537505
2019-07,489.01145479129354
2019-08,464.62265657042667
2019-09,512.6387956345768
2019-10,551.7393237626239
2019-11,627.8764408654068
2019-12,652.0152340582626
2020-01,655.7687670095208
2020-02,594.6586532989016
2020-03,427.9517592184089
2020-04,514.8486172036647
2020-05,492.261649449123
2020-06,486.65083878674943
2020-07,543.2560083744075
2020-08,562.2280870964144
2020-09,548.1898193252993
2020-10,541.3899290742588
2020-11,579.6417922237132
2020-12,604.5137615817823
2021-01,622.4178533247091
2021-02,606.9525001219677
2021-03,604.204440360572
2021-04,611.6062974768637
2021-05,650.3838357878924
2021-06,625.3702826020867
2021-07,607.7382362653598
2021-08,599.170964368385
2021-09,567.4691778972243
2021-10,606.3730599190893
2021-11,589.9693856873514
