Date,PORTUGAL SMALL CAP
2000-12,100.0
2001-01,108.01966515687545
2001-02,102.19013224878456
2001-03,91.04812425302796
2001-04,89.83095440354082
2001-05,84.6834399500359
2001-06,75.37757938495533
2001-07,78.4121769995831
2001-08,78.96803690729139
2001-09,76.72456386866195
2001-10,91.06187576788432
2001-11,93.12427622805487
2001-12,94.48953355223765
2002-01,92.24694388703823
2002-02,92.03640124046564
2002-03,101.17129722456401
2002-04,103.1301388669635
2002-05,102.77073796858373
2002-06,99.84293329160546
2002-07,89.98891135073507
2002-08,88.46000883204424
2002-09,76.25825605679968
2002-10,81.23945586469625
2002-11,89.55755512837644
2002-12,93.95361303264858
2003-01,96.79640171286567
2003-02,95.99900778325171
2003-03,98.90365860800382
2003-04,114.59695925151453
2003-05,125.0758674227317
2003-06,127.9266910760303
2003-07,120.00731649898535
2003-08,120.09579266022712
2003-09,124.2877287501545
2003-10,138.31988337323332
2003-11,156.09860037896732
2003-12,165.86537112054594
2004-01,187.82427335286647
2004-02,210.14952192939467
2004-03,196.70837672220475
2004-04,191.93583297332873
2004-05,186.85279895172985
2004-06,196.8869038426508
2004-07,191.18670742545135
2004-08,191.33021571009016
2004-09,201.62173952865916
2004-10,214.68120916968914
2004-11,231.2785164292764
2004-12,243.23934759077255
2005-01,254.07016092442234
2005-02,259.5266647888312
2005-03,258.91448099439947
2005-04,259.0681848284104
2005-05,237.34744570982625
2005-06,231.32217007327566
2005-07,236.33327494118637
2005-08,236.09303924500364
2005-09,239.0192514127508
2005-10,230.47883732246848
2005-11,233.5542103760419
2005-12,240.61086330055178
2006-01,247.2126444524335
2006-02,248.35463571751836
2006-03,272.5208536707333
2006-04,269.5401983642065
2006-05,242.42968842506355
2006-06,245.35358407622124
2006-07,237.04368416254246
2006-08,258.91015199665156
2006-09,244.41570847206202
2006-10,240.02313001548947
2006-11,250.33075555894325
2006-12,257.7461883998585
2007-01,273.33838267637674
2007-02,290.6606055311532
2007-03,301.20041850618685
2007-04,322.46324768832636
2007-05,352.270629434505
2007-06,354.42751702386016
2007-07,353.5935891707281
2007-08,319.6614432632147
2007-09,298.146415977664
2007-10,319.1437180130119
2007-11,295.2675124450248
2007-12,274.3689616632868
2008-01,236.4117191246085
2008-02,247.8298844603332
2008-03,261.6833850878021
2008-04,275.010486122242
2008-05,259.3100192387942
2008-06,226.5248342711607
2008-07,223.5543850770209
2008-08,222.5315704698317
2008-09,188.28182237825334
2008-10,152.2018667701472
2008-11,139.96620561004244
2008-12,158.51994716033755
2009-01,149.5784103880768
2009-02,142.57847719817119
2009-03,157.85252241126278
2009-04,184.38670720578727
2009-05,203.86522721646872
2009-06,196.60629609927676
2009-07,202.78694584942224
2009-08,226.25726647460826
2009-09,254.10225463357463
2009-10,246.0170934259914
2009-11,246.5164362617753
2009-12,239.7687852685748
2010-01,224.17338749363782
2010-02,204.63862893932708
2010-03,218.32507504450876
2010-04,196.99512771241982
2010-05,170.12067029323032
2010-06,172.92101664498256
2010-07,190.48376385980038
2010-08,185.36466246230285
2010-09,192.1036725778924
2010-10,213.79264903768615
2010-11,171.24380950611157
2010-12,187.1215868314353
2011-01,198.31365685583123
2011-02,202.307175411739
2011-03,199.86798360296484
2011-04,209.58842822221143
2011-05,194.3996850519443
2011-06,185.8327793530382
2011-07,163.304069741637
2011-08,144.2467814682822
2011-09,122.07066846866141
2011-10,124.20879541031792
2011-11,113.81356700679895
2011-12,113.99112348750087
2012-01,111.61263092992618
2012-02,124.07989621083048
2012-03,121.29909645808152
2012-04,112.08086975568834
2012-05,97.4425771840727
2012-06,106.55613927459271
2012-07,103.25379009923913
2012-08,112.29125657937354
2012-09,121.80894694881361
2012-10,132.16207805964268
2012-11,133.20662647994794
2012-12,149.10234437025977
2013-01,181.94473985327886
2013-02,178.60039300588298
2013-03,165.0016943027143
2013-04,180.641580058553
2013-05,178.52568554509298
2013-06,169.7708748596049
2013-07,182.43891629358475
2013-08,181.9169297959982
2013-09,194.3333272347216
2013-10,221.63316067253245
2013-11,242.43127367243287
2013-12,263.3102288339557
2014-01,272.9149440110737
2014-02,313.2208906163405
2014-03,337.3126627030231
2014-04,329.32777973793316
2014-05,305.1328434929528
2014-06,300.16127486385113
2014-07,292.57116174353
2014-08,286.8537296157208
2014-09,280.1908537094363
2014-10,254.96020441209947
2014-11,258.2281306826806
2014-12,230.1576206619938
2015-01,227.9210450277579
2015-02,252.77550485133335
2015-03,254.67243843135577
2015-04,260.2022260298048
2015-05,249.15822437397475
2015-06,241.44593969885034
2015-07,248.91351556010292
2015-08,235.3400505018793
2015-09,234.176812420061
2015-10,248.79987904896075
2015-11,228.99149360571684
2015-12,231.7211862523915
2016-01,209.32088261013013
2016-02,199.15727040807076
2016-03,221.8979938737228
2016-04,216.2310131717767
2016-05,216.49582145392964
2016-06,174.68800246620282
2016-07,189.82755963092814
2016-08,185.38888633558503
2016-09,176.50485505112522
2016-10,176.33074745726728
2016-11,167.18871095157004
2016-12,175.0603583346292
2017-01,165.3415599886035
2017-02,167.52612364559496
2017-03,182.94069286511356
2017-04,191.690879
2017-05,215.383242
2017-06,219.559641
2017-07,226.497187
2017-08,219.752555
2017-09,232.328531
2017-10,235.86917
2017-11,235.668018
2017-12,242.835916
2018-01,272.493878
2018-02,252.953115
2018-03,244.393693
2018-04,247.2753970022508
2018-05,236.85146727373575
2018-06,241.01251980654567
2018-07,243.31868109634092
2018-08,229.65349601870005
2018-09,230.09962371077125
2018-10,215.42858749114632
2018-11,212.89555260226797
2018-12,203.6287162713801
