Date,PERU SMALL CAP
1995-05,185.53940473355314
1995-06,192.16447211494466
1995-07,197.36655996207614
1995-08,184.13166341264662
1995-09,167.61413562437355
1995-10,154.91656079305258
1995-11,152.72964437779083
1995-12,150.4478338232237
1996-01,153.24257137018864
1996-02,160.27600379581006
1996-03,159.0214888458471
1996-04,162.77792286803583
1996-05,157.64864457621806
1996-06,162.44187921224608
1996-07,154.8025133330107
1996-08,152.57514701745697
1996-09,170.82066213845397
1996-10,162.81948062371356
1996-11,155.19889761219696
1996-12,153.05565217996286
1997-01,151.93921588608833
1997-02,159.83694232222607
1997-03,169.55881933140762
1997-04,173.2534623042806
1997-05,216.32144878736057
1997-06,211.07765762430432
1997-07,212.45166751191505
1997-08,191.94276919064492
1997-09,188.32971551857864
1997-10,169.6949286439766
1997-11,164.14429766781595
1997-12,161.019764645827
1998-01,142.63441315812048
1998-02,137.66029376174552
1998-03,146.16865010831498
1998-04,160.99717998109483
1998-05,156.8985674710678
1998-06,144.74618508159622
1998-07,142.6325696594783
1998-08,115.20552016157251
1998-09,101.35622549035152
1998-10,88.93037086628367
1998-11,101.25907734076274
1998-12,89.85343280515931
1999-01,85.54845851634461
1999-02,85.34519752556656
1999-03,91.00776551729093
1999-04,96.53611588141625
1999-05,95.80048361861635
1999-06,99.94459567788745
1999-07,94.54696529891
1999-08,91.57881710479664
1999-09,97.85060239516578
1999-10,97.95615007725756
1999-11,97.70970763693425
1999-12,95.96604423649522
2000-01,93.32688051538035
2000-02,94.15738358481913
2000-03,91.43417452357208
2000-04,92.00526349384823
2000-05,85.25373480085798
2000-06,85.83445301391416
2000-07,86.18797503197814
2000-08,87.52585869247218
2000-09,85.73781272898749
2000-10,81.05441222396992
2000-11,77.62531760133332
2000-12,76.40279320982769
2001-01,79.20676995356759
2001-02,74.2873738528754
2001-03,76.5738228335032
2001-04,69.03213866479668
2001-05,71.04054682965175
2001-06,74.82604946628122
2001-07,75.01648386085294
2001-08,75.53404890354273
2001-09,72.5410378390121
2001-10,71.55278532248424
2001-11,73.03021035477941
2001-12,72.02852623177448
2002-01,73.06853151894556
2002-02,75.57798011168467
2002-03,73.65503753393997
2002-04,74.42517848481006
2002-05,73.81003898412145
2002-06,71.49032785103795
2002-07,68.85928738074288
2002-08,67.9320639261669
2002-09,71.89090644491456
2002-10,75.86233224273694
2002-11,85.26638711101612
2002-12,84.37268635532138
2003-01,88.87016892494218
2003-02,91.63190072675431
2003-03,91.44121166286475
2003-04,101.06790827444604
2003-05,105.39008485982164
2003-06,107.32791136123923
2003-07,109.78148389845884
2003-08,113.06110524811767
2003-09,126.18332309639041
2003-10,137.186209255558
2003-11,152.29355544542528
2003-12,175.1811711328411
2004-01,181.0158461824836
2004-02,182.08837866189188
2004-03,245.46888879508805
2004-04,237.9839326671655
2004-05,245.4301775977596
2004-06,233.55266743336847
2004-07,237.4014516408833
2004-08,245.14138784136628
2004-09,267.79418235927267
