Date,USA SMALL CAP
2000-12,100.0
2001-01,105.08629667086674
2001-02,100.74095635663971
2001-03,97.98456768177928
2001-04,104.35834108407032
2001-05,107.21592072617558
2001-06,112.04716878064033
2001-07,109.63493514145004
2001-08,107.29333692714333
2001-09,92.84600371769409
2001-10,100.70802318587491
2001-11,109.36212896521607
2001-12,116.6042620856
2002-01,114.02765313227763
2002-02,110.62514107589472
2002-03,120.4022080975425
2002-04,120.48760665032265
2002-05,114.80822600943277
2002-06,107.52415324362119
2002-07,92.72862800174218
2002-08,92.98355255575366
2002-09,86.05454605131541
2002-10,88.9362839298424
2002-11,96.52031697059368
2002-12,89.4039478056613
2003-01,87.17655543586456
2003-02,84.72987684657846
2003-03,85.87009367763171
2003-04,95.67781761153792
2003-05,107.12848274760242
2003-06,108.53243082399653
2003-07,113.94493391634573
2003-08,120.71205818222926
2003-09,118.39317081818815
2003-10,129.86316763799923
2003-11,134.46194869545616
2003-12,137.32260704116678
2004-01,143.20904536984838
2004-02,144.63871379524417
2004-03,146.94472135774902
2004-04,138.60644303962854
2004-05,141.60994785961938
2004-06,146.90908263268196
2004-07,138.12345978880464
2004-08,136.91545982355987
2004-09,143.32682814110572
2004-10,146.25153246618453
2004-11,157.85031536415877
2004-12,163.31546622323472
2005-01,156.15871355187429
2005-02,159.34530785786052
2005-03,154.3181990739423
2005-04,146.07847382512756
2005-05,155.74768504798288
2005-06,160.8770485636935
2005-07,170.82907238869805
2005-08,168.32449361148753
2005-09,169.3809338398253
2005-10,164.36710407299145
2005-11,172.55890047972017
2005-12,172.17064670181878
2006-01,186.15237919817687
2006-02,185.7127705201839
2006-03,194.21513333295633
2006-04,194.29301590795302
2006-05,183.19118148211172
2006-06,182.5294828798081
2006-07,176.55109210508704
2006-08,181.16520498708786
2006-09,183.23837887691374
2006-10,192.32081268150094
2006-11,196.87754705580605
2006-12,196.82368454514537
2007-01,199.75984177666265
2007-02,198.48545880409634
2007-03,200.9298852398152
2007-04,205.63883556668264
2007-05,214.2902282766892
2007-06,210.8671927887826
2007-07,195.27672980185352
2007-08,197.2946971334581
2007-09,200.81978702250382
2007-10,205.06342870597229
2007-11,191.59304248260446
2007-12,190.34162901092637
2008-01,178.69356564117317
2008-02,173.145548394447
2008-03,171.59166692031778
2008-04,181.42782599506018
2008-05,190.90461037907082
2008-06,174.89117148820657
2008-07,176.7970367874794
2008-08,182.03324681294023
2008-09,163.87684518956468
2008-10,129.13950551093893
2008-11,115.0884379977801
2008-12,121.48379614345338
2009-01,110.50386214394058
2009-02,97.84086330356774
2009-03,107.3211965868994
2009-04,126.00538118534756
2009-05,131.0443952209182
2009-06,132.4251568415219
2009-07,144.94933438165643
2009-08,151.7442857533931
2009-09,161.04400269765603
2009-10,151.25773961830737
2009-11,157.08125363915366
2009-12,168.9423650115034
2010-01,163.31952354898698
2010-02,171.18602062707444
2010-03,184.78726350388553
2010-04,194.71961560645045
2010-05,179.66128977170504
2010-06,166.31227771366892
2010-07,178.1503613951572
2010-08,167.0677809668898
2010-09,186.53117876263178
2010-10,193.64484695597906
2010-11,199.66002800886585
2010-12,215.36711353581492
2011-01,217.9739462206244
2011-02,228.93587693439557
2011-03,233.96359048558506
2011-04,240.7086729764824
2011-05,237.1048832842729
2011-06,231.92580910315655
2011-07,223.1699557467262
2011-08,204.09507557856617
2011-09,181.6226651954914
2011-10,208.6986696619069
2011-11,207.96775411647846
2011-12,207.97865204340476
2012-01,222.60063300453143
2012-02,230.84919936360242
2012-03,235.89327447583295
2012-04,233.87680690473192
2012-05,217.91334836981866
2012-06,226.02087462643084
2012-07,224.1913215296183
2012-08,232.23210400605797
2012-09,238.2528986645552
2012-10,234.9708100041465
2012-11,238.10079741227779
2012-12,244.42193284526468
2013-01,260.60241727970896
2013-02,263.6500145968332
2013-03,275.6888424989391
2013-04,275.6694253522787
2013-05,285.4697032478954
