Date,TUNISIA SMALL CAP
2010-11,1000.0
2010-12,978.082330504717
2011-01,866.1453145219081
2011-02,702.2995756153391
2011-03,770.5846226939615
2011-04,754.8224689545727
2011-05,759.4914667545803
2011-06,807.678045019574
2011-07,849.966444453468
2011-08,858.3771662927848
2011-09,842.1711764564681
2011-10,836.7192443277802
2011-11,820.2861480844713
2011-12,806.8976629754313
2012-01,811.5243158824902
2012-02,816.3080421124299
2012-03,801.4887471461676
2012-04,822.4730522772627
2012-05,784.1804066003756
2012-06,777.3073271283564
2012-07,785.5045675589301
2012-08,789.3894054193053
2012-09,765.769501848612
2012-10,748.7203062449307
2012-11,708.5758602434806
2012-12,705.5310147613006
2013-01,718.3884809195521
2013-02,684.5330679614356
2013-03,685.3376412680146
2013-04,665.1481685001066
2013-05,639.604969607092
2013-06,647.8532183612635
2013-07,635.8621450122254
2013-08,650.8953163159658
2013-09,648.9579286594919
2013-10,640.6978463733753
2013-11,626.1352002514808
2013-12,623.8154040355348
2014-01,640.2600146640982
2014-02,661.5051008124636
2014-03,644.7078419997838
2014-04,617.4515362516144
2014-05,578.5025804179834
2014-06,578.6347585938305
2014-07,578.8765476456089
2014-08,557.4254214403275
2014-09,523.7984258540063
2014-10,525.062603792844
2014-11,526.8423813934726
2014-12,519.2915407456502
2015-01,485.48631069930576
2015-02,482.92844577403804
2015-03,484.35139489321597
2015-04,513.445172621133
2015-05,497.16249571650854
2015-06,520.7062838486868
2015-07,520.3847666396786
2015-08,507.52410109690356
2015-09,483.14130982371313
2015-10,474.77351476014826
2015-11,436.7108575203945
2015-12,445.8146489301242
2016-01,452.21778222838947
2016-02,427.10518873367306
2016-03,428.566705311037
2016-04,451.1380004836075
2016-05,435.4811068252896
2016-06,402.2250969344403
2016-07,398.51539155981106
2016-08,419.30568994693584
2016-09,415.7984564821293
2016-10,430.39197204881225
2016-11,422.64252955082435
2016-12,419.75073738825506
2017-01,425.3166960531469
2017-02,444.0670484595353
2017-03,434.3160656271428
2017-04,413.258688
2017-05,423.457869
2017-06,469.090045
2017-07,492.689396
2017-08,502.792064
2017-09,488.227198
2017-10,480.529824
2017-11,488.021671
2017-12,491.401383
2018-01,532.463323
2018-02,543.354075
2018-03,542.588912
2018-04,531.1412288469058
2018-05,534.223039820047
2018-06,551.8498899986664
2018-07,551.9506686673309
2018-08,537.8706310256731
2018-09,485.74632931986423
2018-10,448.4581890616671
2018-11,429.43751617522935
2018-12,417.9065194412533
2019-01,434.293396609405
2019-02,408.5252173691293
2019-03,384.2057932712585
2019-04,395.87800411867994
2019-05,399.94303222855086
2019-06,429.5618213297052
2019-07,433.55609141387265
2019-08,431.50070123944846
2019-09,421.4044039715985
2019-10,426.77533060827545
2019-11,423.0830003208728
2019-12,445.6474689923143
2020-01,430.39379150627343
2020-02,430.5483735637103
2020-03,368.4877927297097
2020-04,350.6480888551653
2020-05,365.8155247207292
2020-06,356.88516009607065
2020-07,370.0068042361228
2020-08,379.1591871023332
2020-09,373.63196433991703
2020-10,363.87881247040235
2020-11,378.4350457285979
2020-12,383.60685936869174
2021-01,366.18899162317547
2021-02,366.9065907693375
2021-03,381.2542388378234
2021-04,400.77292252947996
2021-05,432.0639453772322
2021-06,415.90332818708066
2021-07,419.1645362240552
2021-08,427.84517990465736
2021-09,418.88324543305345
2021-10,400.59497234267025
2021-11,397.8364784772958
2021-12,398.80305176267916
2022-01,407.69777760906015
2022-02,405.471528589781
2022-03,399.62187664166527
2022-04,396.4467846198301
2022-05,412.5320749077316
2022-06,411.64480163471393
2022-07,435.18498649081135
2022-08,426.0806832003142
2022-09,446.0872964185816
2022-10,441.4896908627081
2022-11,451.01270102293955
2022-12,473.49462788562425
2023-01,514.6127771510571
2023-02,485.8241752167419
2023-03,509.5339868312298
2023-04,536.277760143749
2023-05,550.2088702029356
2023-06,562.9132615479195
2023-07,567.6700196222546
