Date,JORDAN SMALL CAP
1996-05,429.40912610293583
1996-06,402.8123189911514
1996-07,403.5813398309373
1996-08,411.28363225000754
1996-09,431.5625371789365
1996-10,421.8480278675982
1996-11,422.8464950324449
1996-12,438.44719212751914
1997-01,436.7963447147967
1997-02,443.9613389930911
1997-03,434.547015146591
1997-04,428.4643478550127
1997-05,467.72267938450864
1997-06,480.00287367270545
1997-07,475.8098225998984
1997-08,470.92360920879395
1997-09,471.3872453315698
1997-10,472.0180362247069
1997-11,476.86525880774957
1997-12,474.4491338732142
1998-01,471.19777837576737
1998-02,457.55926680039727
1998-03,446.48970416388505
1998-04,474.49807236100935
1998-05,463.2004796813074
1998-06,419.6428240639866
1998-07,380.3118930515252
1998-08,374.3684104193773
1998-09,358.9483925592519
1998-10,339.30951859138287
1998-11,379.10859679435964
1998-12,431.18221314106074
1999-01,471.5801600625711
1999-02,491.61773867300553
1999-03,483.4218501606398
1999-04,461.09259204999074
1999-05,486.45191777408934
1999-06,484.1776862424039
1999-07,488.02536474412557
1999-08,472.9564498775806
1999-09,447.82394860827714
1999-10,440.93843044556326
1999-11,444.8167961686508
1999-12,476.3015235166041
2000-01,460.9233694714962
2000-02,418.75470413824047
2000-03,432.1786908259723
2000-04,441.32418554268634
2000-05,410.2668014708165
2000-06,413.5716794641109
2000-07,379.36484853096715
2000-08,369.50171895367083
2000-09,380.88549240125565
2000-10,377.4372500016659
2000-11,380.42066086034686
2000-12,381.8475226752736
2001-01,381.59071906134216
2001-02,385.382863135017
2001-03,387.86698207552416
2001-04,374.5020304262372
2001-05,378.66577634616016
2001-06,374.19554897451695
2001-07,377.15084633684995
2001-08,377.68021291804513
2001-09,367.19595686871446
2001-10,371.9801006660058
2001-11,380.54434393062263
2001-12,401.24931168680916
2002-01,415.7565504724219
2002-02,406.3696640377573
2002-03,422.09318313629234
2002-04,413.462426282337
2002-05,437.819884031835
2002-06,486.8731516128955
2002-07,445.48601314350094
2002-08,424.59053940902885
2002-09,406.4858776282066
2002-10,391.92049565263767
2002-11,407.3299499526393
2002-12,412.9830123555138
2003-01,431.60629676618595
2003-02,409.50242888926203
2003-03,453.87866049792393
2003-04,497.51464340542225
2003-05,521.2616186451195
2003-06,535.1828395302496
2003-07,586.6726955599157
2003-08,600.2181758869476
2003-09,615.7182936197235
2003-10,611.1634039662904
2003-11,650.3428727609826
2003-12,705.8802672022676
2004-01,752.749577229691
2004-02,717.6033967288471
2004-03,700.7971417622306
2004-04,672.5337206948509
2004-05,701.3985148792584
2004-06,741.0919248987735
2004-07,763.6833214869248
2004-08,774.6044757290854
2004-09,820.7603260470767
2004-10,843.1735146266875
2004-11,912.0548105460898
2004-12,927.9170914769302
2005-01,1055.7553650111756
2005-02,1144.6972092517556
2005-03,1347.6423424536033
2005-04,1548.5598437922088
2005-05,1512.855018570518
2005-06,1728.4819701511303
2005-07,1597.4619779492225
2005-08,1781.4160622402014
