Date,JAPAN SMALL CAP
2000-12,100.0
2001-01,98.97423482553954
2001-02,100.74723845044714
2001-03,97.28745340153937
2001-04,110.39704684465451
2001-05,109.58909293675305
2001-06,106.6424138145234
2001-07,97.51942974556687
2001-08,98.84561954205454
2001-09,90.25718823203526
2001-10,92.33582485978161
2001-11,88.75531923860677
2001-12,78.03034621168008
2002-01,72.738823089194
2002-02,76.54147932094097
2002-03,81.95735192021188
2002-04,87.36940756049134
2002-05,96.52351621339248
2002-06,92.27586122664106
2002-07,89.35756739753228
2002-08,87.27603158574878
2002-09,83.78624050274527
2002-10,75.11787348705002
2002-11,75.68224560045843
2002-12,73.99143774960324
2003-01,73.56155379472978
2003-02,77.29245587559379
2003-03,76.04038425674347
2003-04,78.41153932305765
2003-05,81.99457721661022
2003-06,91.19836127090764
2003-07,92.2689197399809
2003-08,103.90093733962215
2003-09,111.45986002202706
2003-10,119.72066780066483
2003-11,111.49473007550809
2003-12,119.46578569051223
2004-01,123.8163736330218
2004-02,123.4964304897106
2004-03,146.1364109536424
2004-04,141.48718460320578
2004-05,134.45998082849212
2004-06,148.6031590110792
2004-07,136.42510218612756
2004-08,137.84884926698922
2004-09,133.68783150157387
2004-10,136.16033574375282
2004-11,142.08488542845862
2004-12,148.96258281552383
2005-01,154.029867156723
2005-02,156.974829172423
2005-03,156.60910809319546
2005-04,155.33639975611828
2005-05,152.47535120083023
2005-06,154.53829821641455
2005-07,158.9151502844612
2005-08,164.36880154924677
2005-09,174.64211091900353
2005-10,178.13062220858336
2005-11,185.74380889932075
2005-12,210.8627740076462
2006-01,217.5837974252534
2006-02,203.41602555516693
2006-03,212.54064390826386
2006-04,213.5960425015447
2006-05,196.4621002477671
2006-06,190.30907895302227
2006-07,177.72775464871208
2006-08,182.4553917418914
2006-09,178.4624324346379
2006-10,177.31681797794172
2006-11,175.82358011954014
2006-12,176.8483937647289
2007-01,180.28562093066802
2007-02,187.39950031319637
2007-03,185.67295383803778
2007-04,182.494299065392
2007-05,178.1444976664013
2007-06,179.31415970144678
2007-07,179.26830675535612
2007-08,168.34722153473732
2007-09,167.3252847783791
2007-10,173.3759189520157
2007-11,166.08692129758052
2007-12,156.15028440439667
2008-01,148.48077777755324
2008-02,150.1083881845231
2008-03,150.15700060344957
2008-04,152.0214830338705
2008-05,156.70584396844603
2008-06,147.0836266764973
2008-07,142.2696030936567
2008-08,135.98383731519823
2008-09,122.70547837758325
2008-10,109.7537134303868
2008-11,114.23612290526484
2008-12,123.1318755387676
2009-01,116.67822804386209
2009-02,101.33844302455935
2009-03,104.91470098903234
2009-04,110.2822764428374
2009-05,123.77796374481707
2009-06,131.65212017933666
2009-07,134.94766987219018
2009-08,142.51248827997304
2009-09,141.94983876258502
2009-10,136.7542170135256
2009-11,131.86584673142542
2009-12,129.4035539177447
2010-01,132.19473899292544
2010-02,134.70466290138086
2010-03,140.8338925595429
2010-04,144.64811448918437
2010-05,134.61404557563029
2010-06,135.2086780222716
2010-07,136.84780368463754
2010-08,133.95107195891526
2010-09,139.42865204230048
2010-10,138.28320098120906
2010-11,140.9767899757446
2010-12,155.20107850580445
2011-01,157.04676920945658
2011-02,163.36398434003866
2011-03,153.28345788432225
2011-04,153.42243492873976
2011-05,151.14200142896857
2011-06,156.77176466846225
2011-07,163.28371210902586
2011-08,156.6094916003406
2011-09,156.75158507025608
2011-10,150.96966764727011
2011-11,146.87983577248127
2011-12,149.1696772258654
2012-01,155.29306687270983
2012-02,156.98049025129583
2012-03,161.17234132502415
2012-04,158.83747650956312
2012-05,145.64820164597683
2012-06,151.86171321676642
2012-07,149.4850995177933
2012-08,148.63304094113525
2012-09,152.74411816665622
2012-10,149.44021413611284
2012-11,150.4672749424571
2012-12,155.15218228695414
2013-01,160.9585985593703
2013-02,166.41731276759677
2013-03,179.85915003079216
2013-04,191.69006017302905
2013-05,176.49973992791462
2013-06,176.01927936569822
2013-07,178.88411999941513
2013-08,176.46417001551197
2013-09,196.56001093140313
2013-10,195.7507282021376
2013-11,194.45719608199778
2013-12,196.02008462204867
2014-01,195.45413145368644
2014-02,191.11535361133588
2014-03,191.60385433652
2014-04,188.04601775137007
2014-05,194.20796973144576
2014-06,207.95913446531853
2014-07,209.0772913660822
2014-08,207.58262051245615
2014-09,200.64191343161556
2014-10,195.27755320273596
2014-11,193.06691344156155
2014-12,195.09615037398572
2015-01,201.64033152709902
2015-02,208.90912166507024
2015-03,212.9405893241446
2015-04,216.921682669811
2015-05,219.4897883732309
2015-06,222.6920671699089
2015-07,221.83359920964102
2015-08,214.23849719349448
2015-09,206.5435678814009
2015-10,220.3294099705991
2015-11,223.14091837317116
2015-12,224.98175066770676
2016-01,210.66181541629712
2016-02,208.48621382402195
2016-03,221.49315435482362
2016-04,231.1345126868311
2016-05,231.1884028576798
2016-06,229.81158398720734
2016-07,242.13696728918552
2016-08,233.56893282410329
2016-09,246.1611121233032
2016-10,249.4414744368464
2016-11,237.70956431440777
2016-12,242.00915768858889
2017-01,251.15485348751147
2017-02,258.8643958667557
2017-03,258.39333338327395
2017-04,262.814051
2017-05,272.479168
2017-06,275.039525
2017-07,282.375997
2017-08,287.631455
2017-09,292.188883
2017-10,302.196507
2017-11,312.826973
2017-12,317.659397
2018-01,331.131956
2018-02,327.128049
2018-03,324.312894
2018-04,324.75212331950934
2018-05,324.01960290163873
2018-06,314.09085006626395
2018-07,311.37283326556496
2018-08,309.3847901136441
2018-09,313.6932429685626
2018-10,284.02465474891204
2018-11,291.7381180827575
2018-12,266.8557046797415
2019-01,281.4671054827343
2019-02,284.6460681207947
2019-03,285.8311376649723
2019-04,288.3283346831243
2019-05,276.58697513854196
2019-06,283.33279791558095
2019-07,286.98370800867946
2019-08,284.2010821640599
2019-09,294.51806443378155
2019-10,310.45832149509977
2019-11,313.0613879104083
2019-12,318.49248436203266
2020-01,307.77744155487767
2020-02,271.23219694714487
2020-03,254.0547304114939
2020-04,269.50545784323054
2020-05,290.1403948151433
2020-06,286.55535304179887
2020-07,278.8349380234353
2020-08,301.0363222974189
2020-09,313.83763558114697
2020-10,305.93572119480916
2020-11,325.10226895154096
2020-12,339.0198597001253
2021-01,336.4694953450217
2021-02,338.02123367920143
2021-03,350.5757189864239
2021-04,346.4378454372162
2021-05,343.9676283809493
2021-06,347.3425369569786
2021-07,345.7428617609506
2021-08,355.42270871743324
2021-09,359.23233447337265
2021-10,346.2642881698521
2021-11,325.4939166039971
2021-12,331.3025588093781
2022-01,313.6737762750262
2022-02,318.58909385747756
2022-03,307.5760468603897
2022-04,284.3603838158476
2022-05,286.6754933465871
2022-06,272.6402827651886
2022-07,286.510923079096
2022-08,280.9491579972333
2022-09,260.23580575741084
2022-10,260.04336107351855
2022-11,283.58756247073484
2022-12,291.38399477394927
2023-01,302.9061812343542
2023-02,293.78628032940225
2023-03,303.1921946786449
2023-04,305.34164282938303
2023-05,300.08665097237207
2023-06,306.8568783898135
2023-07,319.3459740013607
