Date,LITHUANIA SMALL CAP
2010-11,1000.0
2010-12,1028.564478771314
2011-01,1046.2657913107632
2011-02,997.665293010681
2011-03,1003.8229194159592
2011-04,1067.196783969151
2011-05,1470.3942989671073
2011-06,1502.2403221084953
2011-07,1577.900428970234
2011-08,1463.5950720445603
2011-09,1251.1112754330181
2011-10,1428.1665443325126
2011-11,1288.1309198969175
2011-12,1242.1997204354516
2012-01,1319.3048878105265
2012-02,1330.1738605771202
2012-03,1361.3751208776212
2012-04,1444.7140498107606
2012-05,1362.1595035046792
2012-06,1417.2174528514884
2012-07,1460.2181762323482
2012-08,1506.7671203661037
2012-09,1480.4885066886638
2012-10,1487.9769925904502
2012-11,1507.672605551761
2012-12,1517.2666041502837
2013-01,1675.0218807580584
2013-02,1647.1480944919667
2013-03,1672.0259518277953
2013-04,1671.7995803254632
2013-05,1690.8965828605349
2013-06,1492.760386118591
2013-07,1540.8334663579828
2013-08,1498.0417373943026
2013-09,1513.5219821217281
2013-10,1503.4793813106435
2013-11,1477.951906264617
2013-12,1430.054705698003
2014-01,1417.822883192956
2014-02,1412.6563897616234
2014-03,1398.0356201615643
2014-04,1373.870807699001
2014-05,1440.5249766243014
2014-06,1430.5675249019964
2014-07,1422.8371203005104
2014-08,1394.6104939894074
2014-09,1380.4457880332398
2014-10,1322.658563784826
2014-11,1330.984543569477
2014-12,1305.1492370186463
2015-01,1238.303784156257
2015-02,1227.33513729685
2015-03,1163.4434610460025
2015-04,1212.1185607476307
2015-05,1177.372059060569
2015-06,1193.0578227657777
2015-07,1196.862670332103
2015-08,1164.7729418928077
2015-09,1153.3754378078615
2015-10,1139.662870661054
2015-11,1108.5615447092887
2015-12,1131.6347508049791
2016-01,1123.7916048463246
2016-02,1143.900133021639
2016-03,1210.4894539545035
2016-04,1203.995904895077
2016-05,1164.980866576848
2016-06,1166.080999947716
2016-07,1175.5082906089146
2016-08,1167.262025478207
2016-09,1167.1521699794791
2016-10,1119.4549958987438
2016-11,1090.941946917801
2016-12,1072.9478846013092
2017-01,1116.5767292756611
2017-02,1089.4045870413604
2017-03,1110.1725778426444
2017-04,1137.254475
2017-05,1147.4871975484405
2017-11,1000.0
2017-12,1011.083222
2018-01,1086.24525
2018-02,1059.42796
2018-03,1072.381072
2018-04,1029.3770937877125
2018-05,967.9150985099475
2018-06,964.0027265833588
2018-07,949.5529200233285
2018-08,919.604997289822
2018-09,885.2376609217106
2018-10,715.6307982000238
2018-11,671.1792596786007
2020-11,1000.0
2020-12,1129.4596599505242
2021-01,1193.537480662157
2021-02,1156.4581262690335
2021-03,1154.6337978617457
2021-04,1324.9144608223894
2021-05,1576.4109736427472
2021-06,1473.6281899823814
2021-07,1606.4516503360626
2021-08,1636.7023585698478
2021-09,1626.3830642579621
2021-10,1669.4087914520535
2021-11,1594.3053245411513
2021-12,1617.1105641539966
2022-01,1585.695152546783
2022-02,1408.3085677577296
2022-03,1374.2895311780007
2022-04,1249.313624444183
2022-05,1276.9904386211294
2022-06,1129.7838800133475
2022-07,1137.769290085597
2022-08,1124.0009407391117
2022-09,1020.3874945280488
2022-10,1104.77482947591
2022-11,1307.8861959669598
2022-12,1430.728587017958
2023-01,1585.3946829401302
2023-02,1548.0972894968072
2023-03,1443.72884165067
2023-04,1484.7942707164211
2023-05,1339.0947537084678
2023-06,1381.3867052425562
2023-07,1493.976596777076
