Date,INDONESIA SMALL CAP
1994-05,3604.8061424222406
1994-06,3431.3467719032988
1994-07,3336.295275641512
1994-08,3544.284171472578
1994-09,3474.5884834842996
1994-10,3481.8502368688837
1994-11,3281.540595884548
1994-12,3209.007035719239
1995-01,2909.9120076533804
1995-02,2849.374723850987
1995-03,2673.129015640202
1995-04,2566.1406804047183
1995-05,2838.207204431414
1995-06,2886.1148990160837
1995-07,2916.5393884252744
1995-08,2830.195278531658
1995-09,2816.8670946374195
1995-10,2697.7405345962766
1995-11,2512.505428161171
1995-12,2531.4845433048345
1996-01,2636.7617163653686
1996-02,2730.774238317705
1996-03,2863.7202529887836
1996-04,3054.032784008305
1996-05,3039.0703415480234
1996-06,2981.7014711723064
1996-07,2864.481872699998
1996-08,2803.0857818567647
1996-09,2843.169236395266
1996-10,2777.8031696394078
1996-11,2846.8656347932306
1996-12,3007.057291310518
1997-01,3215.990940430351
1997-02,3295.4795346559454
1997-03,3254.023310169474
1997-04,3152.290347922888
1997-05,3268.6302709461806
1997-06,3503.181881927582
1997-07,3352.9084902370464
1997-08,2256.01340718168
1997-09,1847.811390459421
1997-10,1463.8856588654373
1997-11,1222.151179826557
1997-12,724.3620639145813
1998-01,327.05110351727956
1998-02,440.38037632977404
1998-03,494.2630656293773
1998-04,423.9632735916331
1998-05,235.9982371974245
1998-06,154.00561403684182
1998-07,198.7078721180128
1998-08,174.2197732076635
1998-09,153.43629888326578
1998-10,212.62384780442028
1998-11,285.0256838458518
1998-12,263.66807351520424
1999-01,247.47631405618569
1999-02,247.40441358075037
1999-03,246.8159625865342
1999-04,319.3579986438385
1999-05,439.935590454556
1999-06,633.9246253800727
1999-07,572.9262315451019
1999-08,438.9685486542013
1999-09,379.3214249794837
1999-10,561.2734007274854
1999-11,497.43368204087346
1999-12,616.7078647544463
2000-01,542.0507699352098
2000-02,532.7483872060532
2000-03,480.1802190745549
2000-04,417.85760422397954
2000-05,334.9816296583297
2000-06,361.7212965331611
2000-07,337.83533592946276
2000-08,346.6464108544891
2000-09,289.6046322295726
2000-10,263.5135204925505
2000-11,262.4387763914198
2000-12,253.81081012648934
2001-01,249.59426520450722
2001-02,226.84999806913157
2001-03,195.9208721770386
2001-04,164.46057731184575
2001-05,187.92283244490815
2001-06,196.74128356291018
2001-07,260.3405013977047
2001-08,271.3665263919634
2001-09,233.92872687495887
2001-10,195.0040613823376
2001-11,197.8732952912743
2001-12,190.47691652604405
2002-01,209.3912743812864
2002-02,218.03254615945832
2002-03,246.627685700639
2002-04,295.0263309369467
2002-05,304.88862912941113
2002-06,294.1994896837094
2002-07,239.46895876630154
2002-08,231.60731842284756
2002-09,208.06459221509184
2002-10,184.0390253151652
2002-11,191.94642709644765
2002-12,201.16838868570784
2003-01,188.14836032144635
2003-02,192.13243574684526
2003-03,194.7407252466919
2003-04,237.5163368096814
2003-05,268.07801009719805
2003-06,263.5741654747906
2003-07,269.52181336754035
2003-08,268.2529960319449
2003-09,287.95672067111553
2003-10,285.93501190064245
2003-11,276.65006699368485
2003-12,335.98062457435867
2004-01,348.47464268878883
2004-02,367.39202376361004
2004-03,348.70969495897845
2004-04,350.3540750907173
