Date,INDIA DOMESTIC SMALL CAP
2008-05,1000.0
2008-06,775.1058016454849
2008-07,820.6865015267504
2008-08,816.7975023216202
2008-09,631.8618798806968
2008-10,397.7263584921813
2008-11,352.0490604165534
2008-12,412.2458818770781
2009-01,370.8545079704929
2009-02,331.0629264082642
2009-03,362.25190556773464
2009-04,436.6324770353969
2009-05,692.1902725345499
2009-06,679.9010770367242
2009-07,737.6632278939248
2009-08,782.0325784444659
2009-09,852.6626504206757
2009-10,816.1075223904113
2009-11,878.8285052997385
2009-12,917.9780494005686
2010-01,902.9201933997416
2010-02,881.3755218120225
2010-03,965.3145054855113
2010-04,1029.3444466837302
2010-05,926.8600248438894
2010-06,966.5286340781647
2010-07,1008.2926342170865
2010-08,1020.1896736912106
2010-09,1143.985500746149
2010-10,1193.512298698263
2010-11,1070.0164845869222
2010-12,1102.3459717393032
2011-01,940.2304840321643
2011-02,885.7403014582802
2011-03,964.5928311951117
2011-04,1000.7004872256731
2011-05,947.8348000778847
2011-06,947.4331019024067
2011-07,965.3479131601031
2011-08,825.1131201275481
2011-09,753.3325656143951
2011-10,774.7451941079726
2011-11,640.0813016701179
2011-12,562.4101529500457
2012-01,703.3940446476157
2012-02,774.8931057938676
2012-03,734.0530183038439
2012-04,704.8836468398264
2012-05,614.479518401362
2012-06,647.9685371727614
2012-07,634.3097856616305
2012-08,625.704108199771
2012-09,732.5358468430168
2012-10,715.2313007820808
2012-11,744.0091814010477
2012-12,757.532698541077
2013-01,763.9179874923387
2013-02,664.1793314051746
2013-03,645.1653582586681
2013-04,672.9662491234544
2013-05,641.0029357203837
2013-06,567.322406481363
2013-07,516.4521109211122
2013-08,452.35372736787883
2013-09,507.6424319597766
2013-10,570.4208315273116
2013-11,579.1184343263751
2013-12,623.3203717040232
2014-01,581.1646433534987
2014-02,606.7412341588167
2014-03,690.4868261910894
2014-04,709.9691581165376
2014-05,831.9310579794668
2014-06,906.5077520795181
2014-07,879.0643671242409
2014-08,899.7562864039844
2014-09,904.5885742136895
2014-10,937.1835674752156
2014-11,969.9510440593285
2014-12,970.7527285199449
2015-01,1024.944723002063
2015-02,1040.9688169474987
2015-03,1005.295727322094
2015-04,952.253693300489
2015-05,984.8430763811846
2015-06,960.9337715858842
2015-07,1014.4479081171849
2015-08,922.0857447926364
2015-09,942.3543694467764
2015-10,956.7973720281752
2015-11,943.2026958552623
2015-12,965.0060421955251
2016-01,864.0010960711422
2016-02,760.0951645596418
2016-03,879.0241775554488
2016-04,912.2798285633703
2016-05,919.7997177145644
2016-06,963.6712664733858
2016-07,1025.6155064947443
2016-08,1068.960154542994
2016-09,1093.8553629779221
2016-10,1135.5551334558597
2016-11,1010.2156343610715
2016-12,995.6162091136789
2017-01,1067.3412026206681
2017-02,1162.119683917347
2017-03,1251.758032924146
2017-04,1335.638956
2017-05,1303.582735
2017-06,1327.030915
2017-07,1391.935664
2017-08,1385.581982
2017-09,1359.938129
2017-10,1478.88788
2017-11,1523.128819
2017-12,1624.392622
2018-01,1588.253204
2018-02,1508.095066
2018-03,1426.570847
2018-04,1507.2859420483032
2018-05,1402.4235036634498
2018-06,1303.7487986738854
2018-07,1356.135024231814
2018-08,1367.89691178141
2018-09,1134.8422861364704
2018-10,1099.6480961899342
2018-11,1194.6479367341706
2018-12,1218.4922181652364
2019-01,1139.2067596406273
2019-02,1126.6199898609834
2019-03,1273.632735496858
2019-04,1236.2017120401963
2019-05,1262.220524429142
2019-06,1236.2531629571486
2019-07,1126.9039139249358
2019-08,1076.5712290261306
2019-09,1127.6399514778889
2019-10,1172.507597
2019-11,1184.5309357268509
2019-12,1186.0276359125633
2020-01,1257.2792565016762
2020-02,1170.9475947248013
2020-03,767.7665628570699
2020-04,890.3589886365334
2020-05,871.8584561832695
2020-06,980.4546651982358
2020-07,1052.7856227687935
2020-08,1162.76064573612
2020-09,1194.6952660992072
2020-10,1195.2845794524217
2020-11,1366.954385502726
2020-12,1462.8262386398728
2021-01,1475.7991290494601
2021-02,1641.1293560223523
2021-03,1685.388409792834
2021-04,1701.3054661507074
2021-05,1848.448401682575
2021-06,1905.33469843095
2021-07,2007.6798263643184
2021-08,2048.619453538323
2021-09,2150.187330404975
2021-10,2129.4700684763025
2021-11,2080.562812513435
2021-12,2184.8083288183248
2022-01,2148.75046522092
2022-02,1967.755188659848
2022-03,2062.5143858754413
2022-04,2053.9866561228764
2022-05,1884.8266110978775
2022-06,1753.4465680321111
2022-07,1908.5474180159658
2022-08,2006.885802805739
2022-09,1947.1611492594811
2022-10,1935.9032542914033
2022-11,2002.2136127423844
2022-12,1923.8054929870502
2023-01,1906.666827671351
2023-02,1850.1995733465685
2023-03,1837.7903269454137
2023-04,1941.275055515811
2023-05,2022.9037707015552
2023-06,2175.439181902737
2023-07,2312.589235281028
