Date,CZECH REPUBLIC SMALL CAP
1995-05,201.69310794704853
1995-06,195.25023083139803
1995-07,207.14191218720285
1995-08,226.0157638518348
1995-09,255.493804786025
1995-10,240.6541792079298
1995-11,225.5431543424645
1995-12,228.73478759982882
1996-01,230.7770892611624
1996-02,242.0447669745781
1996-03,253.28213689557126
1996-04,254.79653668944252
1996-05,270.56441379625676
1996-06,281.03612202358664
1996-07,310.94284183986895
1996-08,334.84422871119955
1996-09,314.78190764383913
1996-10,273.7732520211032
1996-11,278.0817758357001
1996-12,283.2695753099072
1997-01,287.6330765971794
1997-02,285.5797628623039
1997-03,266.9377266240804
1997-04,240.98263793769846
1997-05,213.49761512501982
1997-06,212.66380344854522
1997-07,206.30086856280272
1997-08,213.10828333758042
1997-09,212.73665257614522
1997-10,207.7143094062927
1997-11,193.01847238612712
1997-12,197.10919406061697
1998-01,184.17298862092824
1998-02,191.78000207421312
1998-03,201.47489278770118
1998-04,192.63030042551077
1998-05,186.25827156421647
1998-06,179.23365876450612
1998-07,190.87383706403364
1998-08,153.81323933932828
1998-09,153.49484884572158
1998-10,159.26092035516055
1998-11,150.85172279319536
1998-12,148.8158404573956
1999-01,131.8281532434495
1999-02,114.01152863906312
1999-03,117.46606109452571
1999-04,124.1992505075223
1999-05,156.99237140716997
1999-06,161.41098423575033
1999-07,176.8123815616698
1999-08,177.23903897805027
1999-09,189.79038847098232
1999-10,177.23129796900486
1999-11,158.34029055628065
1999-12,148.76913386962067
2000-01,162.00562363067272
2000-02,166.31159705427063
2000-03,165.70208765326169
2000-04,151.56468729847782
2000-05,143.58146752073264
2000-06,141.2125573502035
2000-07,141.16820154540167
2000-08,130.76195228850293
2000-09,129.60789836236637
2000-10,127.20506239288746
2000-11,120.20140841507744
2000-12,127.32138859683324
2001-01,138.3136130903335
2001-02,135.79688483951725
2001-03,135.6431295650333
2001-04,140.74805573644824
2001-05,136.29606527228393
2001-06,132.4423472227674
2001-07,131.91575849305914
2001-08,135.93059928510587
2001-09,130.6328650062059
2001-10,135.86259768848205
2001-11,146.5790233528704
2001-12,130.85966649757907
2002-01,134.83294567156727
2002-02,142.40737255098907
2002-03,147.8296847561722
2002-04,158.5576839922445
2002-05,168.63021637103097
2002-06,169.23146443142545
2002-07,178.0465020210295
2002-08,176.6432621655007
2002-09,190.30481752640304
2002-10,167.39714331487565
2002-11,171.24496000851747
2002-12,172.71400082577497
2003-01,173.61237493366414
2003-02,179.56452109151516
2003-03,195.35273634825165
2003-04,210.4309428537161
2003-05,243.57590954930228
2003-06,255.07542132292
2003-07,258.06522600421556
2003-08,258.7769127946403
2003-09,272.54206807351153
2003-10,286.485453657587
2003-11,300.5968537181618
2003-12,323.9990882703916
2004-01,313.65479464513885
2004-02,338.0639142670113
2004-03,357.2124963980574
2004-04,406.9500727893214
2004-05,396.80620688645587
2004-06,391.1559782717547
2004-07,388.6951615475276
2004-08,390.45171734056777
2004-09,408.1775034879178
2004-10,422.6442104767532
2004-11,465.57141287312015
2004-12,531.1174020189592
2005-01,584.7953439610934
2005-02,706.104720417993
2005-03,621.7843979053375
2005-04,607.0777708728874
2005-05,572.8557149545301
2005-06,593.2631324311197
2005-07,622.9552464278523
2005-08,709.2451064297566
2005-09,784.0528614434696
2005-10,749.0825569191761
2005-11,744.3625865209841
2005-12,770.4739192781252
2006-01,891.4684736561699
2006-02,862.0287222773658
2006-03,872.5879670863413
2006-04,848.2795255464652
2006-05,728.5609003787218
2006-06,737.5103648826336
2006-07,776.3329922595301
2006-08,757.6810816093282
2006-09,791.0021461786065
2006-10,816.4096374507816
2006-11,852.0281899713739
2006-12,891.0341762197033
2007-01,874.965069792591
2007-02,833.1266484244294
2007-03,937.5327043606109
2007-04,987.7924302848573
2007-05,1000.0
2007-06,1026.6202944972758
2007-07,1050.6041149562093
2007-08,1020.3087888981112
2007-09,1133.563722713634
2007-10,1239.0362606169406
2007-11,1207.5939268523168
2007-12,1232.001753584017
2008-01,1114.7144684464758
2008-02,1161.6430940555028
2008-03,1105.4319602466135
2008-04,1043.343670660814
2008-05,1042.2576339505183
2008-06,856.4079143387127
2008-07,915.5616884934764
2008-08,929.9538478300107
2008-09,803.5666517583767
2008-10,624.6128601070155
2008-11,757.7565757080226
2008-12,724.6224090602294
2009-01,672.2189995986355
2009-02,623.95465739058
2009-03,661.9003981134884
2009-04,776.61416524
2009-05,881.1782460541391
2009-06,941.3467513980506
2009-07,1012.2783397865118
2009-08,1264.1887770744481
2009-09,1446.9197715998346
2009-10,1227.754986066812
2009-11,1212.1199486666121
2009-12,1188.2369278444362
2010-01,1307.7455566407864
2010-02,1227.0976926713333
2010-03,1358.686362998593
2010-04,1555.949873456904
2010-05,1326.4652961803642
2010-06,1289.0716825248533
2010-07,1522.9634544593553
2010-08,1530.5232287541985
2010-09,1625.8038673370104
2010-10,1606.0983420276282
2010-11,1481.7524451079516
2010-12,1592.9890279763074
2011-01,1540.9148653922327
2011-02,1516.599459293132
2011-03,1613.9246100149114
2011-04,1795.8160531664835
2011-05,1683.4008757164877
2011-06,1633.1664292928751
2011-07,1591.9439291495248
2011-08,1488.2437984022158
2011-09,1220.1050801125402
2011-10,1366.3529996738375
2011-11,1249.752479393394
2011-12,1160.3225846036644
2012-01,1172.5753013706478
2012-02,1211.3092012093275
2012-03,1210.4434082073233
2012-04,1219.338603976464
2012-05,1053.5622804780012
2012-06,1083.6300829690358
2012-07,1057.7877804562722
2012-08,1105.4571172045576
2012-09,1159.4243360863106
2012-10,1111.7066892990367
