Date,BULGARIA SMALL CAP
2010-11,1000.0
2010-12,1017.7368960077199
2011-01,1031.8841630709355
2011-02,1247.4430157802456
2011-03,1219.789310945223
2011-04,1277.4119293472922
2011-05,1211.5629471624318
2011-06,1155.789212511062
2011-07,1151.4609414927036
2011-08,1048.8051002566435
2011-09,933.3573655651727
2011-10,915.0146885885762
2011-11,741.534699238569
2011-12,755.5406706314529
2012-01,779.383328749854
2012-02,771.6103626750072
2012-03,748.4929578081716
2012-04,748.7429765435934
2012-05,572.0175359258618
2012-06,606.7470784676555
2012-07,691.8476497941765
2012-08,713.9838237044586
2012-09,730.1911210401206
2012-10,722.0797388787714
2012-11,721.5087198613564
2012-12,715.5948832532515
2013-01,955.3421102155261
2013-02,917.5443871182015
2013-03,908.6869109751943
2013-04,949.8933063189174
2013-05,990.762660687161
2013-06,1102.888747348318
2013-07,1099.1935284503772
2013-08,1126.0521633322132
2013-09,1153.4429356165754
2013-10,1145.0026420941438
2013-11,1128.0792658536532
2013-12,1161.593918786005
2014-01,1251.9320432899979
2014-02,1336.517916937974
2014-03,1322.9889711688863
2014-04,1408.998059133543
2014-05,1394.8088506017962
2014-06,1293.2962437920723
2014-07,1243.834285008707
2014-08,1245.5800583271282
2014-09,1174.3409788061706
2014-10,1116.851437420569
2014-11,1104.3855245907241
2014-12,1092.071821219033
2015-01,987.3685502226973
2015-02,994.2816050229998
2015-03,935.0094017877415
2015-04,1006.9107156335764
2015-05,959.1057125048127
2015-06,962.4088300596006
2015-07,933.1403119092815
2015-08,888.0407426359144
2015-09,878.999032170181
2015-10,898.2667661252407
2015-11,811.3703444206795
2017-05,1000.0
2017-06,1064.045398
2017-07,1078.811398
2017-08,1197.866653
2017-09,1143.145371
2017-10,1103.339776
2017-11,1072.962609
2017-12,1150.784558
2018-01,1628.221406
2018-02,1528.871715
2018-03,1488.951334
2018-04,1540.5008871644036
2018-05,1394.3550390698786
2018-06,1419.704784140269
2018-07,1416.8293245990283
2018-08,1370.4410565527048
2018-09,1367.9997257313776
2018-10,1253.4499736666098
2018-11,1183.9958870022176
