Date,SERBIA SMALL CAP
2010-11,1000.0
2010-12,1054.0408201259004
2011-01,1183.564399398113
2011-02,1235.1303344611933
2011-03,1270.4218740997276
2011-04,1300.0445059210422
2011-05,1250.6276942810318
2011-06,1182.4451194546727
2011-07,1079.9664243550953
2011-08,967.9238089844023
2011-09,780.7126389814944
2011-10,812.2365187958422
2011-11,690.2338203019765
2011-12,672.748148050305
2012-01,733.6051031097509
2012-02,769.4338938992806
2012-03,762.9133625074091
2012-04,708.8119710871479
2012-05,558.2027235333001
2012-06,551.0511608040485
2012-07,533.3380931726322
2012-08,562.8993118344428
2012-09,599.3421256746466
2012-10,655.0240258061918
2012-11,677.1593722793264
2012-12,714.4384404984593
2013-01,800.3935622368056
2013-02,749.409041440302
2013-03,772.4230231364503
2013-04,766.4282722000987
2013-05,693.134479143167
2013-06,630.991920041866
2013-07,678.3980261964858
2013-08,706.297081334987
2013-09,762.4672983439272
2013-10,781.5316898173247
2013-11,818.2140311229507
2013-12,848.0015662083301
2014-01,844.9951841905342
2014-02,892.4740101663169
2014-03,976.0736924456397
2014-04,973.5715389161745
2014-05,997.9162995903596
2014-06,941.6429857123412
2014-07,982.3375151379707
2014-08,1072.4779218063477
2014-09,1139.1896759406393
2014-10,1127.4592476294138
2014-11,1176.9851454943619
2014-12,1135.7452623469326
2015-01,1054.100430636462
2015-02,1096.2077352895164
2015-03,1166.097437567411
2015-04,1380.7131251754795
2015-05,1455.3516546808307
2015-06,1375.1572931435755
2015-07,1430.164726228209
2015-08,1354.5973011669012
2015-09,1277.2975518343867
2015-10,1274.6433636725135
2015-11,1183.52516541252
2015-12,1364.244625614272
2016-01,1293.2497584747682
2016-02,1201.2164150298743
2016-03,1336.6572585884687
2016-04,1469.5074535025415
2016-05,1531.4303797664218
2016-06,1590.1452491592265
2016-07,1641.9458666321493
2016-08,1660.8956745658445
2016-09,1673.5344049792466
2016-10,1770.1997344207032
2016-11,1797.8330053303866
2016-12,1796.8935233111242
2017-01,1664.7699395807847
2017-02,1676.4793426987983
2017-03,1888.7735727131524
2017-04,1772.473276
2017-05,1976.252934
2017-06,2036.295259
2017-07,2193.304036
2019-11,1000.1813900133465
2019-12,1197.208795590412
2020-01,1269.1260496291532
2020-02,1231.9836928135126
2020-03,880.0458129743013
2020-04,992.3510511538734
2020-05,1069.7407847403283
2020-06,1095.6605252291479
2020-07,1137.073521279208
2020-08,1181.025411382582
2020-09,1161.4925110493928
2020-10,1140.2059945281817
2020-11,1186.526882846756
2020-12,1354.8755938678594
2021-01,1297.9334900988629
2021-02,1297.9819284414832
2021-03,1256.15256599491
2021-04,1287.6596449390595
