Date,RUSSIA SMALL VALUE
1997-11,50.37797711354466
1997-12,49.22864031581861
1998-01,40.67859353052941
1998-02,44.3178874039006
1998-03,44.56943711429773
1998-04,42.815814780362935
1998-05,28.703282744970817
1998-06,22.92464417100489
1998-07,20.34592488448812
1998-08,11.18351853899888
1998-09,4.705019445785096
1998-10,7.3924230786301415
1998-11,11.02259302190927
1998-12,6.60692411834402
1999-01,8.456515184835983
1999-02,9.880710310382618
1999-03,13.851555115342759
1999-04,14.881485114905221
1999-05,17.119895778885063
1999-06,28.226176847621456
1999-07,25.51758132877093
1999-08,23.527874298703185
1999-09,18.54924125417166
1999-10,21.157857241825635
1999-11,25.013574365830838
1999-12,37.12627384246173
2000-01,46.06590758771696
2000-02,46.677027429487715
2000-03,58.35037361162926
2000-04,58.464587986381254
2000-05,45.264267384897046
2000-06,44.90665433553545
2000-07,47.53212424233342
2000-08,56.88357300609291
2000-09,51.54762315322372
2000-10,51.93383977220306
2000-11,41.95527799721054
2000-12,36.89517028312287
2001-01,40.46830743763743
2001-02,39.91469556943503
2001-03,41.86437122054936
2001-04,47.167287951746744
2001-05,47.537897544788635
2001-06,49.98789935120091
2001-07,47.79872958259794
2001-08,48.85565553379639
2001-09,45.577544357293945
2001-10,48.140785925291894
2001-11,58.87398154833905
2001-12,67.03444932782672
2002-01,78.0855774873838
2002-02,78.4771236135199
2002-03,87.46866072446623
2002-04,94.02035160273836
2002-05,90.43112510582695
2002-06,80.87528155700493
2002-07,74.20752826978644
2002-08,71.44239915361909
2002-09,70.87777500979259
2002-10,78.55065802748129
2002-11,85.4298783920924
2002-12,80.02335669528553
2003-01,82.09189137327222
2003-02,96.38155697416299
2003-03,100.38082650157847
2003-04,119.05444563243292
2003-05,130.83318893244788
2003-06,132.30902605944772
2003-07,128.41303119484294
2003-08,149.54920745745517
2003-09,162.0456364004244
2003-10,162.33220108891908
2003-11,165.74297612080713
2003-12,183.22697188182656
2004-01,213.94510998152174
2004-02,249.32436831976955
2004-03,263.8067574522406
2004-04,244.53589919198652
2004-05,231.6701245239325
2004-06,247.9341577762479
2004-07,218.68041524487197
2004-08,232.01761696993196
2004-09,248.38746417658618
2004-10,269.105467103523
2004-11,236.3882395187937
2004-12,232.94170817847314
2005-01,244.20779833936257
2005-02,259.04667199212435
2005-03,238.07249789142975
2005-04,228.51733125986232
2005-05,241.45681313526723
2005-06,248.58991333492997
2005-07,269.18214265811616
2005-08,333.7436344650425
2005-09,392.88642797413837
2005-10,374.2224152083918
2005-11,414.78527006910053
2005-12,444.74814140709856
2006-01,495.0687404443655
2006-02,645.7902896585238
2006-03,633.1015745590225
2006-04,680.1794001318042
2006-05,583.4928401629154
2006-06,612.8998180845426
2006-07,659.2779303957739
2006-08,691.3836072316222
2006-09,711.4170037865127
2006-10,715.183453611155
2006-11,799.5619793064735
2006-12,923.4241273580751
2007-01,964.7820699979881
2007-02,954.1972239598045
2007-03,1083.7455030193341
2007-04,1072.404201113575
2007-05,1000.0
2007-06,1040.152907385713
2007-07,1081.8628958787958
2007-08,1016.5293057503202
2007-09,1093.2314262774792
2007-10,1121.9343406852288
2007-11,1105.0991662348345
2007-12,1140.2104868148315
2008-01,996.4242638223174
2008-02,981.6319802146456
2008-03,1038.6546229951673
2008-04,996.9602970057565
2008-05,1010.7896552091565
2008-06,1005.288962002058
2008-07,835.4863007105043
2008-08,703.6948710112264
2008-09,458.3814204773162
2008-10,246.87219470736483
2008-11,198.2777504295266
2008-12,168.90437584526188
2009-01,128.5104086279666
2009-02,144.10282472994973
2009-03,185.9818995641641
2009-04,253.3389432432348
2009-05,356.241967039871
2009-06,326.63925580235065
2009-07,333.88395109461163
2009-08,421.20300722662944
2009-09,502.9936285829581
2009-10,545.0372131401215
2009-11,526.3988007541876
2009-12,572.8693229613583
2010-01,626.5368965989709
2010-02,609.997328093385
2010-03,865.5786174866518
2010-04,867.8922263399784
2010-05,706.8517801957057
2010-06,683.5551248936758
2010-07,779.3081380301651
2010-08,790.6856274714494
2010-09,843.5070759887953
2010-10,881.6436153576567
2010-11,938.3985292246826
2010-12,1024.2181615767074
2011-01,1104.302492278139
2011-02,1154.7949369267394
2011-03,1207.0999296011598
2011-04,1171.9855324742837
2011-05,1101.9544639838825
2011-06,1105.721379432103
2011-07,1130.3845410426757
2011-08,898.5704547610305
2011-09,726.1436156850395
2011-10,785.6800071390036
2011-11,728.5587236270127
2011-12,597.831466848666
2012-01,668.0046314842039
2012-02,767.6923311528295
2012-03,715.9790075979529
2012-04,667.6808057387336
2012-05,447.3084300637312
2012-06,484.31194099688105
2012-07,488.2300398882429
2012-08,488.16263204533226
2012-09,530.2257936026487
2012-10,500.24354258494117
2012-11,514.3933191384968
2012-12,534.6660052870856
2013-01,605.8377761791775
2013-02,582.351161684441
2013-03,531.8287233958724
2013-04,499.3606104953448
2013-05,465.1259458820127
2013-06,428.14874755231267
2013-07,442.0252902449218
2013-08,420.1818509496865
2013-09,423.26977737524027
2013-10,405.0954556681956
2013-11,338.30902114790155
2013-12,384.91416834717637
2014-01,329.10876056817534
2014-02,309.7004900982125
2014-03,267.087279510009
2014-04,270.23636684254166
2014-05,315.18105897356963
2014-06,328.1161721789841
2014-07,287.57683769361654
2014-08,281.7799309203531
2014-09,265.1720279559521
2014-10,234.72434950687864
2014-11,200.00257808757812
2014-12,142.27524851818978
2015-01,143.32481382104504
2015-02,190.98336383820381
2015-03,199.9256492703471
2015-04,251.9661762337504
2015-05,239.3550916010488
2015-06,218.4344733735106
2015-07,213.12600881876577
2015-08,194.87109067228315
2015-09,188.90733037845285
2015-10,215.53395738667606
