Date,ISRAEL SMALL CAP
1994-05,218.88735783668483
1994-06,186.3201187383753
1994-07,209.14570343737506
1994-08,217.45951946356644
1994-09,216.17773191548753
1994-10,218.66982924378323
1994-11,195.47372687982423
1994-12,205.33656963147857
1995-01,215.14479940774342
1995-02,192.15022165254825
1995-03,211.83763741595754
1995-04,217.11343698405418
1995-05,222.28335648359527
1995-06,245.8461520881179
1995-07,249.87126267581414
1995-08,259.62570777650956
1995-09,257.8448595522734
1995-10,243.7467615725057
1995-11,239.2854699748534
1995-12,247.67188012843044
1996-01,250.101314727008
1996-02,262.89139140134074
1996-03,235.09274968380316
1996-04,236.4880409670803
1996-05,222.46870508269464
1996-06,223.5849541028247
1996-07,204.30244285335496
1996-08,208.71118318068656
1996-09,213.3579729337583
1996-10,212.5088279777077
1996-11,229.69850135121342
1996-12,253.96502297985447
1997-01,297.4555856957094
1997-02,297.3285452961437
1997-03,284.89280629055025
1997-04,297.31479490249166
1997-05,319.655333662167
1997-06,318.9827660493288
1997-07,361.8846321662972
1997-08,340.5567118300913
1997-09,365.6509078737408
1997-10,326.79197235231226
1997-11,324.64196967394133
1997-12,317.9459467059161
1998-01,288.06438748156376
1998-02,321.7272510337971
1998-03,340.2044557390382
1998-04,339.3177110883022
1998-05,353.41349745807634
1998-06,345.2277380652487
1998-07,349.88141942275934
1998-08,317.14084235525047
1998-09,316.6737216542471
1998-10,293.96551534636114
1998-11,320.3413577812552
1998-12,316.8887243813023
1999-01,317.5428362604425
1999-02,333.2514621346833
1999-03,369.02860873303877
1999-04,390.2003378462385
1999-05,412.5069079816044
1999-06,464.5805774364318
1999-07,475.39449537587035
1999-08,429.8841847484248
1999-09,441.94635787155744
1999-10,433.8092278585119
1999-11,511.7083176016476
1999-12,582.412054874462
2000-01,643.8081993232602
2000-02,816.6665169278955
2000-03,675.3419428219504
2000-04,610.4185621434569
2000-05,623.7832807566622
2000-06,653.2191839101396
2000-07,607.7705242495357
2000-08,671.8892210981921
2000-09,636.9549997223995
2000-10,508.8125714462292
2000-11,492.8733364707988
2000-12,503.92672385990215
2001-01,466.55955195632095
2001-02,459.7847358217762
2001-03,395.1415345930746
2001-04,442.65909957369684
2001-05,441.66534476856333
2001-06,421.8507385311087
2001-07,422.4593959961672
2001-08,401.01610330131894
2001-09,333.6119408549924
2001-10,347.0868118058595
2001-11,379.7327184031738
2001-12,431.963332295477
2002-01,392.4044328520976
2002-02,367.8740645392742
2002-03,348.39710858481567
2002-04,308.66068666928834
2002-05,314.574087768629
2002-06,292.7811517257016
2002-07,307.9515281895677
2002-08,309.5507127385083
2002-09,269.1802317643012
2002-10,263.6548385187489
2002-11,311.61658226922947
2002-12,286.13775709201786
2003-01,272.49102358929986
2003-02,280.25141610746124
2003-03,303.00404048422416
2003-04,356.9101434152733
2003-05,412.226374107709
2003-06,435.61935081242234
2003-07,414.3371840338179
2003-08,411.8994828992568
2003-09,435.44841134994823
2003-10,483.87959860853715
2003-11,536.721504542011
2003-12,556.1146743636921
2004-01,583.1414901211023
2004-02,580.8070158119758
2004-03,581.9567082556172
2004-04,562.108494372882
2004-05,559.6233427922617
2004-06,600.0960357485293
2004-07,562.5466355754845
2004-08,541.6628208869987
2004-09,569.817598066681
2004-10,556.4030684777259
2004-11,616.6887580344036
2004-12,661.4664029318056
2005-01,660.631170074388
2005-02,689.942921517447
2005-03,668.6485950773374
2005-04,666.015572168957
2005-05,692.462206415101
2005-06,644.4084891327319
2005-07,680.8558997017524
2005-08,685.4041280392554
2005-09,696.9160118428786
2005-10,688.74228346582
2005-11,703.1052289624572
2005-12,727.7717356786994
2006-01,766.5073111706528
2006-02,739.794005850922
2006-03,750.1185520108003
2006-04,812.7843840727514
2006-05,801.6666671506907
2006-06,756.261265688185
2006-07,743.3424888323898
2006-08,765.4966971187439
2006-09,791.4967490573086
2006-10,861.8469837418309
2006-11,886.7329251225077
2006-12,869.3688311160153
2007-01,887.4431236998058
2007-02,904.3911428563687
2007-03,916.1993969008456
2007-04,989.9330282986003
2007-05,1000.0
2007-06,959.2228476657615
2007-07,945.4025729718636
2007-08,926.5572810045363
2007-09,994.9963696047284
2007-10,1052.1720790160584
2007-11,998.6683973589084
2007-12,985.5011190873378
