Date,ROMANIA SMALL CAP
2010-11,1000.0
2010-12,1034.2457804885269
2011-01,1199.8669738418243
2011-02,1257.8883635991722
2011-03,1360.751411394408
2011-04,1485.4403741780523
2011-05,1291.4695329923472
2013-06,953.6622269598092
2013-07,1005.7699502914428
2013-08,1005.6831357312977
2013-09,1034.2425378842986
2013-10,1016.8184951201314
2013-11,1079.0254548651799
2013-12,1089.4037410911874
2014-01,1023.3027036495928
2014-02,1102.4409187439767
2014-03,1146.1004416330475
2014-04,1215.7732333421625
2014-05,1270.2719372649735
2014-06,1359.1221249627592
2014-07,1330.436069555237
2014-08,1361.8020047142547
2014-09,1413.6759911834777
2014-10,1387.244528825785
2014-11,1450.0906137385866
2014-12,1424.2273189153802
2015-01,1357.0486626981929
2015-02,1387.5193355528284
2015-03,1281.5803265801349
2015-04,1340.1002769386412
2015-05,1325.5570474667966
2015-06,1322.5552544153652
2015-07,1408.890957252504
2015-08,1362.925750682767
2015-09,1343.7715313015854
2015-10,1332.2991408253586
2015-11,1321.7722030913098
2015-12,1347.0472481550396
2016-01,1257.0673408991731
2016-02,1279.6867468558391
2016-03,1373.1423561357583
2016-04,1360.8405052565047
2016-05,1345.2982932449736
2016-06,1412.7927967282455
2016-07,1522.4897002798668
2016-08,1576.7935255019268
2016-09,1584.6322228856018
2016-10,1499.6934135585589
2016-11,1453.291979735021
2016-12,1418.2660453774927
2017-01,1635.1516874812658
2017-02,1735.9230070469102
2017-03,1788.0503531214174
2017-04,1804.787019
2017-05,2095.502907
2017-06,1888.949508
2017-07,2084.464548
2017-08,2077.470814
2017-09,2109.243473
2017-10,2081.533683
2017-11,2171.254924
2017-12,2155.667468
2018-01,2375.035824
2018-02,2212.384522
2018-03,2187.909627
2018-04,2086.2950996758073
2018-05,1828.5905052675096
2018-06,1911.2450476317129
2018-07,1904.5732899351078
2018-08,1973.3402711270066
2018-09,1923.868138860524
2018-10,1853.3494625918613
2018-11,1874.720852199412
2018-12,1685.0182899401193
2019-01,1699.1171160134118
2019-02,1735.5810136453244
2019-03,1670.0628815985438
2019-04,1690.2570182471995
2019-05,1756.4835937701505
2019-06,1921.8621129120565
2019-07,1887.7686029494448
2019-08,1827.5606988061404
2019-09,1839.8559072034936
2019-10,1948.5349799627988
2019-11,1882.7410994252289
2019-12,1913.3954286562725
2020-01,1838.2907002389936
2020-02,1660.0742474231386
2020-03,1422.1518375253604
2020-04,1565.257310808627
2020-05,1758.814047574446
2020-06,1808.012121511292
2020-07,1864.106749176003
2020-08,1981.369899324815
2020-09,1823.0972268575533
2020-10,1880.9121103999778
2020-11,1939.7156679856043
2020-12,2020.8701125739444
2021-01,2132.2651074410037
2021-02,2061.7951683495107
2021-03,1995.8227915100329
2021-04,2025.2285304601835
2021-05,2058.2545589191045
2021-06,2056.1689494894417
2021-07,2024.4274277707025
2021-08,1890.3535742161112
2021-09,1846.2874504509311
2021-10,1872.804617613588
2021-11,1530.6599375881274
2021-12,1590.6881975624622
2022-01,1569.3362623185058
2022-02,1417.0623718449347
2022-03,1412.6039531014358
2022-04,1296.3838155323592
2022-05,1308.3996690133974
2022-06,1231.4040352490217
2022-07,1201.3079187693868
2022-08,1167.5120561893573
2022-09,993.993626501685
2022-10,1042.3527621593237
2022-11,1161.3769926162925
2022-12,1238.1344907294665
2023-01,1320.9367809168077
2023-02,1311.9443924605232
2023-03,1301.0561040907364
2023-04,1387.6666766701362
2023-05,1253.6599828472565
2023-06,1284.9337781436905
2023-07,1363.7419469986094
