Date,ACWI + FRONTIER MKTS (ACWI FM) SMALL CAP
2010-11,1000.0
2010-12,1088.8607019696879
2011-01,1093.08695610708
2011-02,1126.0393031926963
2011-03,1143.3837693117991
2011-04,1187.485769802384
2011-05,1161.5380341024622
2011-06,1136.3552780636262
2011-07,1115.4994373338968
2011-08,1019.7897126748297
2011-09,900.1412974713446
2011-10,1003.6896027194608
2011-11,973.1545037620996
2011-12,964.388272698783
2012-01,1039.7652114551008
2012-02,1092.1764805667126
2012-03,1097.3747902815733
2012-04,1088.388259653318
2012-05,991.424832310895
2012-06,1026.0323839865644
2012-07,1024.4002317039738
2012-08,1056.8059165986988
2012-09,1096.980454211117
2012-10,1089.5427347321893
2012-11,1100.9636371289762
2012-12,1137.7792577182993
2013-01,1200.1569256544044
2013-02,1210.2255007450606
2013-03,1247.3569040983357
2013-04,1263.690150319051
2013-05,1275.046188664626
2013-06,1238.1282682899043
2013-07,1309.8042466742886
2013-08,1282.6192249424166
2013-09,1370.2957064628329
2013-10,1413.2699106914429
2013-11,1434.2605984469324
2013-12,1464.1606279724806
2014-01,1436.323895239142
2014-02,1509.9921730645879
2014-03,1506.8498644592025
2014-04,1485.3194213156432
2014-05,1504.5994852108145
2014-06,1560.068909635608
2014-07,1505.0330324812835
2014-08,1550.0668087796003
2014-09,1465.861565191942
2014-10,1484.9975443116612
2014-11,1488.2163411053505
2014-12,1490.8203836139046
2015-01,1468.790578126329
2015-02,1552.8668429249724
2015-03,1555.1451088677552
2015-04,1582.4150328688695
2015-05,1603.4430376776897
2015-06,1582.2358012041304
2015-07,1562.752846922987
2015-08,1473.0564819722226
2015-09,1416.4900289391571
2015-10,1497.7191126485513
2015-11,1508.5914262873666
2015-12,1474.742936201781
2016-01,1360.3176739328364
2016-02,1368.147962738318
2016-03,1485.007698040078
2016-04,1518.5511208973248
2016-05,1529.3482972399518
2016-06,1507.628407170132
2016-07,1588.3670378870604
2016-08,1593.4982187693759
2016-09,1617.1790500580319
2016-10,1561.8283929930321
2016-11,1611.6279433400216
2016-12,1645.9285703069493
2017-01,1688.3008248502617
2017-02,1729.4906052662006
2017-03,1745.7879444075454
2017-04,1778.994542
2017-05,1790.480409
2017-06,1816.847141
2017-07,1860.64163
2017-08,1863.70116
2017-09,1928.683134
2017-10,1960.862768
2017-11,2002.750574
2017-12,2037.762747
2018-01,2115.096465
2018-02,2030.324003
2018-03,2028.147032
2018-04,2044.0918574908878
2018-05,2086.6574337609677
2018-06,2066.4408913953935
2018-07,2091.411399467633
2018-08,2128.4443227596703
2018-09,2094.100918437791
2018-10,1885.8634882566548
2018-11,1906.0490393921061
2018-12,1744.227327
2019-01,1914.4338110280185
2019-02,1981.2198652323473
2019-03,1971.5731860233973
2019-04,2027.0936746105483
2019-05,1898.4205026237503
2019-06,2004.7246469407426
2019-07,2011.9669855971074
2019-08,1940.2012604296388
2019-09,1979.7004649942103
2019-10,2036.256013
2019-11,2094.204093437287
2019-12,2172.0008027669965
2020-01,2109.27175548288
2020-02,1920.362442313838
2020-03,1516.746745565568
2020-04,1720.8486579730704
2020-05,1833.9911271553153
2020-06,1892.7777190835402
2020-07,1977.0914169432665
2020-08,2086.3907688412705
2020-09,2042.61605
2020-10,2041.1203852342217
2020-11,2351.404142290558
2020-12,2525.5691580030525
2021-01,2572.145476423396
2021-02,2703.0007672151387
2021-03,2758.2836709113035
2021-04,2871.9281116870684
2021-05,2902.1576384462783
2021-06,2915.6833895080213
2021-07,2893.7289031347887
2021-08,2960.0675703315665
2021-09,2872.380486471432
2021-10,2964.678186590883
2021-11,2828.0505184423187
2021-12,2934.1957314883543
2022-01,2723.9193982989023
2022-02,2721.03331902241
2022-03,2751.7555361647323
2022-04,2546.613025501684
2022-05,2536.1048787588174
2022-06,2281.6217339659174
2022-07,2470.721705850966
2022-08,2407.4205013168043
2022-09,2161.2640047637474
2022-10,2311.81127901596
2022-11,2462.5824535101124
2022-12,2385.818412423993
2023-01,2596.276146713173
2023-02,2540.729312222754
2023-03,2486.9386161074112
2023-04,2487.1584132891494
2023-05,2430.8559263533566
2023-06,2577.3056245034613
2023-07,2709.5988917722275
