Date,EMERGING MARKETS+CHINA A ONSH SMALL CAP
2013-09,3205.205712214426
2013-10,3239.3817009576546
2013-11,3295.496731897179
2013-12,3248.4582543353017
2014-01,3216.540216013983
2014-02,3336.7942003670164
2014-03,3318.0778081463495
2014-04,3289.735214401531
2014-05,3379.2156347449563
2014-06,3478.7744373927294
2014-07,3621.7209286209795
2014-08,3767.7011911971326
2014-09,3904.5159352316155
2014-10,3912.3995216518706
2014-11,3958.041939306482
2014-12,3799.453755816291
2015-01,3934.1532319450844
2015-02,4099.285540159534
2015-03,4547.411703660039
2015-04,5150.114551671093
2015-05,5863.338978292542
2015-06,5418.489710775948
2015-07,4647.625532843562
2015-08,4069.8553107406433
2015-09,3944.8638847459365
2015-10,4472.711147841436
2015-11,4625.36723259353
2015-12,4772.104281007776
2016-01,3853.1414352498578
2016-02,3830.1557464244866
2016-03,4363.089449104574
2016-04,4387.024701826673
2016-05,4209.113354932325
2016-06,4358.387267587123
2016-07,4438.895642443113
2016-08,4581.194736339941
2016-09,4616.27246059445
2016-10,4636.896307075763
2017-04,4598.973403
2017-05,4477.264511
2017-06,4574.127109
2017-07,4694.650565
2017-08,4838.24322
2017-09,4848.792126
2017-10,4907.053558
2017-11,4784.143745
2017-12,4863.663643
2018-01,5011.236461
2018-02,4753.793304
2018-03,4765.578687
2018-04,4632.6303100095665
2018-05,4518.858354766833
2018-06,4057.1548519918447
2018-07,4038.6120456788863
2018-08,3843.354062341868
2018-09,3743.1231370118085
2018-10,3336.469797202378
2018-11,3535.9817968077928
2018-12,3450.9687126821614
2019-01,3582.370590629736
2019-02,3916.664890550839
2019-03,4116.921921564177
2019-04,4045.9505160720714
2019-05,3806.264824105435
2019-06,3886.0677412756536
2019-07,3805.327594304728
2019-08,3622.1606801187672
2019-09,3674.6381551641216
2019-10,3771.069759247867
2019-11,3716.9293986672633
2019-12,3998.010729980653
2020-01,3960.5996333446133
2020-02,3849.0152824151382
2020-03,3282.1734751107624
2020-04,3539.867829752558
2020-05,3595.778310501783
2020-06,3916.856434056052
2020-07,4403.991598971408
2020-08,4586.6141944338415
2020-09,4355.289183863913
2020-10,4359.108643474043
2020-11,4717.505327788072
2020-12,4847.186391020208
