Date,ANDEAN SMALL CAP
2002-05,1000.0
2002-06,940.5264265769306
2002-07,883.6254005487485
2002-08,903.6005595156063
2002-09,843.8996433448045
2002-10,902.9039329177141
2002-11,955.0782759576786
2002-12,992.2912855144629
2003-01,984.8233550375495
2003-02,969.8430921708863
2003-03,989.4327141407534
2003-04,1134.7124457082746
2003-05,1213.5743083890984
2003-06,1243.8639175361163
2003-07,1286.0763490899203
2003-08,1345.029998506157
2003-09,1429.150105059551
2003-10,1609.177937311448
2003-11,1605.1311164455033
2003-12,1698.9902613969548
2004-01,1740.5805319443155
2004-02,1899.662344523256
2004-03,1965.3779420512035
2004-04,1945.0921234143577
2004-05,1871.642511572714
2004-06,1918.9797753617459
2004-07,1978.2840147132458
2004-08,2231.3467487422886
2004-09,2502.1382526026346
2004-10,2673.3685195727853
2004-11,2887.1876495806523
2004-12,2968.8787380562685
2005-01,2875.591045484173
2005-02,3055.920752972011
2005-03,3181.025669775557
2005-04,3146.1405773467827
2005-05,2979.7792894559107
2005-06,3130.2195767140443
2005-07,3602.8525975765815
2005-08,3562.3964041614668
2005-09,3719.8642490364655
2005-10,3430.711651101924
2005-11,3524.934938250796
2005-12,3469.081830458485
2006-01,3819.872426102916
2006-02,3937.2259456256165
2006-03,3908.705762724421
2006-04,4076.2466053171643
2006-05,3821.6740368182627
2006-06,3725.5978761844776
2006-07,3817.730955243295
2006-08,4003.3312127031995
2006-09,4057.9351123543515
2006-10,4391.387636951246
2006-11,4688.684165665903
2006-12,5034.481184151622
2007-01,5293.505182035561
2007-02,5373.838479807655
2007-03,5909.671608503965
2007-04,6463.200972493021
2007-05,6775.126386265272
2007-06,7265.568501068957
2007-07,7302.879030302633
2007-08,7087.388143644782
2007-09,7247.011260703449
2007-10,7715.99974901976
2007-11,7147.069157007468
2007-12,6981.367077957382
2008-01,6441.3475054988
2008-02,6896.491954628292
2008-03,6951.226707851384
2008-04,6965.547429145926
2008-05,6709.35098656347
2008-06,5890.124134500304
2008-07,5924.163335703569
2008-08,5736.59584891001
2008-09,4848.83591162224
2008-10,3490.5510535248336
2008-11,3529.929078435194
2008-12,3679.0224156066993
2009-01,3896.4558308556802
2009-02,3858.5234398358975
2009-03,4050.2236398234204
2009-04,4620.273037240906
2009-05,5673.330802721406
2009-06,5971.574187193937
2009-07,6075.6332177275635
2009-08,6140.8438497182315
2009-09,6745.244581906642
2009-10,6962.80572685812
2009-11,7198.55957891601
2009-12,7530.575775637824
2010-01,7627.102435323579
2010-02,7942.135513593472
2010-03,7984.0772350742045
2010-04,8302.655625388503
2010-05,7855.585972430468
2010-06,8194.540964112963
2010-07,9069.310730873214
2010-08,10009.764415515438
2010-09,11034.737190989003
2010-10,11365.815684343966
2010-11,11573.98686617753
2010-12,12419.109717687646
2011-01,11571.924579119539
2011-02,10872.719641968788
2011-03,10867.404211777184
2011-04,11436.332743673789
2011-05,11255.09779827765
2011-06,9521.09031680933
2011-07,9159.760834965331
2011-08,8557.281390653627
2011-09,6556.7582803445885
2011-10,7665.002306717678
2011-11,7172.762778743222
2011-12,6849.2471382603535
2012-01,7474.364057326461
2012-02,8142.993827383103
2012-03,8539.623448530387
2012-04,8421.799888133975
2012-05,7453.147145336645
2012-06,7674.08116762154
2012-07,7806.100080980805
2012-08,7710.975760814614
2012-09,8150.576173394121
2012-10,8529.929336837162
2012-11,8000.064188365362
2012-12,8366.222112348054
2013-01,8930.373624929276
2013-02,8958.828743604994
2013-03,8561.991362038301
2013-04,8012.373147552314
2013-05,7300.363292508636
2013-06,6598.433585648083
2013-07,6026.755928043812
2013-08,5857.091295763149
2013-09,6134.868851850071
2013-10,6002.8591129549895
2013-11,5484.106125379329
2013-12,5550.845386726167
2014-01,4992.5415541562315
