Date,ACFM EUROPE + CIS (E+C) SMALL CAP
2010-11,1000.0
2010-12,1125.391676325105
2011-01,1145.2177912956256
2011-02,1167.2352855969368
2011-03,1187.9440937656045
2011-04,1279.4531260209003
2011-05,1238.5972277410572
2011-06,1198.2407067639401
2011-07,1149.7616848384018
2011-08,1028.0242082007603
2011-09,890.4038265550452
2011-10,987.2609749705797
2011-11,923.5038952677005
2011-12,890.8334046230503
2012-01,981.5123320709915
2012-02,1062.765538022142
2012-03,1058.980368422512
2012-04,1054.9746472179168
2012-05,914.5387053130162
2012-06,960.0804838536013
2012-07,965.4423609017435
2012-08,1009.8522192441047
2012-09,1063.883143506232
2012-10,1083.4777395492458
2012-11,1094.0622173308004
2012-12,1150.3650121769222
2013-01,1218.538317281803
2013-02,1217.764668814898
2013-03,1211.0763805918077
2013-04,1250.7723368427846
2013-05,1273.595764498479
2013-06,1219.010638532007
2013-07,1323.916091851564
2013-08,1326.2414205162402
2013-09,1434.6802896395775
2013-10,1507.5486865936314
2013-11,1537.5002382520322
2013-12,1586.184239260317
2014-01,1562.4061603682978
2014-02,1703.6761521805186
2014-03,1680.5821558873636
2014-04,1670.87963388245
2014-05,1684.172990153946
2014-06,1673.2128373003648
2014-07,1594.3918607113635
2014-08,1592.4801234446963
2014-09,1502.1968529063524
2014-10,1468.389315222935
2014-11,1494.0854640336854
2014-12,1477.077640417658
2015-01,1463.4772328665235
2015-02,1584.467879256533
2015-03,1544.4992444078425
2015-04,1634.2988335142818
2015-05,1655.1504332991972
2015-06,1630.7516663600138
2015-07,1670.9781614165045
2015-08,1604.5666257122018
2015-09,1549.5704080492967
2015-10,1630.5448902634053
2015-11,1621.3072143242598
2015-12,1629.5719650286721
2016-01,1491.222570169889
2016-02,1490.1166626607308
2016-03,1615.7012586151238
2016-04,1636.9806385289908
2016-05,1655.4314767103697
2016-06,1507.4868063258464
2016-07,1600.5573075653358
2016-08,1620.126311127408
2016-09,1651.4233819907834
2016-10,1572.2153611522451
2016-11,1538.5211415623378
2016-12,1604.4289670264495
2017-01,1659.9542939521923
2017-02,1685.5177435406576
2017-03,1740.967997451137
2017-04,1857.353583
2017-05,1937.441609
2017-06,1918.858014
2017-07,2005.308689
2017-08,2011.027753
2017-09,2086.833377
2017-10,2098.339373
2017-11,2106.07823
2017-12,2173.328008
2018-01,2299.271981
2018-02,2186.335882
2018-03,2166.408533
2018-04,2212.4454613616253
2018-05,2170.494906581258
2018-06,2145.4221516359758
2018-07,2177.9272346778
2018-08,2150.327616248767
2018-09,2107.4581083522094
2018-10,1900.9252968686308
2018-11,1837.6176902503885
2018-12,1736.947997
2019-01,1899.912520195001
2019-02,1949.5879665436348
2019-03,1946.1777544989905
2019-04,2031.2723672086959
2019-05,1904.3087929395347
2019-06,2004.4334197530923
2019-07,1958.510713904716
2019-08,1903.2708742918705
2019-09,1949.9125007996024
2019-10,2043.367484224389
2019-11,2112.049051760957
2019-12,2240.725515312137
2020-01,2176.525959351754
2020-02,1980.5800647836168
2020-03,1557.8165837673444
2020-04,1732.2022794114268
2020-05,1850.0553150456053
2020-06,1895.5234086819034
2020-07,2015.7414858551122
2020-08,2151.177512530503
2020-09,2096.281233
2020-10,1988.564175836536
2020-11,2355.541362768822
2020-12,2556.4350305210055
2021-01,2551.825323153723
2021-02,2649.472543304955
2021-03,2692.5618556122604
2021-04,2860.4396020330882
2021-05,2964.874253635937
2021-06,2859.568471955489
2021-07,2962.1821266096526
2021-08,3053.0146530044785
2021-09,2865.2146053911993
2021-10,2963.7704327463634
2021-11,2785.8027023343925
2021-12,2934.3211000839615
2022-01,2704.857407171049
2022-02,2593.4243778117725
2022-03,2584.568182270638
2022-04,2408.7468681810383
2022-05,2403.7219536897414
2022-06,2073.5626400663496
2022-07,2217.3219789520185
2022-08,2041.3197302988203
2022-09,1774.233567580469
2022-10,1918.3283881206653
2022-11,2129.3544885052643
2022-12,2156.8024161639305
2023-01,2351.0662975950886
2023-02,2360.0852453723573
2023-03,2315.7302215822074
2023-04,2390.478581701453
2023-05,2253.033981097793
2023-06,2323.7267651774578
2023-07,2435.8656786452234
