Date,EM LATIN AMERICA ex BRAZIL SMALL CAP
1996-05,1000.0
1996-06,986.6539070501499
1996-07,946.6278024204896
1996-08,941.1073164630947
1996-09,966.7657019594775
1996-10,919.4236032740511
1996-11,920.6878732332173
1996-12,916.0677639506508
1997-01,966.7887241972634
1997-02,1001.0149890742985
1997-03,982.8719627371905
1997-04,983.5780229973394
1997-05,1027.5791757584973
1997-06,1083.0669639793512
1997-07,1149.0748180545856
1997-08,1111.7938580765835
1997-09,1139.2060181609772
1997-10,1008.8422691654508
1997-11,1004.7274592203947
1997-12,1026.8049332772616
1998-01,900.5326812350489
1998-02,906.5463177932523
1998-03,934.8714961924073
1998-04,942.6868428097598
1998-05,853.9477616052873
1998-06,791.9110090939264
1998-07,786.0409269000023
1998-08,600.2925706511687
1998-09,572.3196400612092
1998-10,582.7240376074726
1998-11,666.1097230358874
1998-12,636.4168130267738
1999-01,581.4155988951292
1999-02,591.5937156075788
1999-03,651.6843995163039
1999-04,727.1767041658532
1999-05,708.3267780456214
1999-06,711.4285636684206
1999-07,693.2562161679174
1999-08,690.7834314358638
1999-09,684.4068302951481
1999-10,676.7501442339371
1999-11,721.7669219344081
1999-12,758.1178962685988
2000-01,786.0445022594942
2000-02,792.0165963362028
2000-03,780.2871538774302
2000-04,748.2766427124462
2000-05,700.6011609285376
2000-06,687.3193624403519
2000-07,688.9505368057663
2000-08,682.5664213295674
2000-09,668.5950356969439
2000-10,643.1001521349715
2000-11,637.7173072729623
2000-12,644.1987776316316
2001-01,682.4449003585396
2001-02,657.4142181885361
2001-03,656.1970738084188
2001-04,647.1263437510303
2001-05,688.6768651297963
2001-06,678.3257005434489
2001-07,644.2320857895234
2001-08,652.6727163728059
2001-09,578.3461447813597
2001-10,573.3340553666926
2001-11,610.9700569251983
2001-12,653.4133578517354
2002-01,648.4680136464183
2002-02,651.2824028179576
2002-03,674.0327036628906
2002-04,684.4507004128677
2002-05,675.8139608046373
2002-06,613.2138065065186
2002-07,594.2930700547375
2002-08,595.9542835589206
2002-09,541.3843762680559
2002-10,565.6600182236934
2002-11,592.2985008851855
2002-12,585.3914411321786
2003-01,569.2436838542175
2003-02,575.0881447403849
2003-03,584.0923475275449
2003-04,686.7265245886913
2003-05,717.1730204639045
2003-06,745.1875580548161
2003-07,763.4469991469028
2003-08,766.6144997959456
2003-09,821.1345934020176
2003-10,914.9355877076076
2003-11,924.2353936256242
2003-12,998.3984995067672
2004-01,1073.839715226891
2004-02,1152.905623830864
2004-03,1191.6494670208692
2004-04,1106.47035189423
2004-05,1074.9352718062394
2004-06,1082.6410033004342
2004-07,1093.1447193460901
2004-08,1157.0682207819598
2004-09,1271.2133037864771
2004-10,1333.4820625154941
2004-11,1436.8937100757619
2004-12,1533.7723186438727
2005-01,1556.4365870750892
2005-02,1642.2242445140794
2005-03,1559.9789239587105
2005-04,1512.9438263859981
2005-05,1547.3789251867768
2005-06,1607.258205149416
2005-07,1783.1698933838363
2005-08,1760.1985347691116
2005-09,1867.619223923345
2005-10,1755.2028753126879
2005-11,1839.3738946192823
2005-12,1864.8692031585517
2006-01,2013.9058582425225
2006-02,2028.536176069343
2006-03,2012.433849006504
2006-04,2086.3282124258885
2006-05,1959.569647433398
2006-06,1916.6320319839722
2006-07,2038.2318206491075
2006-08,2099.845715586744
2006-09,2177.4058831572434
2006-10,2350.2316741421364
2006-11,2466.249942831528
2006-12,2699.8276254074467
2007-01,2791.3976588581413
2007-02,2785.756045320281
2007-03,3035.009620432112
2007-04,3195.3882025873245
2007-05,3404.320542243378
2007-06,3517.40762947709
2007-07,3566.3302953260695
2007-08,3397.6475931794857
2007-09,3470.0020640094444
2007-10,3667.4905658929238
2007-11,3337.887069487856
2007-12,3329.071964776037
2008-01,3062.681583327283
2008-02,3212.5420222235052
2008-03,3202.225120725091
2008-04,3237.246355189132
2008-05,3201.462956835038
2008-06,2886.264147361248
2008-07,2789.0241177000594
2008-08,2615.599816043888
2008-09,2212.6986974214346
2008-10,1502.079527057319
2008-11,1457.14711783018
2008-12,1575.599921239281
2009-01,1494.3563884870368
2009-02,1415.558655400482
2009-03,1478.762427672009
2009-04,1696.8540919345014
2009-05,2116.164322159037
2009-06,2187.599273365021
2009-07,2302.8867329654568
2009-08,2427.0660199388885
2009-09,2608.995347020319
2009-10,2664.6514411798253
2009-11,2845.606269327341
2009-12,2934.9730578534004
2010-01,2916.2790039806846
2010-02,3045.1313030875212
2010-03,3187.254705017424
2010-04,3265.6456552473865
2010-05,3013.7198640195024
2010-06,3013.223975659715
2010-07,3256.842884102491
2010-08,3234.7273686012813
2010-09,3547.557694360837
2010-10,3767.8167008223068
2010-11,3860.5214733584066
2010-12,4104.337059103741
2011-01,3949.4761785150845
2011-02,3731.6239915497154
2011-03,3795.780727347696
2011-04,3971.5541770578357
2011-05,3841.904933299618
2011-06,3546.2647220761432
2011-07,3417.7412665816823
2011-08,3075.5940669336323
2011-09,2403.7522876181097
2011-10,2766.230821489025
2011-11,2659.653843776177
2011-12,2598.37635078653
2012-01,2933.2535963428513
2012-02,3048.3696921017895
2012-03,3170.055211863028
2012-04,3160.6704193357737
2012-05,2765.5623100646876
2012-06,2970.8277011275
2012-07,3000.121292663263
2012-08,2967.7598679663884
2012-09,3178.061021754745
2012-10,3297.314342190454
2012-11,3236.683906042406
2012-12,3403.7801173396356
2013-01,3706.4956991787285
2013-02,3649.5492803070433
2013-03,3703.697114929058
2013-04,3445.7994793349626
2013-05,3136.8293168964938
2013-06,2855.5332796726702
2013-07,2746.512739290737
2013-08,2665.0819427295883
2013-09,2732.1237855336735
2013-10,2700.8073348314474
2013-11,2553.828644308365
2013-12,2610.9469459089064
2014-01,2442.9582953604277
2014-02,2423.64124529823
2014-03,2587.1539197774177
2014-04,2576.7480428611
2014-05,2652.523224518029
2014-06,2673.725668835862
2014-07,2624.667899933151
2014-08,2670.3436478808394
2014-09,2584.5013323481044
2014-10,2616.1710301240123
2014-11,2513.4731827016017
2014-12,2366.5084163085044
2015-01,2285.9649536384236
2015-02,2438.7910027559597
2015-03,2320.187653221023
2015-04,2390.9928125887277
2015-05,2323.7135048732002
2015-06,2234.4098024837094
2015-07,2230.3617114168155
2015-08,2044.1591154960197
2015-09,2046.8394477448508
2015-10,2129.2396962902008
2015-11,2087.3662999683193
2015-12,2046.5623052660576
2016-01,1940.8339299356123
2016-02,2012.9755982434278
2016-03,2251.8983129126555
2016-04,2332.6581337422017
2016-05,2186.1383839403816
2016-06,2193.640876576261
2016-07,2240.514885390968
2016-08,2266.7457487892466
2016-09,2199.063961997768
2016-10,2347.11638418422
2016-11,2066.444156852165
2016-12,2057.2366127583496
2017-01,2084.169430560167
2017-02,2140.690928287767
2017-03,2306.6912373574532
2017-04,2305.756681
2017-05,2312.783908
2017-06,2405.163971
2017-07,2507.760557
2017-08,2571.414648
2017-09,2544.243857
2017-10,2448.355529
2017-11,2373.948676
2017-12,2449.240556
2018-01,2596.067767
2018-02,2527.047622
2018-03,2510.153298
2018-04,2529.8127557295793
2018-05,2280.6873669156334
2018-06,2279.429180442019
2018-07,2432.59403942047
2018-08,2345.9263709020074
2018-09,2420.3343616022853
2018-10,2017.422089972687
2018-11,2017.9151521127799
2018-12,1996.660510800173
2019-01,2221.102948922464
2019-02,2235.502989628989
2019-03,2201.2401875542314
2019-04,2280.973026288284
2019-05,2127.874998723904
2019-06,2260.9494369710837
2019-07,2208.58851335976
2019-08,1969.589163011251
2019-09,2053.585400711432
2019-10,2087.6398098447726
2019-11,1999.101557494352
2019-12,2169.0729052896304
2020-01,2097.381511355955
2020-02,1876.6766129909572
2020-03,1249.5501186926958
2020-04,1344.409033096041
2020-05,1436.2306369785488
2020-06,1501.7763266408142
2020-07,1596.7998954333364
2020-08,1611.6121738244206
2020-09,1521.9730223137624
2020-10,1508.8515606642638
2020-11,1823.831014849722
2020-12,1978.9351897944705
2021-01,1868.7544626419005
2021-02,1925.9710974024065
2021-03,1982.2521200605324
2021-04,1982.519011328018
2021-05,2050.085709194006
2021-06,2063.889561498429
2021-07,2027.1205376734222
2021-08,2060.0962444443744
2021-09,1944.7985519325973
2021-10,1918.7797184205683
2021-11,1787.0223107581628
2021-12,1972.7892575859948
2022-01,2052.645500732468
2022-02,2021.4535916616576
2022-03,2195.204260563287
2022-04,2011.7723504069709
2022-05,2114.8424439758055
2022-06,1834.8627311444288
2022-07,1914.485283116757
2022-08,1882.833614192179
2022-09,1813.6197956218007
2022-10,1993.3046852487375
2022-11,2166.905453616079
2022-12,2211.255719221825
2023-01,2500.6215714770574
2023-02,2474.654474526926
2023-03,2607.278980783396
2023-04,2602.7352229555217
2023-05,2633.266239857343
2023-06,2760.8227938550735
2023-07,2944.662650642871
