Date,EFM CEEC ex RU SMALL CAP
2010-11,1000.0
2010-12,1073.726196291197
2011-01,1133.1960445677412
2011-02,1151.207083315091
2011-03,1174.0252980884466
2011-04,1272.1822537718153
2011-05,1194.7610053373444
2011-06,1152.3085359541788
2011-07,1074.3287031299305
2011-08,919.6905398039494
2011-09,719.6959439767189
2011-10,810.3896897449284
2011-11,726.6194828540084
2011-12,685.4656941074767
2012-01,782.3975339883494
2012-02,831.2985265714227
2012-03,816.1504100667468
2012-04,797.9154375626792
2012-05,666.9037616379077
2012-06,709.548475714354
2012-07,700.3047910548735
2012-08,699.7715193666867
2012-09,778.4282334244868
2012-10,779.2435979694574
2012-11,792.5074503798809
2012-12,858.1305775771357
2013-01,862.6371025462273
2013-02,822.105028116819
2013-03,776.0875206561057
2013-04,774.2853750305392
2013-05,809.397178920072
2013-06,772.258278091646
2013-07,836.6843211007006
2013-08,847.2208137046772
2013-09,913.028270677516
2013-10,974.2075059916681
2013-11,997.9098704467494
2013-12,981.2301387110008
2014-01,966.3869538090559
2014-02,1039.1990202099446
2014-03,1002.8805019773009
2014-04,1017.7676150930805
2014-05,998.4858288068499
2014-06,1017.1216499972462
2014-07,967.6571963053426
2014-08,954.2606728358138
2014-09,954.5467012891604
2014-10,941.719274887811
2014-11,956.5042379423147
2014-12,877.9679194973914
2015-01,870.6396263243288
2015-02,884.8900877427272
2015-03,864.4277036389666
2015-04,918.7371624895563
2015-05,894.5656545170422
2015-06,853.0037805323922
2015-07,888.8451538866236
2015-08,854.5518479269454
2015-09,857.4624196134315
2015-10,862.8172392783522
2015-11,808.4950709368801
2015-12,816.610544660488
2016-01,758.9875482679071
2016-02,793.4007782827382
2016-03,863.4921191938583
2016-04,859.4932392362775
2016-05,815.9604518688444
2016-06,794.8106501057463
2016-07,865.6038923571027
2016-08,929.3778398566488
2016-09,974.623490566424
2016-10,978.092300499165
2016-11,938.9694713851454
2016-12,970.2764491123061
2017-01,1081.6550355119973
2017-02,1121.3659393322282
2017-03,1130.121643725053
2017-04,1172.954134
2017-05,1214.660112
2017-06,1265.11795
2017-07,1330.263976
2017-08,1350.026511
2017-09,1350.835065
2017-10,1324.632974
2017-11,1306.948615
2017-12,1323.641169
2018-01,1386.361167
2018-02,1274.325612
2018-03,1248.0244105754114
2018-04,1234.2963551407013
2018-05,1169.4609816092518
2018-06,1100.9966719834579
2018-07,1145.953408051401
2018-08,1116.9685432700649
2018-09,1070.26341006504
2018-10,1005.0954058737639
2018-11,1042.7976945921523
2018-12,1023.4643688038252
2019-01,1095.3124618458546
2019-02,1101.5545056397941
2019-03,1071.6256109964468
2019-04,1067.943069742072
2019-05,1039.7402245351245
2019-06,1133.49199621099
2019-07,1085.6581086794208
2019-08,1036.8357055428219
2019-09,1001.011994892677
2019-10,1047.0087465061395
2019-11,1059.7541691963668
2019-12,1112.98388505735
2020-01,1073.7811202545079
2020-02,944.5838551308397
2020-03,774.201606661186
2020-04,889.8019446749187
2020-05,944.1579328846447
2020-06,989.5035395240986
2020-07,1043.8003255382132
2020-08,1078.1583045837242
2020-09,1026.0954654877949
2020-10,924.0148265535187
2020-11,1111.228804922456
2020-12,1212.4207094298604
2021-01,1250.770602213852
2021-02,1291.5916958851935
2021-03,1227.3158765780358
2021-04,1336.4479569487598
2021-05,1504.941888534252
2021-06,1457.882649017854
2021-07,1470.18070838527
2021-08,1560.460758299237
2021-09,1521.4705490108265
2021-10,1624.150416286938
2021-11,1453.308978076171
2021-12,1490.249451046219
2022-01,1431.237138519041
2022-02,1292.06600044706
2022-03,1396.4519269163286
2022-04,1251.7741903132076
2022-05,1291.8124317345882
2022-06,1191.334906104587
2022-07,1163.805304453717
2022-08,1118.7256202850701
2022-09,958.3451194793416
2022-10,1043.6652167832956
2022-11,1181.729437048672
2022-12,1243.740904491368
2023-01,1362.9113698318938
2023-02,1318.5968967389813
2023-03,1340.1625709043017
2023-04,1459.9477914803324
2023-05,1388.3406064643345
2023-06,1512.2548512944231
2023-07,1669.7470438938485
