Date,KUKJE (ACWI ex KOREA) SMALL CAP
2002-05,1000.0
2002-06,943.8074718808463
2002-07,849.1379635903733
2002-08,847.8490726772366
2002-09,778.2293945425109
2002-10,797.7468698306006
2002-11,847.875559411604
2002-12,823.4894757879763
2003-01,808.4035361572855
2003-02,793.1652174536631
2003-03,795.0304402832463
2003-04,867.3787042775141
2003-05,948.2258860332164
2003-06,975.1818733439725
2003-07,1015.1710058503768
2003-08,1063.952610160708
2003-09,1081.0873014480885
2003-10,1164.6896425047003
2003-11,1191.7949437984855
2003-12,1241.427156507431
2004-01,1287.1753402691031
2004-02,1319.2230379924579
2004-03,1346.8619588273552
2004-04,1291.088238398109
2004-05,1298.520998736625
2004-06,1348.0934465473892
2004-07,1284.9022189042867
2004-08,1287.1554463669193
2004-09,1334.2386257293713
2004-10,1367.2477027239863
2004-11,1471.4065860652856
2004-12,1536.961258551719
2005-01,1521.3022082970515
2005-02,1573.7593375288372
2005-03,1537.6044740579887
2005-04,1481.959198675446
2005-05,1529.886007662035
2005-06,1573.7246089406776
2005-07,1650.35531614982
2005-08,1659.6163211340388
2005-09,1696.4115070220203
2005-10,1637.6812382055884
2005-11,1705.663619565813
2005-12,1764.4887116694567
2006-01,1895.8752182575586
2006-02,1890.4382897783248
2006-03,1966.6904502615498
2006-04,2022.0343181107926
2006-05,1921.0953017065067
2006-06,1896.6751244901427
2006-07,1860.2095894493177
2006-08,1908.7951641452835
2006-09,1922.3974934080507
2006-10,2011.432714462499
2006-11,2097.145814259646
2006-12,2136.7731846512356
2007-01,2184.060133913579
2007-02,2205.8116517188137
2007-03,2261.638983461287
2007-04,2345.4122883070313
2007-05,2423.117182161651
2007-06,2404.1674128666978
2007-07,2343.632831351697
2007-08,2301.7718876560957
2007-09,2372.6234340729015
2007-10,2474.1148870579127
2007-11,2301.8715087912747
2007-12,2268.6914120084984
2008-01,2082.6901337027457
2008-02,2105.0950646054
2008-03,2075.282899579901
2008-04,2163.8883840799895
2008-05,2230.1804144934313
2008-06,2039.6340527898114
2008-07,2003.6452620194868
2008-08,1991.9247492682177
2008-09,1713.1040166975522
2008-10,1316.5391418893967
2008-11,1207.3890115451668
2008-12,1284.446388486077
2009-01,1187.6176945818056
2009-02,1071.7213193376995
2009-03,1163.2288732280226
2009-04,1360.8154443098576
2009-05,1502.2520021676805
2009-06,1518.5293889448337
2009-07,1659.3564628935899
2009-08,1751.1414555449144
2009-09,1858.5050997478995
2009-10,1795.668026599257
2009-11,1844.7825118423464
2009-12,1932.8591611339568
2010-01,1884.5101346056492
2010-02,1923.4043012938266
2010-03,2074.750956252256
2010-04,2151.4059200562288
2010-05,1942.6905773631524
2010-06,1864.0084762281151
2010-07,2008.8298498609583
2010-08,1928.2243308210086
2010-09,2150.6955467029557
2010-10,2236.0859174761886
2010-11,2242.3119704034266
2010-12,2444.4575676173845
2011-01,2452.7186946790357
2011-02,2533.5114238971705
2011-03,2569.4795813779497
2011-04,2668.4116732016596
2011-05,2610.5415429807244
2011-06,2551.391882360391
2011-07,2498.856587267252
2011-08,2284.8065859052663
2011-09,2019.2810643492242
2011-10,2252.0519142550415
2011-11,2184.465358308089
2011-12,2165.48413775792
2012-01,2337.002344321882
2012-02,2455.022067539411
2012-03,2469.162103802947
2012-04,2450.273692033128
2012-05,2231.509107685652
2012-06,2309.437085470659
2012-07,2306.482345935024
2012-08,2378.016359767506
2012-09,2466.9013521006877
2012-10,2450.8004873143796
2012-11,2477.4973098657233
2012-12,2561.108465967117
