Date,WORLD ex EMU SMALL CAP
2000-12,1000.0
2001-01,1034.9121584886793
2001-02,1005.8817454913278
2001-03,957.303923091898
2001-04,1038.7164081623011
2001-05,1055.4961904007869
2001-06,1062.0977056297902
2001-07,1021.8209161091261
2001-08,1019.909762074527
2001-09,889.9691494573477
2001-10,948.2687895532748
2001-11,1006.286163959807
2001-12,1035.1638764563743
2002-01,1010.6111488849613
2002-02,1000.0209048162907
2002-03,1080.4476026956247
2002-04,1095.008759992917
2002-05,1089.4392220497537
2002-06,1027.9587119141179
2002-07,914.9185072447283
2002-08,911.5941517557998
2002-09,849.7839307466091
2002-10,854.5368718407689
2002-11,903.1192006488028
2002-12,858.0648531647128
2003-01,839.7567324912156
2003-02,829.0217035263219
2003-03,831.7201609641203
2003-04,911.4450505865236
2003-05,1006.9923939802864
2003-06,1041.480773357363
2003-07,1084.2052612579093
2003-08,1158.8776324399191
2003-09,1174.881193374402
2003-10,1279.7205024532545
2003-11,1296.6106504406507
2003-12,1349.8934431948785
2004-01,1406.797903974612
2004-02,1433.0634796913187
2004-03,1485.9062072971626
2004-04,1412.4432985390408
2004-05,1420.749451797727
2004-06,1484.5561370771527
2004-07,1405.3897519334246
2004-08,1403.1185968003929
2004-09,1452.2302083568798
2004-10,1490.77755686308
2004-11,1605.378601181709
2004-12,1668.1068976491952
2005-01,1640.3022740441609
2005-02,1685.2841006704753
2005-03,1647.8226571847092
2005-04,1580.7671593667926
2005-05,1633.8585135362375
2005-06,1681.0545603616204
2005-07,1764.7833859291654
2005-08,1779.7337958896321
2005-09,1822.008040339454
2005-10,1771.0105630309947
2005-11,1851.1949831675558
2005-12,1926.6058624906907
2006-01,2050.1033964909166
2006-02,2024.8427349497201
2006-03,2118.1561099074156
2006-04,2164.8271459696175
2006-05,2043.4690849922479
2006-06,2012.441920634835
2006-07,1951.9038262952217
2006-08,2007.9446434487843
2006-09,2012.9270199642733
2006-10,2098.167951819165
2006-11,2161.8829713870846
2006-12,2189.650158568056
2007-01,2223.8141214359443
2007-02,2239.635230107878
2007-03,2284.127640763106
2007-04,2349.148893697481
2007-05,2410.2311201361704
2007-06,2392.562426522103
2007-07,2300.9622652437965
2007-08,2241.4415155195793
2007-09,2289.6507502593645
2007-10,2395.6854135422673
2007-11,2212.9752158265546
2007-12,2174.5922183774724
2008-01,2015.1454625591073
2008-02,2019.0227848332868
2008-03,1988.6427907930806
2008-04,2074.8833584569657
2008-05,2157.4806649607867
2008-06,1987.5791041669395
2008-07,1961.8058974734245
2008-08,1966.7385596609204
2008-09,1722.338653288006
2008-10,1343.0102856887513
2008-11,1227.4367442421667
2008-12,1295.7011089588314
2009-01,1200.1476233960598
2009-02,1072.2978323024454
2009-03,1160.9762761139634
2009-04,1348.1360277943443
2009-05,1455.9019004901156
2009-06,1475.3664217407145
2009-07,1606.8057878941872
2009-08,1695.0487805948867
2009-09,1785.3562825122035
2009-10,1716.425803822862
2009-11,1758.1313786342123
2009-12,1849.7522325727632
2010-01,1805.3216566220813
2010-02,1861.191996378119
2010-03,2005.2431297032892
2010-04,2093.284265900725
2010-05,1904.4987240348619
2010-06,1810.4049964253813
2010-07,1942.518165493807
2010-08,1854.6941973344208
2010-09,2061.923023633023
2010-10,2135.526798825744
2010-11,2170.7952163968775
2010-12,2366.8170678896904
2011-01,2383.164312831246
2011-02,2484.758864686272
2011-03,2507.439583872513
2011-04,2592.8802463229745
2011-05,2546.553588675736
2011-06,2490.8454505814684
2011-07,2446.8203428289316
2011-08,2249.62998360398
2011-09,2004.32053621983
2011-10,2245.9439245701064
2011-11,2203.961210473506
2011-12,2192.362270016161
2012-01,2353.0465541854905
2012-02,2453.7096096467967
2012-03,2480.5566672137475
2012-04,2467.4966907092785
2012-05,2259.35975848404
2012-06,2337.499415389995
2012-07,2336.1792910894396
2012-08,2409.7663340320705
2012-09,2489.647774934139
2012-10,2467.633563244978
2012-11,2489.2979366822688
2012-12,2561.1893686725743
2013-01,2702.876615407523
2013-02,2732.474751647736
2013-03,2843.987216789166
2013-04,2870.0182521018405
2013-05,2894.94959760046
2013-06,2838.3740667527354
2013-07,3015.3100944102844
2013-08,2951.777072112196
2013-09,3149.5082318935083
2013-10,3235.212919103675
2013-11,3294.6426941814666
2013-12,3372.892987458145
2014-01,3305.4287548771154
2014-02,3468.845708464247
2014-03,3449.895780659416
2014-04,3387.3716655140634
2014-05,3427.812488178516
2014-06,3580.4455731610483
2014-07,3443.688742874158
2014-08,3563.104383053322
2014-09,3362.1002601479468
2014-10,3437.6759446802575
2014-11,3443.0522117296855
2014-12,3472.1525278222316
2015-01,3401.467153846922
2015-02,3606.7639069839147
2015-03,3616.6662527950793
2015-04,3638.7371474338156
2015-05,3697.7406140666567
2015-06,3667.94295701767
2015-07,3635.3788419469174
2015-08,3437.886911224409
2015-09,3291.5441292540427
2015-10,3478.8774195622573
2015-11,3527.6392121983704
2015-12,3424.5106252721803
2016-01,3158.506383171127
2016-02,3185.989517801749
2016-03,3451.516498636779
2016-04,3535.328518954604
2016-05,3581.034184826142
2016-06,3534.94237562308
2016-07,3725.4200207435424
2016-08,3728.685489270283
2016-09,3782.0691076274256
2016-10,3640.8113207945967
2016-11,3827.334178423201
2016-12,3906.1719386409595
2017-01,3990.87286910935
2017-02,4080.211438423549
2017-03,4090.3751477542637
2017-04,4155.913839
2017-05,4156.826663
2017-06,4232.9639
2017-07,4315.958732
2017-08,4307.056586
2017-09,4475.216526
2017-10,4547.514818
2017-11,4652.62061
2017-12,4718.34166
2018-01,4865.285693
2018-02,4675.574019
2018-03,4684.97967
2018-04,4724.031210486409
2018-05,4887.737819603352
2018-06,4877.791063192404
2018-07,4932.911258736567
2018-08,5059.521613906624
2018-09,4990.418314363489
2018-10,4497.268401196109
2018-11,4539.590603121129
2018-12,4104.522297770666
2019-01,4533.468519874828
2019-02,4709.774420723857
2019-03,4676.3329119650125
2019-04,4814.760665698643
2019-05,4501.523069064796
2019-06,4758.355714662162
2019-07,4796.647870798342
2019-08,4629.967007324824
2019-09,4728.292241037977
2019-10,4849.609966755597
2019-11,5010.2295157410335
2019-12,5180.722629131965
2020-01,5037.72243638206
2020-02,4567.283953268415
2020-03,3618.81723700382
2020-04,4117.688167587101
2020-05,4408.146032742796
2020-06,4516.320294938335
2020-07,4685.87726268474
2020-08,4952.944619856
2020-09,4845.116673542364
2020-10,4874.397946673574
2020-11,5599.796350661306
2020-12,6012.701855938371
2021-01,6143.641830801838
2021-02,6456.96751511546
2021-03,6594.127199016163
2021-04,6839.97168567581
2021-05,6877.813099694872
2021-06,6915.197934149693
2021-07,6850.8161780549035
2021-08,7013.727632712548
2021-09,6807.1216486366875
2021-10,7057.754097183628
2021-11,6723.959960194211
2021-12,6965.2108452784
2022-01,6425.332491183611
2022-02,6456.564448717808
2022-03,6523.887444376159
2022-04,6004.585681895642
2022-05,5982.263170175036
2022-06,5408.510138354723
2022-07,5928.6997073841985
2022-08,5748.715979488146
2022-09,5165.217297910812
2022-10,5577.086341751437
2022-11,5903.811585218714
2022-12,5677.398535252932
2023-01,6193.8522886025285
2023-02,6054.938302831112
2023-03,5894.507820210066
2023-04,5876.3936635745695
2023-05,5730.062959369854
2023-06,6095.634239186403
2023-07,6398.992572440541
