Date,EAFE ex ISRAEL SMALL CAP
2010-05,1034.0203339783648
2010-06,1029.814269222275
2010-07,1118.955636168174
2010-08,1086.1623320264434
2010-09,1209.8055165046096
2010-10,1256.044315510045
2010-11,1211.3118756559188
2010-12,1352.16799435904
2011-01,1363.8090692319095
2011-02,1395.0264990004446
2011-03,1392.7522142727394
2011-04,1466.7061384406425
2011-05,1429.8818888083913
2011-06,1406.301550789276
2011-07,1391.4900150923263
2011-08,1278.5376469767368
2011-09,1145.8531123256776
2011-10,1227.8227707073152
2011-11,1161.7054394806296
2011-12,1139.5648330516053
2012-01,1233.9127121072695
2012-02,1309.232975866874
2012-03,1309.4368946396455
2012-04,1302.4599902177129
2012-05,1149.0943729533176
2012-06,1196.4771725357336
2012-07,1200.515258284674
2012-08,1232.4959930057141
2012-09,1289.3726096365267
2012-10,1299.328954711015
2012-11,1310.666782966372
2012-12,1364.9697135939875
2013-01,1437.0363053959609
2013-02,1452.6770377199675
2013-03,1479.950136090103
2013-04,1533.3357246991272
2013-05,1497.0399564940124
2013-06,1441.8927467013696
2013-07,1528.962013521584
2013-08,1528.6565542359708
2013-09,1665.9561499365302
2013-10,1717.0113712552716
2013-11,1724.107357960104
2013-12,1764.3090729711078
2014-01,1737.765272961211
2014-02,1833.7333101816935
2014-03,1823.8218002652793
2014-04,1809.2851739978857
2014-05,1834.898281759717
2014-06,1862.4506200527928
2014-07,1818.4528474649533
2014-08,1815.6713112023951
2014-09,1716.250441562917
2014-10,1683.227799600413
2014-11,1688.0034502732838
2014-12,1679.1794538155164
2015-01,1682.2348044020048
2015-02,1791.353298805642
2015-03,1772.083915291555
2015-04,1853.2664710924046
2015-05,1873.3961647525432
2015-06,1849.203606077804
2015-07,1864.0817413549432
2015-08,1782.666282380029
2015-09,1722.5417290036814
2015-10,1825.7352079026768
2015-11,1826.111054103129
2015-12,1840.0885908993992
2016-01,1694.8058857988774
2016-02,1692.6162443783317
2016-03,1828.6182806460151
2016-04,1870.3809536257925
2016-05,1880.3416874281888
2016-06,1780.5457648958422
2016-07,1889.1782393088347
2016-08,1877.0129625447535
2016-09,1933.7900576372285
2016-10,1878.7444471916144
2016-11,1824.0113608622007
2016-12,1876.9251015499744
2017-01,1942.4414383230562
2017-02,1984.7745489172762
2017-03,2024.1062870435312
2017-04,2111.05881
2017-05,2188.922992
2017-06,2188.901557
2017-07,2269.784756
2017-08,2288.414662
2017-09,2353.539297
2017-10,2392.799543
2017-11,2430.107688
2017-12,2496.210548
2018-01,2624.205427
2018-02,2530.762385
2018-03,2502.649021
2018-04,2537.8306310186067
2018-05,2511.69258363462
2018-06,2463.278175100568
2018-07,2478.8941250243124
2018-08,2453.718209426659
2018-09,2435.1489437335163
2018-10,2199.8270762165284
2018-11,2182.907728696957
2018-12,2041.8902922083766
2019-01,2206.039035706411
2019-02,2254.2008544287737
2019-03,2258.1796773758497
2019-04,2324.73578930878
2019-05,2199.8438732638965
2019-06,2293.2558497252817
2019-07,2275.1003872931415
2019-08,2218.3115176401666
2019-09,2279.6445648225467
2019-10,2384.9031303589027
2019-11,2436.2262571117963
2019-12,2544.1344364283236
2020-01,2469.001762051853
2020-02,2225.0032713353307
2020-03,1843.213622002297
2020-04,2033.7537961444443
2020-05,2181.9786752369623
2020-06,2215.394358000113
2020-07,2288.219390500641
2020-08,2458.4281565325873
2020-09,2442.491139
2020-10,2354.345520047929
2020-11,2677.0420562342615
2020-12,2859.8729727672426
2021-01,2848.8612686758465
2021-02,2925.266135815413
2021-03,2989.681084407333
2021-04,3107.786625217178
2021-05,3168.8658043671785
2021-06,3112.95612978992
2021-07,3167.733234881008
2021-08,3259.1944970295126
2021-09,3138.135917884092
2021-10,3182.519721145332
2021-11,2997.730575046243
2021-12,3127.594370619142
2022-01,2893.6771195492743
2022-02,2856.3345418541044
2022-03,2853.370789157366
2022-04,2655.8704760865085
2022-05,2643.701594373707
2022-06,2352.0468516671
2022-07,2505.5470014707744
2022-08,2385.523540728564
2022-09,2114.9474268703175
2022-10,2205.857243236667
2022-11,2431.4516954168835
2022-12,2464.5865743588965
2023-01,2650.9861635336315
2023-02,2600.3764959330297
2023-03,2595.1196085911897
2023-04,2649.4045248774883
2023-05,2535.752040323303
2023-06,2608.5151980891656
2023-07,2721.5979775896963
