Date,EUROPE & MIDDLE EAST SMALL CAP
2010-05,1035.2103283698316
2010-06,1026.6777877475286
2010-07,1148.761461995908
2010-08,1103.6817364264277
2010-09,1255.9662233531185
2010-10,1327.2665941661048
2010-11,1242.7918231528918
2010-12,1400.995994328429
2011-01,1424.2629069869415
2011-02,1452.6431171934044
2011-03,1476.6591858729944
2011-04,1589.0732978348806
2011-05,1541.082414312769
2011-06,1490.17037579565
2011-07,1431.4822668824522
2011-08,1281.284359712007
2011-09,1111.0558936097862
2011-10,1232.8081857695515
2011-11,1154.3909254598077
2011-12,1115.2432206602123
2012-01,1226.3158948480277
2012-02,1325.2840900743013
2012-03,1321.6853649059672
2012-04,1317.8987087453945
2012-05,1144.611983548131
2012-06,1198.06147258684
2012-07,1205.074511576109
2012-08,1261.8633701195938
2012-09,1331.0303652138366
2012-10,1357.4614521086264
2012-11,1371.788219749965
2012-12,1441.01572178718
2013-01,1525.7651286400558
2013-02,1527.0843910317838
2013-03,1519.7143197731339
2013-04,1570.4335099444845
2013-05,1600.1189059312915
2013-06,1534.783149385717
2013-07,1669.9003919173185
2013-08,1675.647199595828
2013-09,1812.0075271556004
2013-10,1902.1335026159231
2013-11,1940.4836920790356
2013-12,2007.8034570014254
2014-01,1979.636899241887
2014-02,2158.9527514800234
2014-03,2130.140245880923
2014-04,2115.4661616464964
2014-05,2131.464181876322
2014-06,2116.765587004134
2014-07,2017.7849674803713
2014-08,2015.1425422086868
2014-09,1902.994255470848
2014-10,1858.1867008202887
2014-11,1890.2399976004901
2014-12,1873.6273135323393
2015-01,1856.0074793822007
2015-02,2010.3100210295743
2015-03,1963.4582332421858
2015-04,2076.401012297087
2015-05,2103.4430438700297
2015-06,2074.5618855319117
2015-07,2128.2921754073172
2015-08,2044.4358234189976
2015-09,1973.0906970604215
2015-10,2076.494542174568
2015-11,2067.238108236988
2015-12,2077.532738213205
2016-01,1901.4223747532794
2016-02,1899.0965358140193
2016-03,2056.21204515712
2016-04,2083.4303537788874
2016-05,2108.7865152759255
2016-06,1919.5473819902272
2016-07,2040.413727336223
2016-08,2064.203689947588
2016-09,2102.222269697311
2016-10,1999.6709465782076
2016-11,1960.92983006441
2016-12,2042.880063221754
2017-01,2113.594958546242
2017-02,2148.42634902889
2017-03,2219.982550215585
2017-04,2367.675243
2017-05,2469.193378
2017-06,2442.641956
2017-07,2548.554245
2017-08,2554.675167
2017-09,2654.803942
2017-10,2672.181644
2017-11,2686.321855
2017-12,2767.867036
2018-01,2926.277224
2018-02,2784.214322
2018-03,2758.386336
2018-04,2818.71469704178
2018-05,2772.8112938708973
2018-06,2740.9493397208275
2018-07,2783.676436176755
2018-08,2763.52049516509
2018-09,2709.673663182636
2018-10,2444.544576012811
2018-11,2364.3269913729514
2018-12,2233.5971360840927
2019-01,2443.4054494660395
2019-02,2508.953197438623
2019-03,2506.897662066596
2019-04,2619.682405067295
2019-05,2456.476305772816
2019-06,2582.779985794069
2019-07,2526.2339717625464
2019-08,2457.7200902239115
2019-09,2521.2700621138597
2019-10,2640.9956500444614
2019-11,2731.6335836445865
2019-12,2894.397570614442
2020-01,2811.2165432813617
2020-02,2565.067803923157
2020-03,2016.9069927223616
2020-04,2243.8532244843677
2020-05,2390.3949914257732
2020-06,2437.5410190688303
2020-07,2595.385350467695
2020-08,2775.9157170276494
2020-09,2702.391626
2020-10,2574.5940559816518
2020-11,3040.752431452466
2020-12,3293.487925493232
2021-01,3284.2369321698757
2021-02,3404.5600554031953
2021-03,3465.918653328961
2021-04,3682.7629412450333
2021-05,3817.502449763588
2021-06,3692.951126289512
2021-07,3821.4737361244065
2021-08,3935.770627043026
2021-09,3706.4978624512655
2021-10,3838.2987338241314
2021-11,3628.1816018002346
2021-12,3825.6225034641398
2022-01,3528.2994070551217
2022-02,3402.123231713882
2022-03,3398.0780290002663
2022-04,3164.236477575485
2022-05,3143.508594632866
2022-06,2713.6188667290376
2022-07,2910.3240613520024
2022-08,2696.1630530726366
2022-09,2334.6040601270192
2022-10,2512.0621024328516
2022-11,2766.8187412048246
2022-12,2780.9583382765436
2023-01,3033.0150511629613
2023-02,3024.947165175077
2023-03,2973.493382608104
2023-04,3063.9286970049707
2023-05,2891.751689476461
2023-06,2984.6756313738283
2023-07,3122.744858401156
