Date,ACWI FM ex JAPAN SMALL CAP
2010-11,1000.0
2010-12,1087.7757818459215
2011-01,1091.2024753532726
2011-02,1123.0777423220652
2011-03,1148.494028998797
2011-04,1196.46431229135
2011-05,1169.6421201335938
2011-06,1138.297235409155
2011-07,1111.0239200947392
2011-08,1010.7071109364906
2011-09,879.4254569894412
2011-10,996.928343659551
2011-11,966.2549817088781
2011-12,955.0717319638246
2012-01,1033.5230267648342
2012-02,1089.8351230026758
2012-03,1092.6430189765438
2012-04,1084.3946263989972
2012-05,987.1210556660226
2012-06,1020.7708148862492
2012-07,1020.6592443730357
2012-08,1056.9255220124405
2012-09,1098.2011083664431
2012-10,1092.3604794249934
2012-11,1104.195759728422
2012-12,1141.3628157561322
2013-01,1205.8418797458996
2013-02,1213.0502105182768
2013-03,1244.3728081725787
2013-04,1253.9995543739537
2013-05,1277.1837821658373
2013-06,1236.8866790121072
2013-07,1313.753727271853
2013-08,1285.5564699206702
2013-09,1367.6529299114152
2013-10,1415.5458849355093
2013-11,1439.6214344392265
2013-12,1471.457448422824
2014-01,1441.1611052855624
2014-02,1525.6229904512902
2014-03,1521.7921843346444
2014-04,1500.6413054844265
2014-05,1517.406116028981
2014-06,1568.4401000710134
2014-07,1506.8095455078808
2014-08,1557.687920396275
2014-09,1469.8246827670955
2014-10,1494.9580031447133
2014-11,1500.137361794411
2014-12,1501.4762599134394
2015-01,1472.0745744067558
2015-02,1559.6011204492816
2015-03,1559.008714917104
2015-04,1586.1568074780262
2015-05,1607.475366435853
2015-06,1581.39910226027
2015-07,1560.44005338607
2015-08,1466.8225464628458
2015-09,1410.0999185245637
2015-10,1489.4652380502573
2015-11,1499.3391841011535
2015-12,1460.4752566038876
2016-01,1344.7531544463982
2016-02,1355.1341651622172
2016-03,1474.6196718748477
2016-04,1504.3089225172166
2016-05,1516.2465374340452
2016-06,1493.1927253735482
2016-07,1573.1339591236363
2016-08,1585.6728426667635
2016-09,1602.0223458960222
2016-10,1537.9787535065984
2016-11,1602.5107087617853
2016-12,1637.2164048949464
2017-01,1677.0566399301842
2017-02,1716.7177749981652
2017-03,1735.1182341853325
2017-04,1768.505392
2017-05,1773.688627
2017-06,1800.94707
2017-07,1843.801555
2017-08,1843.080006
2017-09,1911.628906
2017-10,1939.491875
2017-11,1977.649215
2017-12,2012.724088
2018-01,2087.98173
2018-02,1996.914899
2018-03,1996.709706
2018-04,2014.0821507940404
2018-05,2062.0328720636203
2018-06,2047.5217516748974
2018-07,2077.499533213435
2018-08,2120.3682249731055
2018-09,2078.61906003264
2018-10,1870.7108989035464
2018-11,1886.9260677587492
2018-12,1726.843451
2019-01,1904.603384992497
2019-02,1976.4388441926178
2019-03,1964.6849924841285
2019-04,2024.5030925293895
2019-05,1890.6456681791597
2019-06,2003.657811022673
2019-07,2008.7542595283287
2019-08,1930.989200582544
2019-09,1966.5715085181196
2019-10,2016.587406
2019-11,2079.105091004389
2019-12,2161.466358794123
2020-01,2100.2933613947444
2020-02,1919.6309089003073
2020-03,1483.0621898541815
2020-04,1698.0861736535066
2020-05,1807.3223497989886
2020-06,1875.5109163279228
2020-07,1975.3697603641199
2020-08,2079.161694893759
2020-09,2020.191841
2020-10,2024.866025394764
2020-11,2354.6199292979927
2020-12,2537.2869649402287
2021-01,2591.240414177909
2021-02,2735.7124656868787
2021-03,2787.013824540174
2021-04,2916.8806659027077
2021-05,2952.4864420469785
2021-06,2964.744705011619
2021-07,2941.5597641243685
2021-08,3007.4984600964285
2021-09,2906.251525683644
2021-10,3020.4930349828387
2021-11,2885.385240829722
2021-12,2999.1998079681616
2022-01,2778.9978400925343
2022-02,2771.538801080123
2022-03,2815.327472540012
2022-04,2605.6677536519805
2022-05,2591.9530896410456
2022-06,2318.5981843161335
2022-07,2518.6494809952187
2022-08,2452.483967864807
2022-09,2194.315609979595
2022-10,2363.9824437962584
2022-11,2512.1016361420293
2022-12,2418.2519145924093
2023-01,2644.8332731840032
2023-02,2590.708905435743
2023-03,2521.1175224079707
2023-04,2519.3526791226464
2023-05,2460.7748133025048
2023-06,2619.658723065311
2023-07,2757.199039106392
