Date,EM (EMERGING MARKETS) SMALL CAP
1994-05,429.35113278835695
1994-06,432.90896176308314
1994-07,448.47394225846534
1994-08,513.6460367894618
1994-09,543.2431941701568
1994-10,543.5619973497435
1994-11,520.2859277417978
1994-12,504.1568766937174
1995-01,449.59446399335366
1995-02,461.6334686733458
1995-03,470.167566394009
1995-04,466.90209954310296
1995-05,490.30222016039977
1995-06,493.9097749575212
1995-07,505.8341603428729
1995-08,490.37138727934206
1995-09,484.0579226136756
1995-10,464.24839039318874
1995-11,453.50159087144397
1995-12,467.240194008569
1996-01,500.9267133006334
1996-02,503.0687623466335
1996-03,501.6752135385309
1996-04,523.9733422016157
1996-05,501.5970382393004
1996-06,507.5264063501345
1996-07,476.58298902142934
1996-08,482.6859069628827
1996-09,492.10579252443944
1996-10,482.0280141177878
1996-11,482.953533995998
1996-12,477.0389945991111
1997-01,511.5691102103609
1997-02,544.5703566487349
1997-03,534.4716746855081
1997-04,510.5980212475019
1997-05,505.9926117117286
1997-06,513.4761202994772
1997-07,513.1566353497288
1997-08,451.1971293593487
1997-09,441.0754681022016
1997-10,374.2854976250026
1997-11,332.7955176861126
1997-12,311.922826254533
1998-01,291.63171253969597
1998-02,333.2118845963731
1998-03,347.7071330285975
1998-04,342.67112977142403
1998-05,311.7449840583743
1998-06,272.6535560296037
1998-07,271.0138896507663
1998-08,211.83691997505028
1998-09,213.25977329651062
1998-10,232.03485766489143
1998-11,257.4991578583464
1998-12,260.5934705388555
1999-01,250.66179623846892
1999-02,245.45239791278362
1999-03,275.306725714507
1999-04,310.89611701353635
1999-05,310.12613939965127
1999-06,334.1778694551081
1999-07,329.77116297218254
1999-08,325.05110975679895
1999-09,310.71917897925204
1999-10,313.3348652826066
1999-11,331.95873456209733
1999-12,366.567704749446
2000-01,391.5593909795233
2000-02,387.090140345086
2000-03,377.7568844727119
2000-04,348.55736270235565
2000-05,323.57409916540905
2000-06,319.2754350574769
2000-07,310.24146628080445
2000-08,309.3783007243017
2000-09,279.80976436352154
2000-10,253.8180860554713
2000-11,239.59591646810958
2000-12,236.33528059472647
2001-01,260.5264161422239
2001-02,251.81599415631462
2001-03,234.87737292823667
2001-04,237.7883098285354
2001-05,241.72219632266655
2001-06,237.3931344659695
2001-07,223.0653405304687
2001-08,225.304499963295
2001-09,195.92499373944295
2001-10,202.51620791580663
2001-11,223.0533779428643
2001-12,236.83994802073923
2002-01,249.7849164638636
2002-02,250.81052225465797
2002-03,270.63694627323076
2002-04,273.71096966726407
2002-05,267.9531936774205
2002-06,247.79999042930672
2002-07,241.02710041872538
2002-08,240.76482147300692
2002-09,213.1013529944536
2002-10,224.20796742929454
2002-11,238.82809336969038
2002-12,233.40696753074081
2003-01,240.812741784655
2003-02,233.97785121463025
2003-03,225.00474297671556
2003-04,241.02717254757806
2003-05,263.313854114611
2003-06,279.91129413426694
2003-07,296.3707773281348
2003-08,312.27703711063845
2003-09,315.26015011589715
2003-10,339.6064219665503
