Date,AC PACIFIC ex JAPAN SMALL CAP
1994-05,494.09783282950906
1994-06,478.7152249370842
1994-07,491.70250545203567
1994-08,525.2806062455511
1994-09,537.3357591358026
1994-10,532.0750239021617
1994-11,489.81211764302117
1994-12,481.6141551620497
1995-01,431.8727212226383
1995-02,452.22119571673295
1995-03,448.6723019831718
1995-04,443.2277881423509
1995-05,467.3331401205204
1995-06,471.14103965342974
1995-07,496.96285844565125
1995-08,492.78107805966914
1995-09,492.54851600278045
1995-10,474.4222801387801
1995-11,467.41086949106625
1995-12,483.6634963915754
1996-01,519.042928431006
1996-02,527.2851841277829
1996-03,536.1895804986658
1996-04,570.1202392280851
1996-05,559.5314398658953
1996-06,557.2243144919478
1996-07,531.1292870793026
1996-08,557.7244372763867
1996-09,571.9639392718177
1996-10,577.1605138881271
1996-11,598.4942733507386
1996-12,589.3883012958058
1997-01,602.9717072241314
1997-02,638.8811788693833
1997-03,622.6544320942751
1997-04,598.5574239687212
1997-05,602.1536892313294
1997-06,605.6112628142691
1997-07,594.1585829444939
1997-08,527.7265800937797
1997-09,509.3541074982848
1997-10,390.2771180239663
1997-11,351.6110422370693
1997-12,317.7455410611322
1998-01,292.34595840866757
1998-02,353.77251271225987
1998-03,349.7018012348246
1998-04,320.14597204385706
1998-05,281.6715394769423
1998-06,247.78074247629962
1998-07,244.50079816013522
1998-08,206.15533101987745
1998-09,220.98766707065042
1998-10,261.96769339066367
1998-11,295.80095243930936
1998-12,297.442734139609
1999-01,298.4003433776208
1999-02,289.61750335331584
1999-03,310.02425870625115
1999-04,375.4777556549414
1999-05,374.43397197064746
1999-06,414.95682998018924
1999-07,401.7825059664512
1999-08,387.59990605426236
1999-09,367.3117865045107
1999-10,368.82114970362096
1999-11,382.58869967836097
1999-12,396.4208223416248
2000-01,385.50459172030276
2000-02,374.7725601532833
2000-03,377.8650447240189
2000-04,340.91015236886295
2000-05,310.37736004863643
2000-06,318.7379726962457
2000-07,310.66839782148594
2000-08,309.5468755824443
2000-09,274.8753224818976
2000-10,253.5376976718564
2000-11,247.75013353823644
2000-12,244.4050062000487
2001-01,267.8911848526654
2001-02,266.9100998077978
2001-03,245.60450239732972
2001-04,252.08559142106077
2001-05,258.3319842280233
2001-06,258.8205582844603
2001-07,246.78986998169412
2001-08,251.6097276846363
2001-09,220.99151355243967
2001-10,231.9873372699548
2001-11,251.44307015999152
2001-12,264.18678846293415
2002-01,281.63088996981423
2002-02,285.13771500741905
2002-03,308.7996646793689
2002-04,309.79565954897447
2002-05,311.66431803185577
2002-06,296.1183613683852
2002-07,283.60853697020843
2002-08,286.4636414835486
2002-09,257.6641306118032
2002-10,265.72405803022457
2002-11,273.32865160705296
2002-12,268.12233991989615
2003-01,282.67151608855943
2003-02,274.4496482261983
2003-03,265.8865221590826
2003-04,277.54934450063314
2003-05,304.63805562390985
2003-06,322.3572652975892
2003-07,337.1854885990371
2003-08,351.7741679524006
2003-09,363.06532451444156
2003-10,389.4926375939695
2003-11,389.91753796793324
2003-12,411.52394672899106
2004-01,429.7957666206557
2004-02,448.93681493754644
2004-03,443.3544894874625
2004-04,418.09356511810523
2004-05,406.68793287424114
2004-06,400.0868816238298
2004-07,397.71233165226636
2004-08,411.9007596249478
2004-09,433.4866805929569
2004-10,451.02741135015145
2004-11,486.9521385191149
2004-12,505.9634760222626
2005-01,510.5309623984153
2005-02,537.7109808911466
2005-03,517.9201884246929
2005-04,502.4819021053737
2005-05,506.9706703559951
