Date,WORLD ex USA SMALL CAP
2000-12,100.0
2001-01,102.94723290995753
2001-02,100.67625062381478
2001-03,93.57473335424999
2001-04,101.67506498066925
2001-05,101.80358397135684
2001-06,98.89780746678727
2001-07,94.93350947357703
2001-08,95.80243723030956
2001-09,83.41216819895504
2001-10,87.5394597652371
2001-11,91.00235044371846
2001-12,89.37446903183427
2002-01,87.69093980206627
2002-02,89.09018302202095
2002-03,94.93138895448132
2002-04,98.06166842266659
2002-05,102.64150611253406
2002-06,98.4317471848732
2002-07,90.43547068216186
2002-08,89.38371836024338
2002-09,82.50027790137206
2002-10,81.82348620135457
2002-11,84.11655691732733
2002-12,82.7453326840371
2003-01,81.85530201536403
2003-02,81.25493261326555
2003-03,80.46870368212348
2003-04,87.84528130678451
2003-05,95.61056739957219
2003-06,100.59712866640842
2003-07,103.63264495979053
2003-08,110.454011391308
2003-09,116.76755771379794
2003-10,126.07792583017199
2003-11,126.18937204061915
2003-12,133.8908039144049
2004-01,139.6498011019139
2004-02,143.87764783027794
2004-03,149.42327834144947
2004-04,144.08711066318406
2004-05,142.5333252389028
2004-06,149.73137321232232
2004-07,143.12846362804115
2004-08,143.8700632034581
2004-09,147.80560492008078
2004-10,153.275331
2004-11,165.53181433614503
2004-12,173.24900831236678
2005-01,175.9175877259689
2005-02,183.3925292951428
2005-03,180.4071588592966
2005-04,175.32598015725074
2005-05,175.73922779449867
2005-06,180.39983451620122
2005-07,188.23829752819302
2005-08,194.01542265401358
2005-09,201.87966864941782
2005-10,194.525407804466
2005-11,201.01002044530392
2005-12,216.6345758615689
2006-01,232.07933970272362
2006-02,229.16629755291493
2006-03,239.9398193735463
2006-04,251.10766516017563
2006-05,237.23085338764847
2006-06,231.45429220787693
2006-07,225.80145004495
2006-08,232.40303741759888
2006-09,231.77845835453593
2006-10,240.97964974824592
2006-11,251.34523872455495
2006-12,258.78604028281893
2007-01,264.0653494158129
2007-02,268.6986326110524
2007-03,277.6049706352552
2007-04,288.30930576617936
2007-05,292.5700160015077
2007-06,291.9325266452761
2007-07,290.1355997024434
2007-08,274.8344327266467
2007-09,281.0413212203965
2007-10,300.0167945070533
2007-11,275.3670455032552
2007-12,267.29842663649373
2008-01,241.3875133822883
2008-02,252.84881237830558
2008-03,250.05906183692068
