Date,EM EUROPE & MIDDLE EAST SMALL CAP
2007-05,1000.0
2007-06,1020.0024711122624
2007-07,1010.0173261027367
2007-08,961.7181199480391
2007-09,1028.1638839781633
2007-10,1078.4788461867945
2007-11,1015.6168775975822
2007-12,1036.2644940376938
2008-01,913.8492205039619
2008-02,928.1401485182191
2008-03,884.8855691324165
2008-04,899.7712958557131
2008-05,916.9477563526839
2008-06,831.8577552228013
2008-07,815.4216610386845
2008-08,758.9949154511457
2008-09,622.5560430651707
2008-10,401.0332714453507
2008-11,356.2421901532659
2008-12,342.94289005826016
2009-01,320.89540315108815
2009-02,296.6991943251971
2009-03,337.14918208727795
2009-04,423.9272102523118
2009-05,497.49779061138173
2009-06,535.1123368969207
2009-07,618.1203158467628
2009-08,689.2329827178285
2009-09,712.9006928408315
2009-10,724.0635741323446
2009-11,722.5113955478351
2009-12,772.5195866819416
2010-01,821.3525012615738
2010-02,791.4760009031063
2010-03,893.2103696812443
2010-04,911.7441106424476
2010-05,771.016336572704
2010-06,747.0224319371594
2010-07,842.620326542659
2010-08,849.8723967842833
2010-09,956.0101861736439
2010-10,1004.5325500803158
2010-11,945.8832305375389
2010-12,1022.060604720989
2011-01,1026.3232591628448
2011-02,1022.9943752922433
2011-03,1088.845623201402
2011-04,1172.825420737132
2011-05,1055.4798188597329
2011-06,1027.2704099051919
2011-07,970.6580024042205
2011-08,803.7910015407609
2011-09,693.2673876268228
2011-10,758.6818220612396
2011-11,679.3812190836429
2011-12,620.7633433126553
2012-01,721.0827842676385
2012-02,781.9710075954378
2012-03,782.3546267731051
2012-04,778.9243810871211
2012-05,647.6477784026894
2012-06,707.9885769466757
2012-07,719.8684754691792
2012-08,723.2685595293638
2012-09,756.4090517011304
2012-10,765.1512099035189
2012-11,786.2858579179159
2012-12,842.4660270848339
2013-01,878.4798639859386
2013-02,853.5038653237151
2013-03,849.9752586290308
2013-04,860.0579943591376
2013-05,853.3010744968908
2013-06,769.7322666389559
2013-07,787.0913796284989
2013-08,723.6019738362029
2013-09,796.6215440171939
2013-10,848.792135104568
2013-11,858.2437648390304
2013-12,803.330351020195
2014-01,745.1390190703692
2014-02,794.2306678121175
2014-03,788.166668487986
2014-04,808.2059306703778
2014-05,819.7083300442829
2014-06,790.7759720997018
2014-07,788.472181103457
2014-08,784.6140459898604
2014-09,741.3225198375401
2014-10,717.7980857123913
2014-11,717.8806301678103
2014-12,640.748015499646
2015-01,640.8131616730227
2015-02,673.6760723720527
2015-03,626.8476430263152
2015-04,687.1972151176415
2015-05,664.2728881378031
2015-06,650.5150278435457
2015-07,648.2873168405313
2015-08,591.0501404429627
2015-09,590.7172593445905
2015-10,608.2519210941459
2015-11,567.2241403309717
2015-12,561.3716617518403
2016-01,517.8689977415337
2016-02,549.7226070508618
2016-03,617.1634486897767
2016-04,632.3046075030625
2016-05,604.8281710727297
2016-06,602.9606727588445
2016-07,621.2823647988666
2016-08,646.5443536458828
2016-09,659.550286625827
2016-10,663.012238225316
2016-11,644.3347119812978
2016-12,678.7079976090904
2017-01,715.7760855847747
2017-02,718.5749486973483
2017-03,725.1229883046487
2017-04,750.051455
2017-05,765.683578
2017-06,786.538965
2017-07,831.742323
2017-08,840.02298
2017-09,820.482888
2017-10,808.439353
2017-11,773.499976
2017-12,823.189451
2018-01,876.235345
2018-02,841.348841
2018-03,825.3590842269258
2018-04,791.6894572116173
2018-05,739.6095209829703
2018-06,709.0770357161425
2018-07,711.6195699118354
2018-08,654.4976979214211
2018-09,658.1175420952186
2018-10,627.2069937352613
2018-11,646.743671091542
2018-12,624.341605
2019-01,674.1438352263916
2019-02,685.5516596299003
2019-03,663.2426398954129
2019-04,677.8802454783932
2019-05,673.5791367715923
2019-06,717.7692521753718
2019-07,737.0741237398869
2019-08,700.3706390697464
2019-09,714.9712855912677
2019-10,708.2724689393325
2019-11,722.2802379843708
2019-12,763.31689884179
2020-01,778.5981410378278
2020-02,686.4514497975249
2020-03,558.4700972348645
2020-04,632.3616077497101
2020-05,640.9563094310926
2020-06,690.7929770822244
2020-07,724.1758216972585
2020-08,747.5365095570799
2020-09,752.7748973286355
2020-10,696.0772790064168
2020-11,823.8363736693576
2020-12,895.9347255379793
2021-01,923.7396943395804
2021-02,948.6940361721543
2021-03,953.362758769526
2021-04,1015.1624566925991
2021-05,1045.6373888418893
2021-06,1033.594391827267
2021-07,1043.739598444237
2021-08,1076.6771380344355
2021-09,1039.6596279865298
2021-10,1065.677119247131
2021-11,979.5285843547047
2021-12,1003.559122447183
2022-01,1028.20853676633
2022-02,951.0965713197254
2022-03,946.9361987089524
2022-04,960.8889238035913
2022-05,926.6687460608346
2022-06,858.6595749410842
2022-07,881.7768922413619
2022-08,913.6788755696965
2022-09,855.3654398235722
2022-10,901.0857219976544
2022-11,950.5750472923621
2022-12,965.5215874312764
2023-01,978.9189244196541
2023-02,989.2020482923863
2023-03,978.1681269398223
2023-04,1019.7510978482755
2023-05,1043.4912824332616
2023-06,1079.5687434009892
2023-07,1166.8531631908568
