Date,EUROPE ex UK SMALL CAP
2000-12,100.0
2001-01,105.49092634951108
2001-02,101.22262447335787
2001-03,91.73271368798088
2001-04,95.9767068143567
2001-05,94.43792923211682
2001-06,89.69315095061198
2001-07,88.94381398627579
2001-08,88.15615418911503
2001-09,74.90784487515137
2001-10,79.7598298510282
2001-11,85.79061965432679
2001-12,86.5746584807843
2002-01,86.63717842840347
2002-02,87.05418069256974
2002-03,92.6296685632593
2002-04,95.16362401075779
2002-05,96.81352531914719
2002-06,94.60421930946553
2002-07,84.56397669467027
2002-08,82.36844379857776
2002-09,71.95264429636212
2002-10,76.27876699873464
2002-11,80.4604253916547
2002-12,78.57137407448066
2003-01,77.52838893790475
2003-02,74.1191330327849
2003-03,73.94639672566846
2003-04,84.8146633497803
2003-05,93.1526290814983
2003-06,94.53806522323843
2003-07,97.90444221007824
2003-08,100.72615033341548
2003-09,106.43685285960863
2003-10,115.32801336824191
2003-11,121.46492551285844
2003-12,127.81899579941536
2004-01,134.24800586568875
2004-02,138.7769597654315
2004-03,133.98841296337645
2004-04,131.87786206093335
2004-05,132.29759033307235
2004-06,137.0165457475025
2004-07,131.51110151383907
2004-08,131.92850601828405
2004-09,139.28329355292672
2004-10,145.18688122359416
2004-11,161.30089900967312
2004-12,169.3651051573844
2005-01,171.2643184761607
2005-02,183.26322203692405
2005-03,178.5825946128787
2005-04,173.32878394807454
2005-05,175.79766144310622
2005-06,181.42445890584443
2005-07,193.8713830015515
2005-08,199.3764584463339
2005-09,206.18358908097215
2005-10,191.95407200082315
2005-11,194.40227525414323
2005-12,205.66826636040756
2006-01,228.6166236488937
2006-02,235.07198342955283
2006-03,250.2588296787099
2006-04,267.992049396215
2006-05,254.21727647725007
2006-06,248.4240678495295
2006-07,245.70642061204344
2006-08,251.48746407154601
2006-09,254.12550505575567
2006-10,267.70872886918005
2006-11,286.4422883735433
2006-12,299.95386580940317
2007-01,309.56019021808453
2007-02,310.88488899385817
2007-03,327.4160065889248
2007-04,347.23110160344766
2007-05,353.2849492730387
2007-06,349.90851686653104
2007-07,347.3472106633806
2007-08,331.6266703991423
2007-09,338.2253008551981
2007-10,358.46486734714534
2007-11,332.8188005193078
2007-12,326.0771968599076
2008-01,286.8093891220219
2008-02,304.1595306435824
2008-03,310.3516188181667
2008-04,315.65301095480436
2008-05,320.56125347008486
2008-06,290.93633218080834
2008-07,274.4182939709224
2008-08,266.924459901901
2008-09,211.65933579096583
2008-10,152.10580077959
2008-11,139.49652583342595
2008-12,152.38704306180156
2009-01,138.7024099915668
2009-02,126.49029708000046
2009-03,136.2707817151821
2009-04,164.6361280479809
2009-05,189.2132423389133
2009-06,186.78785066341536
2009-07,203.55734718422212
2009-08,224.4479254405861
2009-09,245.95923346921248
2009-10,239.24655428781008
2009-11,244.16524342524735
2009-12,245.26603291990432
2010-01,241.99537584871635
2010-02,235.10705122435274
2010-03,254.17598758024286
2010-04,252.57133971304435
2010-05,213.49827925078057
2010-06,210.30662107377267
2010-07,235.50421286988887
2010-08,224.31222389759714
2010-09,258.9251369426478
2010-10,275.53591855558625
2010-11,254.66160262507427
2010-12,290.31525515372397
2011-01,296.87983838214075
2011-02,301.91383753186943
2011-03,312.10203941044415
2011-04,333.9031997481543
2011-05,321.16705452441005
2011-06,310.7969212077381
2011-07,291.933590437415
2011-08,261.4344204179391
2011-09,222.15927332696606
2011-10,246.50564386904733
2011-11,227.2421445615562
2011-12,219.51751048077827
2012-01,241.28906368576594
2012-02,259.80719859993394
2012-03,257.70242346232175
2012-04,253.4063619239984
2012-05,218.6570001776507
2012-06,229.4306364994494
2012-07,228.61571814316747
2012-08,238.58468670791171
2012-09,251.4274467348594
2012-10,255.75732500468604
2012-11,259.6689462764228
2012-12,273.68107454624925
2013-01,295.964885270406
2013-02,295.0605841360243
2013-03,287.47414494572797
2013-04,298.6375560000782
2013-05,305.42058649952145
2013-06,291.8270231878807
2013-07,318.367381527754
2013-08,317.7739868034544
2013-09,344.95032174651527
2013-10,365.7116370141683
2013-11,372.2192675145397
2013-12,381.87773919276464
2014-01,378.71799049332185
2014-02,411.8186055530709
2014-03,412.1641567572465
2014-04,413.8904424280687
2014-05,418.54278537758637
2014-06,414.4557718321578
2014-07,390.0209921908717
2014-08,386.87364143318274
2014-09,365.55468186939237
2014-10,353.6104423137717
2014-11,363.9750856935376
2014-12,355.28455199476525
2015-01,356.1040492301265
2015-02,382.3843744216041
2015-03,378.5235610690854
2015-04,398.7730754238103
2015-05,396.1279065162719
2015-06,386.75297801029075
2015-07,401.104634942844
2015-08,385.6035807536012
2015-09,372.5624103286503
2015-10,393.8672790614745
2015-11,392.8251674411233
2015-12,398.66075393969373
2016-01,367.14411023813483
2016-02,368.41641357326336
2016-03,401.4608272145978
2016-04,406.4794130200151
2016-05,408.21552578022613
2016-06,381.69919134497394
2016-07,406.46383569428934
2016-08,409.931912276462
2016-09,419.76281095781127
2016-10,404.1577916977187
2016-11,387.72622476194624
2016-12,408.2327357639829
2017-01,424.17697378616424
2017-02,429.0186037590083
2017-03,446.8251310539543
2017-04,474.315572
2017-05,499.868995
2017-06,497.407871
2017-07,519.949466
2017-08,524.406435
2017-09,542.336431
2017-10,542.503952
2017-11,545.236732
2017-12,559.18471
2018-01,597.419343
2018-02,571.080451
2018-03,560.577536
2018-04,570.037440957496
2018-05,555.9065220046208
2018-06,549.0094265519115
2018-07,562.7940431268746
2018-08,557.7233730183386
2018-09,546.3921566434175
2018-10,491.01096965098776
2018-11,474.85383780432016
2018-12,448.3025591793825
2019-01,486.6227210775627
2019-02,496.0415540829631
2019-03,497.17552491468865
2019-04,518.0986738768544
2019-05,486.27135388850854
2019-06,518.6245415829201
2019-07,507.92076445985316
2019-08,493.52315655728256
2019-09,500.56212124708736
2019-10,521.6969148965635
2019-11,537.7080110531846
2019-12,565.5481485310471
2020-01,551.2646976169107
2020-02,508.9397350074939
2020-03,409.84704530808136
2020-04,453.6150276670439
2020-05,493.186824542979
2020-06,510.1888504544514
2020-07,547.5887014166789
2020-08,583.4047958920806
2020-09,576.185615
2020-10,538.0525059731037
2020-11,638.9898097420096
2020-12,688.8565718728707
2021-01,688.2231091577795
2021-02,707.5087163375185
2021-03,720.1427957655211
2021-04,764.9609600227067
2021-05,795.0065098000238
2021-06,771.612689985874
2021-07,802.2581149584684
2021-08,821.483159282281
2021-09,772.6404359115054
2021-10,805.9759487346502
2021-11,761.1717891885577
2021-12,797.4325635451664
2022-01,734.2170148425159
2022-02,707.1616770176087
2022-03,713.6667818669858
2022-04,662.1820170137402
2022-05,663.7974777861126
2022-06,566.4624952034912
2022-07,603.1953612488068
2022-08,559.5262047719615
2022-09,488.16772985776134
2022-10,527.8461485756324
2022-11,583.6120983723156
2022-12,594.2001157174454
2023-01,651.1671682081554
2023-02,656.226295156424
2023-03,648.5588485734463
2023-04,663.6482764515166
2023-05,622.2597631318076
2023-06,647.2314667894705
2023-07,671.7256623225262
