Date,EFM (EMERGING + FRONTIER MKTS) SMALL CAP
2010-11,1000.0
2010-12,1055.7837656128233
2011-01,1022.7896318119969
2011-02,978.43384425777
2011-03,1021.3282408645384
2011-04,1066.0115439333576
2011-05,1032.3281980972572
2011-06,1010.7555614542488
2011-07,1028.235668496634
2011-08,916.5742236677296
2011-09,775.3787953780705
2011-10,845.7426519228158
2011-11,778.2105170468133
2011-12,767.3248555050568
2012-01,843.4117449438278
2012-02,918.1140280854858
2012-03,890.3755909623627
2012-04,875.8526891727358
2012-05,798.7469924172425
2012-06,819.642650512615
2012-07,817.4685401598947
2012-08,835.97573744907
2012-09,887.2776418781417
2012-10,874.7541217375547
2012-11,888.5073263239775
2012-12,930.7757031871372
2013-01,958.5317920225727
2013-02,968.0763387155364
2013-03,971.1739888186436
2013-04,990.1496063299583
2013-05,989.7926004205804
2013-06,907.189742501612
2013-07,913.3185691708446
2013-08,882.8301079991907
2013-09,937.5259722095454
2013-10,971.6399453063163
2013-11,958.3190451400204
2013-12,955.6991517007808
2014-01,934.2444261726748
2014-02,971.6169577927207
2014-03,990.8290471767215
2014-04,997.5271107334173
2014-05,1025.9862415071402
2014-06,1044.422952504558
2014-07,1052.1122891889872
2014-08,1076.305739773758
2014-09,1033.2944497323797
2014-10,1014.3230273380873
2014-11,997.6491186788755
2014-12,968.4607449653593
2015-01,980.8336298404816
2015-02,1002.1532946307132
2015-03,999.6070350253277
2015-04,1086.4671719510102
2015-05,1091.2461180176897
2015-06,1043.3121985318326
2015-07,966.2219532379003
2015-08,875.4904572297697
2015-09,874.6666532941259
2015-10,924.5242203009054
2015-11,900.6261412558753
2015-12,901.2582110171348
2016-01,832.188757555204
2016-02,829.467030960695
2016-03,909.2561296544638
2016-04,923.0666197554506
2016-05,893.1598032888792
2016-06,914.7974373662067
2016-07,952.714582233753
2016-08,969.1815632622942
2016-09,982.9477701836199
2016-10,969.0669949508987
2016-11,926.8251066297025
2016-12,927.0894822388051
2017-01,972.309429400344
2017-02,1020.9897796363938
2017-03,1047.3688794797797
2017-04,1058.335448
2017-05,1066.169809
2017-06,1075.123286
2017-07,1112.9394
2017-08,1133.8912
2017-09,1134.440604
2017-10,1172.517174
2017-11,1193.261292
2017-12,1236.332824
2018-01,1306.783944
2018-02,1253.64549
2018-03,1237.855697
2018-04,1235.663196907882
2018-05,1207.8299094898593
2018-06,1131.5379378025948
2018-07,1144.4340430534398
2018-08,1121.2303024898117
2018-09,1083.9502208138022
2018-10,972.617856180596
2018-11,1023.1959023200687
2018-12,1007.399528
2019-01,1060.386432755766
2019-02,1073.0351225183963
2019-03,1081.449078620603
2019-04,1083.1223281496634
2019-05,1032.051791489448
2019-06,1071.5904787302795
2019-07,1056.214189115977
2019-08,1004.4705665685933
2019-09,1023.0560138943815
2019-10,1060.675133
2019-11,1055.27254557512
2019-12,1117.4696107746934
2020-01,1074.7370710889675
2020-02,999.9333611204052
2020-03,770.0123917513978
2020-04,875.0198843437684
2020-05,896.0294068165852
2020-06,974.037799920356
2020-07,1060.8160763345322
2020-08,1104.9713090105604
2020-09,1088.0931179732988
2020-10,1082.2776050844336
2020-11,1231.5475578024116
2020-12,1326.7009201058077
2021-01,1328.7052393019385
2021-02,1406.0952111244578
2021-03,1427.5764007396847
2021-04,1512.96839930458
2021-05,1552.480493708336
2021-06,1589.1111841587303
2021-07,1568.802825825793
2021-08,1589.0139383178741
2021-09,1559.1379784844746
2021-10,1564.3761776937674
2021-11,1520.9859498849542
2021-12,1584.0253419513374
2022-01,1515.2295134484175
2022-02,1479.5108368347467
2022-03,1517.8289357038248
2022-04,1441.9313825273687
2022-05,1416.059455646765
2022-06,1268.836742771127
2022-07,1302.4952444883422
2022-08,1334.8759481189948
2022-09,1201.6392735815662
2022-10,1198.737864160977
2022-11,1308.42991229943
2022-12,1295.6624877891775
2023-01,1371.2780349107284
2023-02,1332.412119372913
2023-03,1345.2817370292764
2023-04,1355.3240380639663
2023-05,1370.1422014770747
2023-06,1431.0542606060192
2023-07,1524.857085939555
