Date,WORLD ex ISRAEL SMALL CAP
2010-05,1031.7955795119046
2010-06,983.6269757273838
2010-07,1060.0700695236692
2010-08,1011.0731344705788
2010-09,1127.396777400856
2010-10,1171.8054898746632
2010-11,1178.036004133974
2010-12,1288.4792415336422
2011-01,1300.4504907318374
2011-02,1353.2888799886723
2011-03,1369.048277551691
2011-04,1421.0460572872096
2011-05,1392.1219121014874
2011-06,1361.9386882432211
2011-07,1330.1490099808404
2011-08,1220.9013521118345
2011-09,1083.7219330868902
2011-10,1211.8545434180498
2011-11,1182.9706575195592
2011-12,1173.222612739119
2012-01,1261.81433518241
2012-02,1319.5583599052056
2012-03,1331.838566131557
2012-04,1322.0716636271263
2012-05,1204.187437517439
2012-06,1248.0116719692269
2012-07,1246.0128736485224
2012-08,1286.899676457546
2012-09,1331.5341851403252
2012-10,1323.3525604750103
2012-11,1335.9520539642122
2012-12,1378.048171887296
2013-01,1458.6761171235053
2013-02,1470.4404650453655
2013-03,1521.000607123573
2013-04,1539.5145231837437
2013-05,1555.263077340847
2013-06,1521.680833423622
2013-07,1619.4384409737731
2013-08,1588.3507629745093
2013-09,1698.0542201878345
2013-10,1750.484753404613
2013-11,1782.1723522322966
2013-12,1824.1852686119214
2014-01,1790.407977586002
2014-02,1884.5199403331544
2014-03,1875.901289806108
2014-04,1844.574351428663
2014-05,1865.2548971451242
2014-06,1938.5755636666127
2014-07,1860.2202211080548
2014-08,1917.8658774256794
2014-09,1809.9657201937164
2014-10,1841.309528244649
2014-11,1849.5758103856194
2014-12,1860.093180601019
2015-01,1826.4714541367468
2015-02,1939.0226675681863
2015-03,1942.5758652042798
2015-04,1960.3401964341767
2015-05,1988.9189255757256
2015-06,1970.6269164117678
2015-07,1961.6119263983512
2015-08,1857.7304447909257
2015-09,1778.391407083181
2015-10,1880.4836055421542
2015-11,1901.56041516889
2015-12,1853.605876080673
2016-01,1709.3401053818218
2016-02,1721.1143108097895
2016-03,1865.9879182558411
2016-04,1909.759121871854
2016-05,1932.7863644601528
2016-06,1896.2170519474487
2016-07,2000.4770387111753
2016-08,2003.034735771729
2016-09,2033.1920028960794
2016-10,1958.104028370956
2016-11,2040.0800755593218
2016-12,2088.931211906097
2017-01,2136.5211439786867
2017-02,2181.444865839845
2017-03,2197.2078598921394
2017-04,2241.236268
2017-05,2255.058777
2017-06,2290.54733
2017-07,2342.936848
2017-08,2341.415706
2017-09,2433.867728
2017-10,2468.929967
2017-11,2522.736928
2017-12,2561.034075
2018-01,2651.566381
2018-02,2545.259036
2018-03,2546.934875
2018-04,2570.736690646489
2018-05,2639.119640142155
2018-06,2630.861532602696
2018-07,2662.7629157296365
2018-08,2719.5881974649237
2018-09,2680.160380907055
2018-10,2414.1089921429575
2018-11,2429.186344478246
2018-12,2203.689287079236
2019-01,2430.8440249677174
2019-02,2521.7560142330854
2019-03,2505.921893940444
2019-04,2583.487197792844
2019-05,2413.3269121317685
2019-06,2553.92037096561
2019-07,2567.987919232584
2019-08,2479.9670468509803
2019-09,2530.4173922765763
2019-10,2600.688428992542
2019-11,2684.515239619441
2019-12,2777.9076332185455
2020-01,2700.2011725007305
2020-02,2451.2461737750796
2020-03,1942.0279107288093
2020-04,2202.9680092779035
2020-05,2360.035124961385
2020-06,2422.5430025237197
2020-07,2516.7148886008786
2020-08,2659.684292023198
2020-09,2602.717493
2020-10,2601.6372466526577
2020-11,3001.7271629848133
2020-12,3222.983019845045
2021-01,3290.1531984096882
2021-02,3455.511181774872
2021-03,3528.6619708252597
2021-04,3664.685474620849
2021-05,3694.804409809222
2021-06,3701.706166276745
2021-07,3676.43859817109
2021-08,3765.6890212780095
2021-09,3646.789669206372
2021-10,3777.180131851416
2021-11,3591.229568000328
2021-12,3723.4460096224307
2022-01,3439.8375530290036
2022-02,3447.557832518734
2022-03,3479.074423860366
2022-04,3206.418188310788
2022-05,3202.917908699199
2022-06,2882.979490658748
2022-07,3145.569061308757
2022-08,3039.6082189960434
2022-09,2729.796756791444
2022-10,2951.131315064742
2022-11,3134.6931968483073
2022-12,3028.7673432468823
2023-01,3311.1109958342117
2023-02,3246.723936061503
2023-03,3162.607654431929
2023-04,3159.6245979719893
2023-05,3070.774765610396
2023-06,3264.4512938176017
2023-07,3423.67150112963
