Date,ACWI ex AUSTRALIA SMALL CAP
2007-05,1000.0
2007-06,992.3657573690522
2007-07,969.9094411138699
2007-08,953.7194813885324
2007-09,980.5608182918567
2007-10,1022.5360875630656
2007-11,950.1737436999657
2007-12,936.7470306714786
2008-01,859.4572607842056
2008-02,867.4369208995031
2008-03,855.2240849772852
2008-04,890.7396265388955
2008-05,917.9134193517573
2008-06,840.8900045079586
2008-07,826.0585095717016
2008-08,820.6870715350701
2008-09,707.2370646692519
2008-10,544.661996709553
2008-11,500.124320769824
2008-12,533.0757542763004
2009-01,494.0017952044069
2009-02,445.36647553134634
2009-03,483.5172834773118
2009-04,566.3559395661557
2009-05,624.100855322591
2009-06,629.2932608031149
2009-07,686.805555115178
2009-08,723.5787623984805
2009-09,767.2988560458006
2009-10,740.0368482854647
2009-11,759.4927103504082
2009-12,796.5562513987796
2010-01,777.6016627775541
2010-02,793.8393892677279
2010-03,855.9188812053537
2010-04,888.014202603595
2010-05,804.0552652181907
2010-06,772.2439919327644
2010-07,830.6233180637846
2010-08,796.4253439564887
2010-09,887.1662257503098
2010-10,922.3566724320615
2010-11,924.4833127376315
2010-12,1005.72650122125
2011-01,1011.5287160714626
2011-02,1042.6988457628956
2011-03,1058.2433365101663
2011-04,1099.3394409201712
2011-05,1075.7893479744878
2011-06,1053.0153928744678
2011-07,1032.3973993446584
2011-08,942.6152789049079
2011-09,833.7411880794886
2011-10,928.3587461776311
2011-11,901.3052798556523
2011-12,894.252351591427
2012-01,963.8395059479836
2012-02,1011.462933219365
2012-03,1017.7857654823936
2012-04,1008.8241195827543
2012-05,920.9643814197461
2012-06,954.2716821798837
2012-07,951.9396751392306
2012-08,982.9076679266767
2012-09,1020.034338162805
2012-10,1012.0939001808345
2012-11,1023.4066607154077
2012-12,1057.747856423209
2013-01,1115.6806097718236
2013-02,1125.128844163532
2013-03,1161.10825592827
2013-04,1177.8646552711796
2013-05,1192.197401805313
2013-06,1159.8993548793953
2013-07,1227.2164891373643
2013-08,1200.5850146831217
2013-09,1282.8555044122238
2013-10,1322.875221296402
2013-11,1345.1539260053519
2013-12,1373.5516771450843
2014-01,1347.9794741575502
2014-02,1416.6723271565947
2014-03,1412.6710050965546
2014-04,1391.3784449157245
2014-05,1409.7779532389968
2014-06,1463.107589964564
2014-07,1408.7550800479155
2014-08,1451.5816445526925
2014-09,1374.4394141653302
2014-10,1392.7945876685264
2014-11,1398.1168075890234
2014-12,1401.6280433752001
2015-01,1381.6693972967557
2015-02,1460.4421539329524
2015-03,1463.7568557829666
2015-04,1489.0192621262902
2015-05,1509.3888254017475
2015-06,1491.533166149279
2015-07,1473.2961409664113
2015-08,1389.0341732174866
2015-09,1335.407608693113
2015-10,1411.4967750404717
2015-11,1422.1145034710526
2015-12,1388.7091910818144
2016-01,1280.4240833934052
2016-02,1287.3689625529685
2016-03,1396.3929558522557
2016-04,1427.9815710665503
2016-05,1438.7012414186372
2016-06,1417.2505000698636
2016-07,1491.7367750806843
2016-08,1497.5335401482234
2016-09,1519.2745565209862
2016-10,1467.619661527995
2016-11,1516.3740153586689
2016-12,1548.6144677648463
2017-01,1588.0785319193485
2017-02,1626.728425781006
2017-03,1641.4382030619734
2017-04,1674.225295
2017-05,1685.638159
2017-06,1709.303645
2017-07,1750.177894
2017-08,1752.234991
2017-09,1815.503473
2017-10,1845.345814
2017-11,1884.710139
2017-12,1915.881461
2018-01,1988.993083
2018-02,1908.993499
2018-03,1908.65155
2018-04,1923.4468562165312
2018-05,1964.326232793702
2018-06,1945.3029483662967
2018-07,1969.5939587937373
2018-08,2005.7424029729737
2018-09,1972.8715212036332
2018-10,1776.2408512930217
2018-11,1795.1290818445834
2018-12,1641.293593
2019-01,1801.9992454559585
2019-02,1865.151366778742
2019-03,1856.0939046856663
2019-04,1908.8915995567475
2019-05,1785.4575581043914
2019-06,1886.6988848979931
2019-07,1892.061684736972
2019-08,1825.2609889073706
2019-09,1862.9923496198503
2019-10,1917.47324
2019-11,1973.6290192026067
2019-12,2047.4636127475628
2020-01,1986.7443515389034
2020-02,1810.4532697305135
2020-03,1432.901682894321
2020-04,1622.0441411398938
2020-05,1725.8805167703217
2020-06,1780.7819221215584
2020-07,1859.70869380253
2020-08,1959.6569247956231
2020-09,1920.657654
2020-10,1919.6029644494226
2020-11,2212.7286383946193
2020-12,2376.3880527101
2021-01,2422.475816465698
2021-02,2548.2865619872405
2021-03,2601.7260044711475
2021-04,2707.3651678800743
2021-05,2736.046568721131
2021-06,2748.5817236848607
2021-07,2727.533868144116
2021-08,2788.995580557425
2021-09,2705.542848623795
2021-10,2790.7335091495233
2021-11,2662.0481929990274
2021-12,2759.645502894182
2022-01,2565.016378103711
2022-02,2559.2498472304856
2022-03,2581.172718607623
2022-04,2387.5167150639277
2022-05,2381.765048510408
2022-06,2147.828822565723
2022-07,2324.701985252569
2022-08,2261.4895730105577
2022-09,2033.2475898487562
2022-10,2176.689276423975
2022-11,2316.6458168811246
2022-12,2244.0154692408223
2023-01,2441.5833237511165
2023-02,2394.2332898790264
2023-03,2343.5577152523015
2023-04,2342.069815045678
2023-05,2289.8347752663394
2023-06,2430.400492836793
2023-07,2555.018120405753
