Date,WORLD ex UK SMALL CAP
2000-12,100.0
2001-01,103.53378382237428
2001-02,100.58983940328079
2001-03,95.36378924399233
2001-04,102.75540889225113
2001-05,103.67953709517433
2001-06,103.85789658353217
2001-07,100.38849858441664
2001-08,99.66670925844826
2001-09,87.41062110598277
2001-10,93.27617279426819
2001-11,98.8929249448796
2001-12,101.34977894936488
2002-01,99.55539577754588
2002-02,98.62028284981456
2002-03,106.29836560249373
2002-04,107.76897013012517
2002-05,107.54141784699533
2002-06,102.0218632834671
2002-07,90.93948643259739
2002-08,90.40499690169
2002-09,83.49985450677356
2002-10,84.56818199580766
2002-11,89.58437397519708
2002-12,85.36936495528965
2003-01,84.24242433348242
2003-02,82.83753562929392
2003-03,82.98638689861187
2003-04,91.3357342066115
2003-05,100.5606991487178
2003-06,103.80833469375085
2003-07,107.7506076737653
2003-08,114.63642649909768
2003-09,116.6792771305199
2003-10,127.03212144321809
2003-11,129.40888014306873
2003-12,134.64606979160817
2004-01,139.9110048417915
2004-02,142.1731624001125
2004-03,146.57110738451553
2004-04,139.73894755459358
2004-05,140.39946532600445
2004-06,146.73997392030742
2004-07,139.08952462454474
2004-08,139.04816404215697
2004-09,144.16391236349025
2004-10,148.247964
2004-11,160.03771120342103
2004-12,166.33123092441335
2005-01,163.67012475763676
2005-02,169.0945034609211
2005-03,164.99677492699038
2005-04,158.55449221209898
2005-05,164.04631430936817
2005-06,169.06525224657645
2005-07,178.13762980705565
2005-08,179.3760387649861
2005-09,184.24920101186137
2005-10,178.04530064847143
2005-11,185.15212933174504
2005-12,192.69469965108118
2006-01,207.1892146354558
2006-02,205.14408508690744
2006-03,215.10319640957496
2006-04,220.25236009003268
2006-05,207.29522981958647
2006-06,203.898932315472
2006-07,197.7830230288681
2006-08,203.14030446991978
2006-09,203.2446378514761
2006-10,211.86512144568874
2006-11,218.5490191796563
2006-12,221.55173221304133
2007-01,226.06489819175968
2007-02,227.9203359382564
2007-03,233.16147747913328
2007-04,240.31762045270625
2007-05,246.95585596854843
2007-06,245.54579751830164
2007-07,236.7215051367253
2007-08,230.16151336412412
2007-09,236.68231366876722
2007-10,246.945054025176
2007-11,229.19611040415316
2007-12,225.72798099193247
2008-01,207.847049964781
2008-02,209.02224746608417
2008-03,206.95475418470633
2008-04,215.71401501908773
2008-05,224.0915594176595
2008-06,205.74233898009487
2008-07,202.46035603888896
2008-08,202.78428898224266
2008-09,176.72490865646532
2008-10,137.4418536877264
2008-11,125.82901164733853
2008-12,134.23179771384807
2009-01,123.30838433685459
2009-02,109.79182083481574
2009-03,119.04019056406885
2009-04,138.10046340552864
2009-05,149.89384061460063
2009-06,151.63676211862358
2009-07,164.90126740603517
2009-08,174.40014124599864
2009-09,185.27630195382798
2009-10,177.26892759867727
2009-11,182.05006933709834
2009-12,190.74384021150055
2010-01,185.8085176657392
2010-02,191.31807962817925
2010-03,205.89414848828912
2010-04,213.80331824859175
2010-05,193.7293544045523
2010-06,183.86270356843787
2010-07,197.44523342706802
2010-08,188.01768285581383
2010-09,209.74471301679242
2010-10,217.97747958903201
2010-11,219.98449290725088
2010-12,240.43257460160157
2011-01,242.58553352641462
2011-02,252.69704075992527
2011-03,256.29206855325015
2011-04,264.8862083709739
2011-05,259.2576836226886
2011-06,253.88575683386256
2011-07,247.52167397548612
2011-08,227.52414886830854
2011-09,201.84925002878083
2011-10,225.86855701474406
2011-11,220.720893357992
2011-12,219.32251890322289
2012-01,235.43710967509458
2012-02,245.23926348805009
2012-03,247.69590764744848
2012-04,245.41935898695382
2012-05,224.26169099469837
2012-06,232.13109123858064
2012-07,231.40243392991914
2012-08,238.59649616187298
2012-09,246.56089347070258
2012-10,244.54916150707348
2012-11,247.15554437232126
2012-12,254.61439746700225
2013-01,270.21759390922233
2013-02,272.48840710921075
2013-03,282.04351884497424
2013-04,285.18045275645966
2013-05,288.0115223142369
2013-06,282.1575904759615
2013-07,299.85763210325445
2013-08,293.22424899543597
2013-09,313.3270728672364
2013-10,322.84718310827964
2013-11,328.5343385772454
2013-12,335.5362554789856
2014-01,329.3734523966803
2014-02,345.2976980479308
2014-03,344.80491680068167
2014-04,339.28349955255703
2014-05,343.3569510029859
2014-06,358.12606755792325
2014-07,343.3050731971827
2014-08,354.4932574274805
2014-09,334.6907534607573
2014-10,341.0445717289337
2014-11,342.65218675226527
2014-12,344.24618124236525
2015-01,338.29984915038193
2015-02,358.0702632976802
2015-03,360.3128011365219
2015-04,361.9889752391543
2015-05,366.19693666576774
2015-06,362.518984400967
2015-07,360.56186649726044
2015-08,341.00490465698215
2015-09,326.2800265227288
2015-10,345.3916182679787
2015-11,349.85585149400487
2015-12,340.5983999651199
2016-01,314.7043388659636
2016-02,317.32558459957755
2016-03,344.36274955806516
2016-04,352.7388523069735
2016-05,356.48862668188787
2016-06,353.3008952756978
2016-07,372.7167973138849
2016-08,372.84762170570684
2016-09,378.59244603140047
2016-10,365.716142482344
2016-11,381.5243845370318
2016-12,390.6733635309759
2017-01,399.6627286100855
2017-02,408.10117754683927
2017-03,410.8581684899938
2017-04,417.350282
2017-05,419.557877
2017-06,427.419368
2017-07,436.396667
2017-08,436.511411
2017-09,453.339055
2017-10,459.788967
2017-11,470.502188
2017-12,476.493809
2018-01,493.341264
2018-02,474.421641
2018-03,474.240611
2018-04,477.57050141550974
2018-05,491.4880758649384
2018-06,490.03748840861783
2018-07,496.6025128231921
2018-08,508.9566519233462
2018-09,501.92385924617145
2018-10,451.94793312737653
2018-11,456.38161754761336
2018-12,412.81649190523217
2019-01,455.0643519501161
2019-02,472.0859023343381
2019-03,469.10871672356575
2019-04,483.1103453507699
2019-05,451.63276101367336
2019-06,479.1608992586841
2019-07,483.19924878730285
2019-08,466.44871727301967
2019-09,475.13603938438206
2019-10,487.0344060325061
2019-11,502.52876633630154
2019-12,518.135319833025
2020-01,504.2169966308377
2020-02,458.701016082329
2020-03,365.02139306151764
2020-04,414.343642528716
2020-05,445.01473782792135
2020-06,457.3249559568466
2020-07,475.03478191939985
2020-08,501.458351116635
2020-09,491.759389
2020-10,492.1394508579071
2020-11,567.2287780946184
2020-12,608.0804176192786
2021-01,621.9156602055765
2021-02,652.5772365224273
2021-03,666.479007462143
2021-04,691.226561775203
2021-05,695.93207815712
2021-06,699.9029734330313
2021-07,693.3516181568538
2021-08,709.2643918097317
2021-09,689.0330586846778
2021-10,714.9705648613985
2021-11,681.0454963385838
2021-12,704.7474958944811
2022-01,651.9199083675462
2022-02,655.1940052009405
2022-03,662.8485530759933
2022-04,610.5520460924472
2022-05,609.6277968923894
2022-06,549.7254892956215
2022-07,600.039385929562
2022-08,583.1255652508879
2022-09,524.6232908442176
2022-10,566.9370187294775
2022-11,600.299504514821
2022-12,578.7562891405502
2023-01,632.5538869586118
2023-02,619.1808764070646
2023-03,603.4826214020799
2023-04,600.8640924765675
2023-05,585.0407951384758
2023-06,623.5471968465394
2023-07,653.7399923616224
