Date,EFM AFRICA ex ZA SMALL CAP
2010-11,1000.0
2010-12,1000.9657602622831
2011-01,949.5546980071377
2011-02,911.42182982643
2011-03,867.1708046639391
2011-04,888.6935067322689
2011-05,924.3793193756457
2011-06,908.422502370632
2011-07,858.7449291667568
2011-08,792.0195484165785
2011-09,692.2958927968466
2011-10,710.276646082354
2011-11,656.3652114165137
2011-12,621.4388217471969
2012-01,661.3566130848191
2012-02,732.1319782481679
2012-03,680.9582754709679
2012-04,707.8020267043802
2012-05,686.1270010169803
2012-06,675.119179348116
2012-07,691.6219004108318
2012-08,730.1032962606454
2012-09,810.2907767052667
2012-10,821.1126625019676
2012-11,756.00857967831
2012-12,800.4840156730482
2013-01,878.8575277638506
2013-02,869.5829852519993
2013-03,875.3306885876387
2013-04,853.7741213474256
2013-05,932.2647528024066
2013-06,846.6971771116388
2013-07,909.0498480971598
2013-08,872.4896014266021
2013-09,912.4797881742119
2013-10,985.7507868556921
2013-11,1019.3228241607867
2013-12,1091.8924850249082
2014-01,1111.0082057323295
2014-02,1161.1002907056782
2014-03,1112.2039444388126
2014-04,1130.0310207545206
2014-05,1157.7893849927639
2014-06,1200.1678827117978
2014-07,1220.5503450799301
2014-08,1248.9388390306633
2014-09,1235.5977986868472
2014-10,1135.7643082877653
2014-11,1083.8929723220945
2014-12,990.7757461429065
2015-01,954.0020432011842
2015-02,900.9780777463382
2015-03,878.4659666496914
2015-04,872.1968335051449
2015-05,877.9074340492468
2015-06,834.4706945589322
2015-07,777.7036968467971
2015-08,721.4792219442712
2015-09,700.1705706597079
2015-10,684.7778219618862
2015-11,633.7458531146507
2015-12,654.668704472004
2016-01,604.2131083635917
2016-02,583.6493168861471
2016-03,625.2591670981855
2016-04,627.5126751033349
2016-05,634.941910066809
2016-06,575.1279754401364
2016-07,589.0311358404757
2016-08,572.0370268021761
2016-09,568.0510379243989
2016-10,575.76029177397
2016-11,498.3932387810389
2016-12,527.6641794340715
2017-01,531.9728259397145
2017-02,552.382515205076
2017-03,553.3011056492716
2017-04,557.451209
2017-05,584.993953
2017-06,612.282354
2017-07,624.502049
2017-08,619.824775
2017-09,624.258513
2017-10,641.965772
2017-11,658.043953
2017-12,676.350681
2018-01,726.233811
2018-02,716.651929
2018-03,750.631204
2018-04,758.9096175373385
2018-05,695.9263169148297
2018-06,689.400731670448
2018-07,667.2030609998561
2018-08,652.4479610642239
2018-09,598.5390888247007
2018-10,554.5395316163149
2018-11,553.9425841773275
2018-12,555.4145719805042
2019-01,578.7876711451229
2019-02,585.5888805965669
2019-03,568.370498847142
2019-04,559.6027552817256
2019-05,536.9645265858221
2019-06,556.0403230171705
2019-07,541.1717729939066
2019-08,560.5720355130029
2019-09,544.8185302461391
2019-10,557.2074969640648
2019-11,555.5219398025828
2019-12,570.4203753527912
2020-01,569.8479770876899
2020-02,519.6135318344075
2020-03,394.85012410481056
2020-04,424.6703955118368
2020-05,437.44127611223513
2020-06,451.8978430434597
2020-07,449.2489637468975
2020-08,463.9866298786557
2020-09,460.587245226819
2020-10,471.7503521164708
2020-11,505.5027325829736
2020-12,514.0308250897427
2021-01,533.0499294301687
2021-02,519.2160948609753
2021-03,510.03816253083994
2021-04,523.1106311458144
2021-05,536.5950815128585
2021-06,552.0274299355451
2021-07,568.0146530094902
2021-08,586.0333626149762
2021-09,584.1500527558401
2021-10,602.1011486455354
2021-11,596.9924927409686
2021-12,623.4383661086665
2022-01,627.4993042570984
2022-02,616.93668734898
2022-03,581.9088273627071
2022-04,583.0539264628649
2022-05,559.7809109720824
2022-06,528.0392010191744
2022-07,520.6732236455473
2022-08,525.6556991708244
2022-09,513.3231520635278
2022-10,482.27250054598227
2022-11,498.3253468397291
2022-12,521.7956044938509
2023-01,507.3319208189213
2023-02,508.91406498110575
2023-03,496.58478678479173
2023-04,525.3150944932314
2023-05,543.0910416948533
2023-06,529.5333141013563
2023-07,544.9679607789693
