Date,EM EUROPE SMALL CAP
1996-09,204.7665561214684
1996-10,194.0548120110508
1996-11,196.75825092845335
1996-12,201.90091596944498
1997-01,251.66453491893887
1997-02,247.99471757173194
1997-03,233.1780224533637
1997-04,210.58042875201434
1997-05,198.66696795614646
1997-06,205.96112773457315
1997-07,207.93539480073753
1997-08,209.49705876500468
1997-09,236.27196119413736
1997-10,223.1867825187081
1997-11,207.42801503336202
1997-12,208.4516562328013
1998-01,194.19009796544015
1998-02,192.83915577071065
1998-03,194.07104058769372
1998-04,205.80820884526904
1998-05,187.01899033969744
1998-06,181.35296965432659
1998-07,186.45851977911542
1998-08,121.11403176315163
1998-09,105.86678753189491
1998-10,106.16802763653746
1998-11,107.50434448018011
1998-12,106.60618694680817
1999-01,101.65495297906203
1999-02,101.81730571015716
1999-03,113.6343047717741
1999-04,118.46030295633753
1999-05,127.5014838456556
1999-06,127.68240460600659
1999-07,135.42036503266348
1999-08,129.1371198326922
1999-09,128.196215940451
1999-10,129.9324147301795
1999-11,141.9081706698544
1999-12,195.82737210211977
2000-01,231.43499554845636
2000-02,218.02802303400168
2000-03,228.70626331652224
2000-04,240.3872235363579
2000-05,216.49863855889674
2000-06,202.42131573341348
2000-07,201.3467755451084
2000-08,202.33071104869052
2000-09,177.7296905831609
2000-10,183.94904394519725
2000-11,148.4231645119952
2000-12,155.88472353518117
2001-01,158.92484779209394
2001-02,121.39882526896524
2001-03,118.80554815836753
2001-04,136.46986429314003
2001-05,130.00621978692135
2001-06,128.05348477703507
2001-07,118.05343955826348
2001-08,119.17052586985619
2001-09,101.55602822071961
2001-10,116.65392732771785
2001-11,135.67827398255255
2001-12,143.04147085361268
2002-01,160.53128287936232
2002-02,148.43414358097561
2002-03,160.72576876834515
2002-04,165.93625719822515
2002-05,157.3512637490838
2002-06,143.2978521001701
2002-07,135.5310650471847
2002-08,135.6420858190559
2002-09,132.55360482843892
2002-10,146.72859946874755
2002-11,166.853938008899
2002-12,151.02835769483545
2003-01,151.26041815364147
2003-02,159.00070754122586
2003-03,149.45704025074406
2003-04,175.20913457551381
2003-05,192.74021302030812
2003-06,191.41688731521813
2003-07,195.5303100933684
2003-08,224.54801594560936
2003-09,229.16057680406075
2003-10,238.72093968101916
2003-11,234.90164999039914
2003-12,278.058424113064
2004-01,278.67155834560026
2004-02,300.73495533833227
2004-03,315.1044180462859
2004-04,288.5036159743006
2004-05,273.8519638780839
2004-06,282.3767144698497
2004-07,280.4748837889505
2004-08,292.72133115824533
2004-09,314.4169959764919
2004-10,315.460153338841
2004-11,319.5321571089781
2004-12,349.6906373079945
2005-01,366.67684322606027
2005-02,402.37992057574974
2005-03,357.9424644475232
2005-04,328.7690917763969
2005-05,344.07640785621794
2005-06,362.36723143545385
2005-07,393.6543781484466
2005-08,425.90863811270583
2005-09,470.61923686919766
2005-10,450.6791672811338
2005-11,493.47429199509105
2005-12,529.559288279916
2006-01,603.013154475331
2006-02,664.2084088535888
2006-03,644.5551582647284
2006-04,685.6230818678378
2006-05,572.0947791602865
2006-06,540.3026946774577
2006-07,606.8171217894851
2006-08,619.1000091334008
2006-09,635.1394540206745
2006-10,694.2741429449576
2006-11,742.6958040868263
2006-12,785.719039665356
2007-01,813.7602049905361
2007-02,827.1560279216211
2007-03,908.1860062274045
2007-04,966.0643022418441
2007-05,1000.0
2007-06,1039.6438040231708
2007-07,1033.2649308537734
2007-08,973.1442119175977
2007-09,1042.2908677970363
2007-10,1087.5126331556717
2007-11,1016.6097610575246
2007-12,1042.930987251994
2008-01,894.0892051814789
2008-02,916.0106158232556
2008-03,870.3614564232323
2008-04,880.0323282650528
2008-05,870.7417222144519
2008-06,790.5883207283078
2008-07,788.9114214822188
2008-08,726.6043015553358
2008-09,564.5835161224957
2008-10,336.4422985526492
2008-11,299.2328112187021
2008-12,290.69567447254656
2009-01,250.22158639189354
2009-02,228.01639629794914
2009-03,266.58093652629873
2009-04,345.98103631820715
2009-05,412.8551551752058
2009-06,444.3825470565298
2009-07,509.83976577219613
2009-08,590.9050390188311
2009-09,614.8709206422699
2009-10,607.6604713137579
2009-11,603.6310063754783
2009-12,653.784718838636
2010-01,694.6502478402898
2010-02,657.5370289053209
2010-03,755.5128409241473
2010-04,787.1788406023501
2010-05,653.1819541741693
2010-06,632.8550366048477
2010-07,713.8427104729853
2010-08,719.9864472364491
2010-09,809.9032043744891
2010-10,851.0098981944863
2010-11,801.323950786128
2010-12,865.8591412519798
2011-01,869.4703344605141
2011-02,866.6502037205048
2011-03,922.437409196995
2011-04,993.5825791026996
2011-05,894.170898814916
2011-06,870.2727322093526
2011-07,822.3123956925373
2011-08,680.947668979124
2011-09,587.3153726264902
2011-10,642.7325228064741
2011-11,575.5514264235544
2011-12,525.8921172371503
2012-01,610.8797437975859
2012-02,662.4624234541994
2012-03,662.7874141349953
2012-04,659.8814127000213
2012-05,548.6678056577566
2012-06,599.7867234287996
2012-07,609.8510177429937
2012-08,612.7314671517051
2012-09,640.8070998098561
2012-10,648.2131944766938
2012-11,666.1178354499208
2012-12,713.7119925924301
2013-01,744.2218368701006
2013-02,723.0629186477446
2013-03,720.0735887113759
2013-04,728.6153805194301
2013-05,722.8911203313263
2013-06,652.0941285745838
2013-07,666.8002493237785
2013-08,613.0139257691956
2013-09,674.8739192367661
2013-10,719.0712818871477
2013-11,727.0784195925945
2013-12,680.5574196511367
2014-01,631.2594656182251
2014-02,672.8484405046778
2014-03,667.7112018486802
2014-04,684.6878647436417
2014-05,694.4323530824182
2014-06,698.753744441658
2014-07,669.1925455260252
2014-08,659.4935969680417
2014-09,613.76925670261
2014-10,602.5904344943042
2014-11,602.1637111740047
2014-12,532.6372402088725
2015-01,532.1876021596998
2015-02,563.4618102956164
2015-03,527.8669983133385
2015-04,569.054221511385
2015-05,554.4849819803555
2015-06,531.7654185977457
2015-07,525.5753818801014
2015-08,482.48486594580925
2015-09,482.29367894950025
2015-10,506.4914588248905
2015-11,480.8922912074512
2015-12,470.8577347803019
2016-01,443.0416634445644
2016-02,456.5342258456106
2016-03,522.901198500284
2016-04,540.2607502801001
2016-05,511.8413632763161
2016-06,506.8148793815838
2016-07,520.3720440988835
2016-08,552.1390015231694
2016-09,569.4809847173923
2016-10,579.7523315053835
2016-11,561.1043194112043
2016-12,589.8429275851832
2017-01,626.925427061085
2017-02,640.2843472875969
2017-03,655.3407600514284
2017-04,687.545224
2017-05,717.026758
2017-06,745.859087
2017-07,789.999059
2017-08,812.525767
2017-09,788.836886
2017-10,779.698733
2017-11,747.737047
2017-12,792.143984
2018-01,848.907466
2018-02,808.57794
2018-03,792.267353
2018-04,751.4303017413428
2018-05,693.2268783549144
2018-06,661.6210328318181
2018-07,659.0968903883611
2018-08,591.705102391676
2018-09,599.9243737946382
2018-10,558.8308366446324
2018-11,587.953593407496
2018-12,566.259624
2019-01,616.6864984638534
2019-02,639.8974792796522
2019-03,606.8583178321501
2019-04,620.4121517789715
2019-05,626.3639040505235
2019-06,682.8449692714667
2019-07,693.4625349580316
2019-08,658.2398618728026
2019-09,661.8128507193721
2019-10,668.390653809859
2019-11,691.8998119215934
2019-12,726.8925035590246
2020-01,737.3876091117929
2020-02,624.6573704544157
2020-03,495.76438859850845
2020-04,557.948715850553
2020-05,598.8090725727468
2020-06,645.4644775516456
2020-07,664.1566139607426
2020-08,670.324367116402
2020-09,651.120997426039
2020-10,587.328449206193
2020-11,751.8268969510978
2020-12,852.6022174658648
2021-01,879.2887461938683
2021-02,930.4455514704123
2021-03,892.89744820208
2021-04,949.5894684999868
2021-05,977.9234555658898
2021-06,929.8213109415655
2021-07,941.810740123352
2021-08,992.4474154110991
2021-09,935.7106490759506
2021-10,980.8124758404242
2021-11,866.183980765678
2021-12,879.546990822693
2022-01,876.1034536669926
2022-02,727.2747850381934
2022-03,683.2702784017791
2022-04,680.9174668745263
2022-05,680.6046124333269
2022-06,631.034941527898
2022-07,632.2803303077019
2022-08,659.7569252237893
2022-09,611.9758844521958
2022-10,707.3778957175844
2022-11,859.9651966736128
2022-12,943.8642871463059
2023-01,936.8887082013875
2023-02,956.658694897437
2023-03,884.9267657480095
2023-04,909.2544717021104
2023-05,913.5144045605434
2023-06,921.5906205772499
2023-07,1085.7759630127523
