Date,FM LATIN AMERICA & CARIBBEAN SMALL CAP
2010-11,1000.0
2010-12,1009.0377458798513
2011-01,991.9398387508003
2011-02,943.1825555789967
2011-03,980.563139344046
2011-04,943.1825555789964
2011-05,945.3495459421874
2011-06,879.7980874556515
2011-07,822.9145904218809
2011-08,765.4893457973129
2011-09,586.1708932432359
2011-10,628.968952916263
2011-11,611.8910559610454
2011-12,633.6051573469755
2012-01,704.2529668141099
2012-02,709.815786457191
2012-03,685.3393800276326
2012-04,527.3553021641201
2012-05,394.40391269447406
2012-06,402.6251777288407
2012-07,428.7180414532378
2012-08,431.04551404704284
2012-09,485.68352917579335
2012-10,441.86952482562975
2012-11,481.1211376181198
2012-12,546.7844371135329
2013-01,573.9037800977387
2013-02,470.7303269557806
2013-03,506.64685433432885
2013-04,501.03716418321693
2013-05,482.92320946822394
2013-06,450.51493119574883
2013-07,467.3987095892288
2013-08,551.6149201305263
2013-09,722.1121378180325
2013-10,767.3793386793585
2013-11,995.6323032968651
2013-12,883.3559392468649
2014-01,724.143394706491
2014-02,815.921499901003
2014-03,843.8479503087223
2014-04,1078.0142003999028
2014-05,1217.505247966789
2014-06,1339.8017650540426
2014-07,1389.174609447528
2014-08,1162.8153977317202
2014-09,1233.653228777869
2014-10,1279.329964417848
2014-11,1377.84952976034
2014-12,1209.8138866953273
2015-01,1233.0475544641654
2015-02,1483.448378226935
2015-03,1854.6488690145131
2015-04,1710.175214891273
2015-05,1632.2472413358496
2015-06,1574.7489628487474
2015-07,1540.589450743058
2015-08,1524.9904055877346
2015-09,1453.1839253989776
2015-10,2118.7585209698927
2015-11,1905.1758528132655
2015-12,1842.6649439798964
2016-01,1841.3295572322536
2016-02,1893.1484935344265
2016-03,1881.2022611296206
2016-04,1842.1943472870598
2016-05,2000.7890323944055
2016-06,2260.2787320120997
2016-07,2377.830447343396
2016-08,2247.9695065786714
2016-09,2595.1127640683594
2016-10,2801.243919590405
2016-11,2826.8161372486843
2016-12,2828.0971385754488
2017-01,3221.6661710932394
2017-02,3460.7591093801943
2017-03,3924.63045512779
2017-04,4019.713735
2017-05,4082.568433
2017-06,3907.891212
2017-07,3959.167942
2017-08,4233.481737
2017-09,4714.209422
2017-10,5110.547692
2017-11,5185.142777
2017-12,5406.930121
2018-01,5692.674457
2018-02,5478.725869
2018-03,5159.773849
2018-04,4989.408891176531
2018-05,4138.9181082836385
2018-06,3862.024792460107
2018-07,4094.367033258387
2018-08,3787.8624734161813
2018-09,3594.324106991061
2018-10,3644.7300468733697
2018-11,3753.67174887305
2018-12,3729.836779876051
2019-01,4260.3644548642405
2019-02,3836.723876891483
2019-03,3279.9969356560064
2019-04,2976.175104034163
