Date,EM EASTERN EUROPE ex RUSSIA SMALL CAP
2007-05,1000.0
2007-06,1054.5204493369827
2007-07,973.1118019698102
2007-08,907.7813381874898
2007-09,954.2723725697178
2007-10,1011.231907135699
2007-11,899.4041772474746
2007-12,917.8413759331754
2008-01,808.5503120533847
2008-02,850.1799012085872
2008-03,854.3337631598372
2008-04,824.1277375888105
2008-05,810.036533224572
2008-06,708.0242298926512
2008-07,686.8856523934809
2008-08,617.5016222962399
2008-09,524.4183792414594
2008-10,342.13760713473175
2008-11,313.20573236999087
2008-12,296.77626008684814
2009-01,245.54463767939964
2009-02,209.2367750751115
2009-03,250.53171329451897
2009-04,313.7065865049053
2009-05,348.0597449086587
2009-06,359.03952404322047
2009-07,429.0364738657036
2009-08,514.9918120759243
2009-09,506.12570022156297
2009-10,479.43953242857305
2009-11,497.3178006094891
2009-12,489.3020291917973
2010-01,486.3841015172098
2010-02,479.6640260064076
2010-03,543.011388308224
2010-04,544.7721078809207
2010-05,455.0578722271287
2010-06,427.04258777305836
2010-07,504.47116404439936
2010-08,494.82936786680597
2010-09,561.7470172284837
2010-10,589.6401969818007
2010-11,523.0709445515274
2010-12,560.971766066856
2011-01,588.5576506802998
2011-02,600.1981754810587
2011-03,611.8135827694581
2011-04,671.6066267968059
2011-05,628.8941366659991
2011-06,605.0148766707861
2011-07,559.9433495965973
2011-08,476.6443898143401
2011-09,368.7246434571364
2011-10,423.4179321718166
2011-11,378.61563292987375
2011-12,356.7173425478268
2012-01,413.8133005408662
2012-02,440.9209857883761
2012-03,428.4354663507796
2012-04,416.74242919906953
2012-05,347.7783220797995
2012-06,372.5057084793407
2012-07,366.74431905659924
2012-08,365.6081275762296
2012-09,407.8601428470076
2012-10,406.2922133075899
2012-11,415.2006558620298
2012-12,451.1128388632751
2013-01,449.4519073167365
2013-02,426.2231611270143
2013-03,395.098041496003
2013-04,391.3585772584832
2013-05,418.7439221639351
2013-06,394.6708093718008
2013-07,429.7033781839339
2013-08,441.23424261382826
2013-09,482.938942884004
2013-10,522.2401586931837
2013-11,536.5488268580579
2013-12,525.0962641925911
2014-01,510.05455830648486
2014-02,552.86859074863
2014-03,529.2844169384854
2014-04,533.8803530582768
2014-05,516.2769217719874
2014-06,520.7759401663635
2014-07,488.60758984379976
2014-08,476.9933686007151
2014-09,479.2713149350975
2014-10,475.16927810566386
2014-11,484.6098317219902
2014-12,440.390528183792
2015-01,442.9868908069328
2015-02,452.4843665218919
2015-03,444.3822219338141
2015-04,469.37153352059346
2015-05,456.5636000202934
2015-06,430.87196474558004
2015-07,451.72141843078975
2015-08,431.62657052213063
2015-09,436.8149751983606
2015-10,437.86848958014724
2015-11,407.67462516888475
2015-12,410.00855766198526
2016-01,377.5525552622464
2016-02,397.460451031243
2016-03,432.87029287875487
2016-04,431.07325365351096
2016-05,398.902876042605
2016-06,385.4544997241837
2016-07,424.162578047888
2016-08,464.47468220028213
2016-09,490.4071742286549
2016-10,494.1120899031892
2016-11,476.36024144281413
2016-12,498.6088734062508
2017-01,559.5501375685548
2017-02,580.6658974019222
2017-03,596.8813266725633
2017-04,626.323279
2017-05,643.905552
2017-06,677.055957
2017-07,714.587568
2017-08,725.586857
2017-09,728.842268
2017-10,712.669796
2017-11,699.093811
2017-12,709.393482
2018-01,737.000443
2018-02,669.033198
2018-03,649.342561
2018-04,643.2496430980352
2018-05,602.295065252634
2018-06,549.3137309463089
2018-07,579.179971299215
2018-08,560.2711691466195
2018-09,531.7422668927699
2018-10,499.5409812691592
2018-11,524.7906970582652
2018-12,520.654697287942
2019-01,561.9832402517573
2019-02,563.5771833148146
2019-03,544.721320836782
2019-04,538.7472201552254
2019-05,520.9260738529849
2019-06,576.7363671921119
2019-07,547.6808271652557
2019-08,519.1256908392614
2019-09,487.60816784909906
2019-10,513.6885729384463
2019-11,522.9524429564035
2019-12,552.1525000705967
2020-01,524.2039673128328
2020-02,449.2432232700826
2020-03,370.0968835788636
2020-04,438.2367251564147
2020-05,463.7977707657434
2020-06,491.25482526112046
2020-07,517.8880231478882
2020-08,535.4086084172127
2020-09,503.95955388258824
2020-10,439.7697455118914
2020-11,544.665645983888
2020-12,602.1391198104817
2021-01,618.0267438286791
2021-02,645.2943019075283
2021-03,604.3363117489192
2021-04,665.1513983515206
2021-05,763.3917296301059
2021-06,735.5269790070599
2021-07,741.895599138076
2021-08,799.7684915622567
2021-09,780.4752494321044
2021-10,842.9733335920715
2021-11,743.1898600288698
2021-12,755.8120365384565
2022-01,710.9180535598289
2022-02,638.785071429273
2022-03,701.8893774098647
2022-04,616.4565839687623
2022-05,645.8439145248556
2022-06,590.7349282226483
2022-07,576.1686927904102
2022-08,547.7801148744182
2022-09,464.4254099519126
2022-10,515.1450629533841
2022-11,602.3819282719041
2022-12,634.0824047874115
2023-01,699.369107201055
2023-02,664.8065530128955
2023-03,676.3505883885043
2023-04,753.1861115729834
2023-05,719.5715599669228
2023-06,796.7375998209139
2023-07,903.1315014911294
