Date,EUROPE ex SWITZERLAND SMALL CAP
2000-12,1000.0
2001-01,1056.3779143281904
2001-02,1012.7735114412422
2001-03,920.3289762445274
2001-04,977.3816177041795
2001-05,976.4414558174986
2001-06,928.8594300709343
2001-07,915.268860770674
2001-08,923.3044916533612
2001-09,767.6100625851985
2001-10,820.9109388822789
2001-11,888.182580188113
2001-12,903.0445149551103
2002-01,889.2040659341519
2002-02,892.4994772580968
2002-03,950.9163247443427
2002-04,981.5871519792994
2002-05,987.3325503777871
2002-06,951.9005663285933
2002-07,851.723216884573
2002-08,841.0775817215994
2002-09,749.4840500888344
2002-10,781.3786694922527
2002-11,815.9003135215413
2002-12,793.8828147141692
2003-01,772.3430903476113
2003-02,739.7768352538147
2003-03,735.4091837935332
2003-04,842.1198276216917
2003-05,937.0654156254842
2003-06,958.8904878391622
2003-07,1000.797394304586
2003-08,1034.9391864710456
2003-09,1079.6139356165424
2003-10,1166.7793253334814
2003-11,1209.7020922792253
2003-12,1274.7157990399644
2004-01,1353.0288464274872
2004-02,1416.2073694483354
2004-03,1383.6945027923337
2004-04,1351.227979657797
2004-05,1352.472514777027
2004-06,1401.0156710407443
2004-07,1344.693038398727
2004-08,1341.7753017524465
2004-09,1407.9024456910824
2004-10,1467.7281884765644
2004-11,1617.4737948317065
2004-12,1706.254526156387
2005-01,1730.9907756324217
2005-02,1824.1949968690376
2005-03,1784.2994165368618
2005-04,1721.1798185439193
2005-05,1736.7076123514012
2005-06,1785.5990197839678
2005-07,1884.7200480765716
2005-08,1946.9972681784907
2005-09,1997.0868698408074
2005-10,1880.1952710788316
2005-11,1928.2392344233538
2005-12,2033.3721033816532
2006-01,2230.605628723875
2006-02,2284.210900353411
2006-03,2403.5887809566552
2006-04,2560.6345365206475
2006-05,2451.64215080559
2006-06,2406.1606668914424
2006-07,2379.466891212537
2006-08,2442.121714479595
2006-09,2482.700798073296
2006-10,2620.055351588083
2006-11,2802.5590532598676
2006-12,2935.363353793205
2007-01,2984.6235763544037
2007-02,2998.567276613625
2007-03,3146.657834890317
2007-04,3324.934329095878
2007-05,3374.9326423310736
2007-06,3318.383726423783
2007-07,3294.7015248426064
2007-08,3154.9683878791275
2007-09,3138.8355081323784
2007-10,3375.762484504382
2007-11,3078.8061100243203
2007-12,2979.931503188025
2008-01,2655.7445122417625
2008-02,2788.5965531086113
2008-03,2815.1668115962343
2008-04,2867.9875293695072
2008-05,2904.1416356267478
2008-06,2652.102023587786
2008-07,2519.5100644223994
2008-08,2451.1721132583134
2008-09,1942.622243953412
2008-10,1392.281623165204
2008-11,1272.845888771413
2008-12,1331.9985823388583
2009-01,1254.669250512603
2009-02,1173.2371362324573
2009-03,1256.6752781070645
2009-04,1532.1955122677016
2009-05,1736.7446550052032
2009-06,1728.8196353523858
2009-07,1886.7758460420466
2009-08,2076.013850594731
2009-09,2220.176461995262
2009-10,2184.5085658553076
2009-11,2206.2839586008704
2009-12,2232.8481155638165
2010-01,2205.659391929641
2010-02,2126.6911937585583
2010-03,2297.441531961799
2010-04,2324.7250721915175
2010-05,1991.3836827385928
2010-06,1965.7324268334828
2010-07,2209.9333433990782
2010-08,2112.9816149482863
2010-09,2411.9217466996292
2010-10,2550.757715239089
2010-11,2375.944596130347
2010-12,2675.0193258332997
2011-01,2731.0345866223815
2011-02,2788.0717091239253
2011-03,2829.210339032832
2011-04,3047.2776299703487
2011-05,2948.5132363398657
2011-06,2858.1728146943888
2011-07,2738.819459381587
2011-08,2455.6178764047727
2011-09,2134.712587167343
2011-10,2368.7777549065418
2011-11,2224.787070330085
2011-12,2148.663601313524
2012-01,2367.0415139809184
2012-02,2566.39860482083
2012-03,2554.5387258342603
2012-04,2540.8432813321756
2012-05,2202.950212287352
2012-06,2314.4581845785365
2012-07,2331.4168509372485
2012-08,2446.3864322414315
2012-09,2580.4551577217667
