Date,EM GCC COUNTRIES SMALL CAP
2014-05,1000.0
2014-06,814.2650179737899
2014-07,955.0304981398028
2014-08,983.6929447342055
2014-09,975.2984794652042
2014-10,903.6305994558671
2014-11,906.1350605136736
2014-12,834.4705173452083
2015-01,837.1745106818262
2015-02,859.0045621541002
2015-03,783.4615634896924
2015-04,906.7324968301865
2015-05,854.591641206113
2015-06,886.7631896047698
2015-07,902.942542451385
2015-08,808.7286262952118
2015-09,807.879390731573
2015-10,790.3212906670474
2015-11,701.2809803939805
2015-12,715.2731178923493
2016-01,623.586555060244
2016-02,719.5915600746176
2016-03,764.9235968035267
2016-04,764.710796797152
2016-05,751.7186322936972
2016-06,763.6485342173464
2016-07,794.389919019806
2016-08,783.3686869248626
2016-09,774.3062626221339
2016-10,749.406578308606
2016-11,737.5048013933084
2016-12,780.7514616373256
2017-01,807.4853125252661
2017-02,774.9478838896734
2017-03,748.9942739790408
2017-04,739.859005
2017-05,700.959938
2017-06,688.995412
2017-07,724.407796
2017-08,683.148242
2017-09,683.086718
2017-10,665.057032
2017-11,630.625196
2017-12,683.474231
2018-01,708.095145
2018-02,702.125643
2018-03,692.275518
2018-04,695.8800208383926
2018-05,683.1844003238683
2018-06,665.0486303940324
2018-07,683.6837348542002
2018-08,676.9363884833723
2018-09,665.5878730332228
2018-10,673.7433057381966
2018-11,658.975693644402
2018-12,640.2381160400996
2019-01,675.1591824877503
2019-02,647.2028969391599
2019-03,664.8061048613439
2019-04,678.8851058896407
2019-05,650.025553262942
2019-06,669.5133635816072
2019-07,699.1053954806727
2019-08,668.9711175082952
2019-09,693.6678349716223
2019-10,673.6041414012959
2019-11,675.9923733962743
2019-12,719.0343892640785
2020-01,737.7595778212063
2020-02,677.6468435097817
2020-03,564.5522015614569
2020-04,642.9808105087982
2020-05,616.0936323987685
2020-06,663.9329189574598
2020-07,712.7263034180417
2020-08,755.9376459353509
2020-09,793.0589993763681
2020-10,752.7692846961326
2020-11,814.3968427976439
2020-12,842.5765893191038
2021-01,868.451527371683
2021-02,858.277422649601
2021-03,908.6180009684592
2021-04,968.8071514676454
2021-05,998.3268387076811
2021-06,1029.1570862019457
2021-07,1035.9686003994316
2021-08,1045.4845663317515
2021-09,1034.5782275464255
2021-10,1036.4538882627553
2021-11,991.1673067440051
2021-12,1023.4831524813417
2022-01,1074.0320442346135
2022-02,1077.8678509426281
2022-03,1116.1064575889795
2022-04,1145.4927000211792
2022-05,1079.9004696375603
2022-06,1000.3377020298112
2022-07,1040.0449797828169
2022-08,1074.2904507635396
2022-09,1009.8943557729558
2022-10,1017.8311842063929
2022-11,990.2085089247154
2022-12,959.5627910412296
2023-01,986.0738654836794
2023-02,989.8984252136593
2023-03,1016.1182558274401
2023-04,1067.4860901384225
2023-05,1102.7266240130748
2023-06,1155.7440550280476
2023-07,1192.8784574270687
