Date,AC ASIA ex JAPAN+CHINA A ONSH SMALL CAP
2013-09,3195.5649118648525
2013-10,3211.017524323991
2013-11,3285.7151811976046
2013-12,3251.3965697020794
2014-01,3236.8823281372747
2014-02,3350.809764697145
2014-03,3312.296215037844
2014-04,3280.177100936387
2014-05,3369.6140723059625
2014-06,3471.157032987617
2014-07,3632.6950651586126
2014-08,3767.418925843419
2014-09,3931.408730466702
2014-10,3939.6624657430857
2014-11,3992.0874726128345
2014-12,3850.0484356988145
2015-01,4005.0762179061026
2015-02,4166.839029751851
2015-03,4670.060936590565
2015-04,5309.085370077111
2015-05,6077.96859493858
2015-06,5601.255761156372
2015-07,4783.512127353591
2015-08,4176.850092089559
2015-09,4058.2005236707814
2015-10,4610.861831107909
2015-11,4785.837063697826
2015-12,4948.216630570891
2016-01,3975.069705118683
2016-02,3937.1059300681595
2016-03,4460.514540426442
2016-04,4467.02584971109
2016-05,4313.203815992563
2016-06,4439.684696294186
2016-07,4499.918427584695
2016-08,4656.906529447192
2016-09,4690.9212353559005
2016-10,4687.340607444224
2017-04,4628.653271
2017-05,4513.729905
2017-06,4611.030448
2017-07,4707.126947
2017-08,4835.2392
2017-09,4859.385367
2017-10,4945.738189
2017-11,4832.770289
2017-12,4872.571433
2018-01,5007.549708
2018-02,4732.118503
2018-03,4750.529723
2018-04,4619.233875166632
2018-05,4559.545671313945
2018-06,4080.3607461297584
2018-07,4035.383125992871
2018-08,3864.122075122946
2018-09,3749.2327097801863
2018-10,3306.126847514637
2018-11,3516.664355698366
2018-12,3426.214488003806
2019-01,3525.1832661071285
2019-02,3895.115964526923
2019-03,4129.391952151907
2019-04,4043.7062092949513
2019-05,3783.9312686568405
2019-06,3845.495679456185
2019-07,3737.0587822049974
2019-08,3566.6692599667863
2019-09,3619.641290039132
2019-10,3710.443971110096
2019-11,3652.0647879630064
2019-12,3902.936715091917
2020-01,3869.521187455598
2020-02,3819.4002424447126
2020-03,3349.7970862318857
2020-04,3606.334782860898
2020-05,3653.958024944708
2020-06,3973.7147329464483
2020-07,4460.97209735464
2020-08,4669.378177007623
2020-09,4433.736970732015
2020-10,4452.649574925384
2020-11,4773.6202189339165
2020-12,4862.782698705896
