Date,EM LATIN AMERICA SMALL CAP
1996-05,196.507931711275
1996-06,196.4375837160623
1996-07,189.57663408203643
1996-08,187.7194438675054
1996-09,193.45717414454455
1996-10,187.3077638438427
1996-11,187.5254981449103
1996-12,186.4486241099229
1997-01,198.04745854171128
1997-02,208.9540969101072
1997-03,206.31738185192293
1997-04,208.4823891459041
1997-05,219.73945281873046
1997-06,232.97942429629387
1997-07,244.72610739339922
1997-08,233.64699956536316
1997-09,239.50426226193912
1997-10,212.15247141206459
1997-11,200.4102815305205
1997-12,203.09291133452632
1998-01,179.05655525866476
1998-02,181.77861675119675
1998-03,198.3775727607271
1998-04,204.03873386855543
1998-05,181.84447722250405
1998-06,170.49385709141848
1998-07,168.18034175723835
1998-08,130.36130801073892
1998-09,120.82113502069392
1998-10,119.5760038981057
1998-11,132.95025944405916
1998-12,128.39166592608927
1999-01,106.49436639119543
1999-02,108.44875135587516
1999-03,126.4364888582269
1999-04,138.59594809530927
1999-05,136.88516838891235
1999-06,139.99831377704922
1999-07,136.90020878554097
1999-08,133.4625250953514
1999-09,135.46260419224936
1999-10,137.28838733706652
1999-11,150.9834175188249
1999-12,168.62874723761468
2000-01,175.78176891947908
2000-02,177.87903202745372
2000-03,178.33656799450202
2000-04,168.11420128954146
2000-05,158.25582947788715
2000-06,162.80896834138207
2000-07,169.9961404499477
2000-08,171.71241251069412
2000-09,168.07594967507544
2000-10,159.29045670616603
2000-11,153.86376242411262
2000-12,158.81513120472428
2001-01,171.38983767419
2001-02,163.8544058509456
2001-03,158.3990724513572
2001-04,155.0353078033088
2001-05,156.04440124145037
2001-06,156.88458295272198
2001-07,146.73696840765962
2001-08,144.05182566612874
2001-09,124.6329937646954
2001-10,126.68611999541034
2001-11,138.2571562062509
2001-12,151.64883095047463
2002-01,148.14237249677538
2002-02,152.805735605034
2002-03,156.12471526974846
2002-04,156.82266044417835
2002-05,151.59770451091495
2002-06,132.44638253910918
2002-07,119.34985184261988
2002-08,126.04618274431549
2002-09,106.93501271894941
2002-10,115.35276382715243
2002-11,120.31549248500015
2002-12,124.03507107603416
2003-01,121.17470175315044
2003-02,121.02577602069718
2003-03,128.3128829766719
2003-04,155.0253947437574
2003-05,161.05579330412613
2003-06,169.47067151480724
2003-07,173.02034969913893
2003-08,181.43240923317182
2003-09,195.05494602306598
2003-10,216.64598391038353
2003-11,227.7581807271055
2003-12,257.3570090998793
2004-01,264.2738677395408
2004-02,275.39735177214953
2004-03,285.82426651289467
2004-04,260.97698363870165
2004-05,249.04717991371413
2004-06,258.27945252604195
2004-07,272.8002268894535
2004-08,299.13507756416794
2004-09,323.75504202969216
2004-10,328.8893232930489
2004-11,365.1784127966437
2004-12,393.9557430726501
2005-01,388.69219401276507
2005-02,417.7088665110562
2005-03,387.4592969332236
2005-04,377.0646665685917
2005-05,397.187420973661
2005-06,401.06845057016375
2005-07,422.81505517748377
2005-08,432.35016879779334
2005-09,488.8228695540156
2005-10,459.1983028304182
2005-11,494.1968439171877
2005-12,502.5953486340919
2006-01,576.3402360277411
2006-02,595.6208903389283
2006-03,581.7482159598487
2006-04,613.0533581014273
2006-05,542.3887908582145
2006-06,559.4048060616849
2006-07,572.1650063586866
2006-08,601.0127591572052
2006-09,614.2375293094339
2006-10,662.9194821434415
2006-11,700.7124873863664
2006-12,767.2038607398625
2007-01,787.11770008413
2007-02,789.6841988875526
2007-03,850.7004052468943
2007-04,908.5462284457449
2007-05,1000.0
2007-06,1036.345555211683
2007-07,1067.6204115615674
2007-08,1011.0013321855542
2007-09,1079.6690080487208
