Date,ASIA APEX SMALL CAP 200
2003-08,407.02753127785934
2003-09,413.29954777855335
2003-10,442.33753058041873
2003-11,443.6377897744962
2003-12,466.1129214155953
2004-01,497.3070093042432
2004-02,518.373990589304
2004-03,508.0361245073893
2004-04,474.90549650113627
2004-05,459.4148298771366
2004-06,455.9377132860551
2004-07,442.134604797415
2004-08,468.6544187482004
2004-09,491.3872654906604
2004-10,498.109945553019
2004-11,544.9132980953887
2004-12,569.39805702898
2005-01,560.9725801714038
2005-02,609.8462975285596
2005-03,584.5169003626273
2005-04,576.5162845593769
2005-05,593.090241228499
2005-06,618.0734676600304
2005-07,657.8990770036518
2005-08,643.100357140262
2005-09,689.3240546903546
2005-10,643.9374224429596
2005-11,719.3032940242483
2005-12,766.9323050112857
2006-01,802.6237497844262
2006-02,808.8450367349546
2006-03,844.9582528655615
2006-04,908.9464107927524
2006-05,862.0606084069766
2006-06,828.5113626104372
2006-07,829.3316243141528
2006-08,851.8474554411505
2006-09,888.9604432719868
2006-10,920.5426434009936
2006-11,1015.5702343498162
2006-12,1046.0098472478012
2007-01,1030.9185588948503
2007-02,1068.0280730436
2007-03,1119.4863719821594
2007-04,1181.9306348215566
2007-05,1291.9128669136708
2007-06,1380.146425552354
2007-07,1527.9871304675057
2007-08,1452.2638251163976
2007-09,1567.5785568811339
2007-10,1694.3693434470001
2007-11,1479.758687776637
2007-12,1453.3519004232526
2008-01,1220.571198063378
2008-02,1316.5828720682216
2008-03,1242.8949783222474
2008-04,1323.9654601638517
2008-05,1289.8113164700476
2008-06,1159.7152125167333
2008-07,1105.2608658648555
2008-08,1000.0000000000001
2008-09,802.1336121854356
2008-10,564.10584229936
2008-11,541.8737131788018
2008-12,642.1970860362502
2009-01,602.7911377621958
2009-02,593.6729518459019
2009-03,691.5306235437843
2009-04,851.5768652269569
2009-05,1048.8163838112919
2009-06,1018.4697807067669
2009-07,1153.2584283333738
2009-08,1103.9978699888798
2009-09,1191.584450582432
2009-10,1210.3013753664568
2009-11,1254.341884461027
2009-12,1333.4070826572186
2010-01,1253.7381881490999
2010-02,1263.8518598778717
2010-03,1367.8261771927816
2010-04,1384.080034198462
2010-05,1250.9384878007988
2010-06,1263.9362291712487
2010-07,1343.7658930338062
2010-08,1328.0747185613557
2010-09,1505.6926094172836
2010-10,1546.4879380392647
2010-11,1558.7769539867693
2010-12,1618.9852849856074
2011-01,1635.3353258416869
2011-02,1527.229567041644
2011-03,1598.618110728481
2011-04,1678.6615125568
2011-05,1664.6001865272708
2011-06,1633.6053268465125
2011-07,1665.989713458269
2011-08,1486.3997841832702
2011-09,1202.9086261925904
2011-10,1364.0791300671365
2011-11,1256.8930089218754
2011-12,1229.2624338042053
2012-01,1344.8589442134207
2012-02,1465.4701667033264
2012-03,1392.774613758179
2012-04,1366.6817600959305
2012-05,1264.5450275925764
2012-06,1279.9921608066732
2012-07,1286.6185221487099
2012-08,1321.5356076713551
2012-09,1388.5556503927583
2012-10,1373.7266220968222
2012-11,1421.8805774857772
2012-12,1457.510355125604
2013-01,1503.551995652877
2013-02,1532.537475393839
2013-03,1558.7250262340362
2013-04,1591.5625274749764
2013-05,1636.9706865955336
2013-06,1498.696955971803
2013-07,1527.4875017105298
2013-08,1520.6677632260676
2013-09,1608.0465373619556
2013-10,1633.8317328562716
2013-11,1635.8482776064675
2013-12,1647.1664961339914
2014-01,1607.5401743208668
2014-02,1653.5552514170508
2014-03,1635.760662227182
2014-04,1629.6643207449283
2014-05,1660.3860414926658
2014-06,1686.329068629986
2014-07,1694.744588916073
2014-08,1713.8315014784937
2014-09,1632.5834195754437
2014-10,1596.1926903035833
2014-11,1562.215643315347
2014-12,1534.1662296317554
2015-01,1561.7768958685338
