Date,EFM EUROPE + CIS (E+C) ex RU SMALL CAP
2010-11,1000.0
2010-12,1076.0289150674166
2011-01,1073.2968797940543
2011-02,1062.8392219464658
2011-03,1138.85690980134
2011-04,1239.3809883098252
2011-05,1116.6578919683138
2011-06,1086.4940574768218
2011-07,1009.7298064706097
2011-08,845.7296308622224
2011-09,736.7838352501509
2011-10,802.4106703909018
2011-11,718.6348397986123
2011-12,668.9722811193286
2012-01,772.542728372379
2012-02,833.9876311024334
2012-03,844.4704958996235
2012-04,850.5956278321024
2012-05,721.8652408230818
2012-06,788.6686365001983
2012-07,802.019574472341
2012-08,806.7095274799503
2012-09,843.9545879263948
2012-10,859.5389879150569
2012-11,882.7727370470384
2012-12,946.8456979061939
2013-01,979.4054758431796
2013-02,952.8773282693111
2013-03,960.2779913541555
2013-04,980.6307207211787
2013-05,973.6963901234598
2013-06,877.8997069190805
2013-07,903.2431676767261
2013-08,831.1151582013393
2013-09,916.5029736859377
2013-10,980.5658080351128
2013-11,1008.5403181004555
2013-12,920.7778983534689
2014-01,879.2429602281364
2014-02,952.0936297510187
2014-03,954.4274666500093
2014-04,985.4650822816914
2014-05,982.9566887170334
2014-06,991.7009014645753
2014-07,965.9323684066809
2014-08,946.9255537655888
2014-09,886.0566874625038
2014-10,881.9884732051167
2014-11,902.5930622519688
2014-12,833.1644225404397
2015-01,824.1721290359249
2015-02,846.927734391866
2015-03,789.9265889956638
2015-04,837.0456876916883
2015-05,819.7899813341336
2015-06,792.7358994397098
2015-07,790.3967001863388
2015-08,730.4933007020486
2015-09,732.4095522894418
2015-10,755.5757385778282
2015-11,713.1032495213185
2015-12,709.7823513734226
2016-01,669.9777059792738
2016-02,689.401003471574
2016-03,771.8289150123733
2016-04,787.5560767358598
2016-05,741.32910162812
2016-06,713.156319616447
2016-07,737.5852645155463
2016-08,772.7422951534634
2016-09,784.9694570317014
2016-10,791.6448803654703
2016-11,738.223821760439
2016-12,760.1337458975123
2017-01,804.7213905914318
2017-02,837.7413404761918
2017-03,851.4560975617484
2017-04,896.059671
2017-05,949.673752
2017-06,998.443133
2017-07,1058.599364
2017-08,1077.639974
2017-09,1044.22911
2017-10,1031.748188
2017-11,1000.266958
2017-12,1069.255287
2018-01,1149.958629
2018-02,1083.33624
2018-03,1060.405406
2018-04,1025.0669554451747
2018-05,937.1797567966962
2018-06,900.0468219272507
2018-07,901.4107536278457
2018-08,818.1325142783967
2018-09,823.5942314012113
2018-10,767.8391741272886
2018-11,808.4217681009986
2018-12,782.7415822635575
2019-01,845.1570176283982
2019-02,886.0151394696973
2019-03,837.3486229778704
2019-04,855.2345133995303
2019-05,867.6586704920461
2019-06,941.0041178694034
2019-07,947.6358545060125
2019-08,904.5000367151372
2019-09,914.0795825666452
2019-10,920.9091970867078
2019-11,952.4451689519735
2019-12,996.4127152780776
2020-01,999.9100637679664
2020-02,843.7709985239824
2020-03,690.8540240347883
2020-04,773.804334383937
2020-05,831.8955282255399
2020-06,890.6588763956828
2020-07,905.2855695074799
2020-08,906.0362051538688
2020-09,881.3827278248104
2020-10,794.1977474113709
2020-11,1015.2601892427235
2020-12,1173.1328553094663
2021-01,1189.1175674497176
2021-02,1227.0373550465936
2021-03,1175.0374378235872
2021-04,1263.9430029534074
2021-05,1303.3715934853237
2021-06,1237.686859405857
2021-07,1260.1821215974437
2021-08,1325.6274246180121
2021-09,1251.715442619223
2021-10,1314.5362096826418
2021-11,1179.1539641866411
2021-12,1212.9622016438136
2022-01,1240.1151896559181
2022-02,1144.7047538275742
2022-03,1228.297332060162
2022-04,1217.9450410994887
2022-05,1204.1665006946637
2022-06,1118.6357945523398
2022-07,1124.265595657452
2022-08,1147.7547336060902
2022-09,1053.491535601846
2022-10,1189.3221079760006
2022-11,1401.4825313039519
2022-12,1516.3262382580504
2023-01,1520.9028607409277
2023-02,1546.742724568178
2023-03,1466.0450090486563
2023-04,1507.4440511529651
2023-05,1487.9984455865788
2023-06,1514.0122252725762
2023-07,1744.4433199485852
